learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.009742876,0.0,1.0,0.0,0.0,0.1251623114906371,0.0,?,0.0,0.1251623114906371,1.0,0.0
2.0,0.009742876,0.0,2.0,0.0,0.0,0.10171603906541732,0.0,?,0.0,0.20343207813083464,2.0,0.0
3.0,0.012967956,0.0,3.0,0.0,0.0,0.10887730327484331,0.0,?,0.0,0.2874970265044312,3.0,0.0
4.0,0.015349367,0.0,4.0,0.0,0.0,0.08492444873484775,0.0,?,0.0,0.21842969049016206,4.0,0.0
5.0,0.017329734,0.0,5.0,0.0,0.0,0.08668752965606301,0.0,?,0.0,0.1148904233130922,5.0,0.0
6.0,0.018815025,0.0,6.0,0.0,0.0,0.07652691780753118,0.0,?,0.0,0.16415844742095942,6.0,0.0
7.0,0.020389066,0.0,7.0,0.0,0.0,0.07811909771784868,0.0,?,0.0,0.27326717340477313,7.0,0.0
8.0,0.02185475,0.0,8.0,0.0,0.0,0.07486712776338347,0.0,?,0.0,0.25022293104711124,8.0,0.0
9.0,0.02289478,0.0,9.0,0.0,0.0,0.07521389338335759,0.0,?,0.0,0.2826205285684006,9.0,0.0
10.0,0.024504352,0.0,10.0,0.0,0.0,0.0687594347165577,0.0,?,0.0,0.20262853888135263,10.0,0.0
11.0,0.026229409,0.0,11.0,0.0,0.0,0.0710925123299697,0.0,?,0.0,0.11780762646108582,11.0,0.0
12.0,0.02784048,0.0,12.0,0.0,0.0,0.06535011213580466,0.0,?,0.0,0.20583068961024753,12.0,0.0
13.0,0.029378657,0.0,13.0,0.0,0.0,0.06351495300462001,0.0,?,0.0,0.16233591201318653,13.0,0.0
14.0,0.030292838,0.0,14.0,0.0,0.0,0.06525392374306864,0.0,?,0.0,0.288497726214922,14.0,0.0
15.0,0.031358792,0.0,15.0,0.0,0.0,0.06286286429564676,0.0,?,0.0,0.23630096799968292,15.0,0.0
16.0,0.032208143,0.0,16.0,0.0,0.0,0.06186787843164712,0.0,?,0.0,0.16192904763173938,16.0,0.0
17.0,0.033213669,0.0,17.0,0.0,0.0,0.06284562459568616,0.0,?,0.0,0.2844277581692243,17.0,0.0
