learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001083929,0.0,1.0,0.0,0.0,0.1251623114906371,0.0,?,0.0,0.1251623114906371,1.0,0.0
2.0,0.001083929,0.0,2.0,0.0,0.0,0.10171603906541732,0.0,?,0.0,0.20343207813083464,2.0,0.0
3.0,0.001635221,0.0,3.0,0.0,0.0,0.10887730327484331,0.0,?,0.0,0.2874970265044312,3.0,0.0
4.0,0.00208609,0.0,4.0,0.0,0.0,0.08492444873484775,0.0,?,0.0,0.21842969049016206,4.0,0.0
5.0,0.002503592,0.0,5.0,0.0,0.0,0.08668752965606301,0.0,?,0.0,0.1148904233130922,5.0,0.0
6.0,0.002904446,0.0,6.0,0.0,0.0,0.07652691780753118,0.0,?,0.0,0.16415844742095942,6.0,0.0
7.0,0.003301541,0.0,7.0,0.0,0.0,0.07811909771784868,0.0,?,0.0,0.27326717340477313,7.0,0.0
8.0,0.003696007,0.0,8.0,0.0,0.0,0.07486712776338347,0.0,?,0.0,0.25022293104711124,8.0,0.0
9.0,0.004115527,0.0,9.0,0.0,0.0,0.07521389338335759,0.0,?,0.0,0.2826205285684006,9.0,0.0
10.0,0.004508751,0.0,10.0,0.0,0.0,0.0687594347165577,0.0,?,0.0,0.20262853888135263,10.0,0.0
11.0,0.004932318,0.0,11.0,0.0,0.0,0.07109251232996969,0.0,?,0.0,0.11780762646108582,11.0,0.0
12.0,0.005361786,0.0,12.0,0.0,0.0,0.06535011213580466,0.0,?,0.0,0.20583068961024753,12.0,0.0
13.0,0.005781437,0.0,13.0,0.0,0.0,0.06351495300462,0.0,?,0.0,0.16233591201318653,13.0,0.0
14.0,0.006382286,0.0,14.0,0.0,0.0,0.06525392374306864,0.0,?,0.0,0.288497726214922,14.0,0.0
15.0,0.006785164,0.0,15.0,0.0,0.0,0.06286286429564675,0.0,?,0.0,0.23630096799968292,15.0,0.0
16.0,0.007250491,0.0,16.0,0.0,0.0,0.061867878431647115,0.0,?,0.0,0.16192904763173938,16.0,0.0
17.0,0.007637006,0.0,17.0,0.0,0.0,0.06284562459568616,0.0,?,0.0,0.2844277581692243,17.0,0.0
18.0,0.008033985,0.0,18.0,0.0,0.0,0.06467035749312805,0.0,?,0.0,0.11486441132987972,18.0,0.0
19.0,0.008416729,0.0,19.0,0.0,0.0,0.062373741875590916,0.0,?,0.0,0.18420441083350664,19.0,0.0
20.0,0.008786337,0.0,20.0,0.0,0.0,0.060000786467352366,0.0,?,0.0,0.18921735047419208,20.0,0.0
21.0,0.009190247,0.0,21.0,0.0,0.0,0.05802612114725567,0.0,?,0.0,0.221919067244793,21.0,0.0
22.0,0.00957081,0.0,22.0,0.0,0.0,0.05658715884766017,0.0,?,0.0,0.177899816931189,22.0,0.0
23.0,0.009946545,0.0,23.0,0.0,0.0,0.05440605660866984,0.0,?,0.0,0.19664837147481762,23.0,0.0
24.0,0.010320646,0.0,24.0,0.0,0.0,0.05559522648167552,0.0,?,0.0,0.2857371033712506,24.0,0.0
25.0,0.010684179,0.0,25.0,0.0,0.0,0.054758385344571545,0.0,?,0.0,0.24092125676288736,25.0,0.0
26.0,0.01103879,0.0,26.0,0.0,0.0,0.05566232181839692,0.0,?,0.0,0.12937329296694317,26.0,0.0
27.0,0.011394709,0.0,27.0,0.0,0.0,0.0540260070636935,0.0,?,0.0,0.2161058218545316,27.0,0.0
28.0,0.011801501,0.0,28.0,0.0,0.0,0.05336468184536495,0.0,?,0.0,0.16954035018268526,28.0,0.0
