learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001029873,0.0,1.0,0.0,0.0,0.11361846026817142,0.0,?,0.0,0.11361846026817142,1.0,0.0
2.0,0.001029873,0.0,2.0,0.0,0.0,0.10800265788540903,0.0,?,0.0,0.21600531577081805,2.0,0.0
3.0,0.001029873,0.0,3.0,0.0,0.0,0.09360273090307199,0.0,?,0.0,0.22961476495789268,3.0,0.0
4.0,0.001029873,0.0,4.0,0.0,0.0,0.07308553684197447,0.0,?,0.0,0.1979468016576426,4.0,0.0
5.0,0.001132372,0.0,5.0,0.0,0.0,0.08579603858641625,0.0,?,0.0,0.3259343812278146,5.0,0.0
6.0,0.001316097,0.0,6.0,0.0,0.0,0.07673809551249645,0.0,?,0.0,0.18517556463357038,6.0,0.0
7.0,0.001498298,0.0,7.0,0.0,0.0,0.07854333809337821,0.0,?,0.0,0.3007573416646536,7.0,0.0
8.0,0.001682119,0.0,8.0,0.0,0.0,0.07379627491007752,0.0,?,0.0,0.18358354311310776,8.0,0.0
9.0,0.001860967,0.0,9.0,0.0,0.0,0.07401320557735575,0.0,?,0.0,0.2948281725772904,9.0,0.0
10.0,0.002092237,0.0,10.0,0.0,0.0,0.06954275740354357,0.0,?,0.0,0.25680476226934096,10.0,0.0
11.0,0.002438331,0.0,11.0,0.0,0.0,0.0654889945414267,0.0,?,0.0,0.2054755448937723,11.0,0.0
12.0,0.002774834,0.0,12.0,0.0,0.0,0.07147888864733881,0.0,?,0.0,0.3655263286336516,12.0,0.0
13.0,0.003133611,0.0,13.0,0.0,0.0,0.07497477465915516,0.0,?,0.0,0.35653132193992854,13.0,0.0
14.0,0.003493171,0.0,14.0,0.0,0.0,0.07189969487202871,0.0,?,0.0,0.2805238348399738,14.0,0.0
15.0,0.003846674,0.0,15.0,0.0,0.0,0.067508888876457,0.0,?,0.0,0.24484283352209196,15.0,0.0
16.0,0.004174712,0.0,16.0,0.0,0.0,0.06717073744148482,0.0,?,0.0,0.18837946554774582,16.0,0.0
17.0,0.00452043,0.0,17.0,0.0,0.0,0.06428460247407564,0.0,?,0.0,0.26470322034037036,17.0,0.0
18.0,0.004847793,0.0,18.0,0.0,0.0,0.06731186125100785,0.0,?,0.0,0.3664371226857872,18.0,0.0
19.0,0.005204969,0.0,19.0,0.0,0.0,0.06416365928228134,0.0,?,0.0,0.26175651165318314,19.0,0.0
20.0,0.005555055,0.0,20.0,0.0,0.0,0.062454209418769724,0.0,?,0.0,0.2246803533667302,20.0,0.0
21.0,0.005861035,0.0,21.0,0.0,0.0,0.06624159929514208,0.0,?,0.0,0.3951456791007661,21.0,0.0
22.0,0.006154536,0.0,22.0,0.0,0.0,0.06783513266831032,0.0,?,0.0,0.15861834862202828,22.0,0.0
23.0,0.006408933,0.0,23.0,0.0,0.0,0.06496018622423468,0.0,?,0.0,0.25702453142213105,23.0,0.0
24.0,0.006613901,0.0,24.0,0.0,0.0,0.06373569615859524,0.0,?,0.0,0.29095999876664747,24.0,0.0
