learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001254294,0.0,1.0,0.0,0.0,0.20120000000000002,0.0,?,0.0,0.20120000000000002,1.0,0.0
2.0,0.001254294,0.0,2.0,0.0,0.0,0.2494,0.0,?,0.0,0.20240000000000002,2.0,0.0
3.0,0.001254294,0.0,3.0,0.0,0.0,0.43173141333886295,0.0,?,0.0,0.20360000000000003,3.0,0.0
4.0,0.00159488,0.0,4.0,0.0,0.0,0.5225928000705018,0.0,?,0.0,0.20480000000000004,4.0,0.0
5.0,0.001894227,0.0,5.0,0.0,0.0,0.5768638723251354,0.0,?,0.0,0.20600000000000004,5.0,0.0
6.0,0.002204568,0.0,6.0,0.0,0.0,0.6128378676453798,0.0,?,0.0,0.20720000000000005,6.0,0.0
7.0,0.002488708,0.0,7.0,0.0,0.0,0.6383547451771117,0.0,?,0.0,0.20840000000000006,7.0,0.0
8.0,0.002831222,0.0,8.0,0.0,0.0,0.6573344847171725,0.0,?,0.0,0.20960000000000006,8.0,0.0
9.0,0.003131256,0.0,9.0,0.0,0.0,0.6719548530625935,0.0,?,0.0,0.21080000000000007,9.0,0.0
10.0,0.003420376,0.0,10.0,0.0,0.0,0.6835225105502717,0.0,?,0.0,0.21200000000000008,10.0,0.0
11.0,0.003762545,0.0,11.0,0.0,0.0,0.6928689685749917,0.0,?,0.0,0.21320000000000008,11.0,0.0
12.0,0.004056825,0.0,12.0,0.0,0.0,0.7005485683484219,0.0,?,0.0,0.2144000000000001,12.0,0.0
13.0,0.004345413,0.0,13.0,0.0,0.0,0.7069450848462514,0.0,?,0.0,0.2156000000000001,13.0,0.0
14.0,0.004634131,0.0,14.0,0.0,0.0,0.7123326433493957,0.0,?,0.0,0.2168000000000001,14.0,0.0
15.0,0.004923479,0.0,15.0,0.0,0.0,0.7169122693687039,0.0,?,0.0,0.2180000000000001,15.0,0.0
16.0,0.005220213,0.0,16.0,0.0,0.0,0.7208347323478842,0.0,?,0.0,0.21920000000000012,16.0,0.0
17.0,0.005511948,0.0,17.0,0.0,0.0,0.7242153268830275,0.0,?,0.0,0.22040000000000012,17.0,0.0
18.0,0.005800926,0.0,18.0,0.0,0.0,0.7271437268689388,0.0,?,0.0,0.22160000000000013,18.0,0.0
19.0,0.00608994,0.0,19.0,0.0,0.0,0.729690727809768,0.0,?,0.0,0.22280000000000014,19.0,0.0
20.0,0.006376944,0.0,20.0,0.0,0.0,0.7319129664364329,0.0,?,0.0,0.22400000000000014,20.0,0.0
21.0,0.006694031,0.0,21.0,0.0,0.0,0.733856291861905,0.0,?,0.0,0.22520000000000015,21.0,0.0
22.0,0.006983015,0.0,22.0,0.0,0.0,0.7355582173304885,0.0,?,0.0,0.22640000000000016,22.0,0.0
23.0,0.007271884,0.0,23.0,0.0,0.0,0.7370497323803131,0.0,?,0.0,0.22760000000000016,23.0,0.0
24.0,0.007559048,0.0,24.0,0.0,0.0,0.7383566619651852,0.0,?,0.0,0.22880000000000017,24.0,0.0
25.0,0.007851572,0.0,25.0,0.0,0.0,0.7395006993871759,0.0,?,0.0,0.23000000000000018,25.0,0.0
26.0,0.00812884,0.0,26.0,0.0,0.0,0.7405002008601318,0.0,?,0.0,0.23120000000000018,26.0,0.0
27.0,0.008497071,0.0,27.0,0.0,0.0,0.741370803503497,0.0,?,0.0,0.2324000000000002,27.0,0.0
