learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,1.41546E-4,0.0,1.0,0.0,0.0,0.30309794203239043,0.0,?,0.0,0.30309794203239043,1.0,0.0
2.0,7.74217E-4,0.0,2.0,0.0,0.0,0.26570356260984596,0.0,?,0.0,0.22830918318730148,2.0,0.0
3.0,0.001168277,0.0,3.0,0.0,0.0,0.2728163523099493,0.0,?,0.0,0.2870419317101559,3.0,0.0
4.0,0.001523201,0.0,4.0,0.0,0.0,0.2699903914726357,0.0,?,0.0,0.261512508960695,4.0,0.0
5.0,0.001859437,0.0,5.0,0.0,0.0,0.24602902334734972,0.0,?,0.0,0.15018355084620566,5.0,0.0
6.0,0.002187407,0.0,6.0,0.0,0.0,0.24306902950033996,0.0,?,0.0,0.22826906026529134,6.0,0.0
7.0,0.002535827,0.0,7.0,0.0,0.0,0.2644203530821318,0.0,?,0.0,0.39252829457288274,7.0,0.0
8.0,0.002877967,0.0,8.0,0.0,0.0,0.26475732449440986,0.0,?,0.0,0.2671161243803565,8.0,0.0
9.0,0.003224459,0.0,9.0,0.0,0.0,0.2676037819758259,0.0,?,0.0,0.29037544182715447,9.0,0.0
10.0,0.003615609,0.0,10.0,0.0,0.0,0.2760378433445222,0.0,?,0.0,0.35194439566278823,10.0,0.0
11.0,0.004019451,0.0,11.0,0.0,0.0,0.27087077500604856,0.0,?,0.0,0.2192000916213127,11.0,0.0
12.0,0.004638588,0.0,12.0,0.0,0.0,0.2729913181279089,0.0,?,0.0,0.2963172924683724,12.0,0.0
13.0,0.005134201,0.0,13.0,0.0,0.0,0.27960266373873843,0.0,?,0.0,0.35893881106869346,13.0,0.0
14.0,0.00563468,0.0,14.0,0.0,0.0,0.28044442150398946,0.0,?,0.0,0.29138727245225227,14.0,0.0
15.0,0.006015664,0.0,15.0,0.0,0.0,0.27842106947417417,0.0,?,0.0,0.2500941410567609,15.0,0.0
16.0,0.006373966,0.0,16.0,0.0,0.0,0.28196745976315635,0.0,?,0.0,0.33516331409788863,16.0,0.0
17.0,0.006758913,0.0,17.0,0.0,0.0,0.28373310628569537,0.0,?,0.0,0.31198345064632016,17.0,0.0
18.0,0.007135182,0.0,18.0,0.0,0.0,0.28144833624848364,0.0,?,0.0,0.24260724561588323,18.0,0.0
19.0,0.007497823,0.0,19.0,0.0,0.0,0.2756087096591598,0.0,?,0.0,0.17049543105133091,19.0,0.0
20.0,0.00792663,0.0,20.0,0.0,0.0,0.2670746814024786,0.0,?,0.0,0.10492814452553531,20.0,0.0
21.0,0.008390054,0.0,21.0,0.0,0.0,0.2720884567819698,0.0,?,0.0,0.37236396437179364,21.0,0.0
22.0,0.008780172,0.0,22.0,0.0,0.0,0.27097696555821676,0.0,?,0.0,0.2476356498594036,22.0,0.0
23.0,0.009205908,0.0,23.0,0.0,0.0,0.27261011815952413,0.0,?,0.0,0.30853947538828597,23.0,0.0
24.0,0.009629236,0.0,24.0,0.0,0.0,0.275521055639914,0.0,?,0.0,0.34247261768888226,24.0,0.0
25.0,0.010064804,0.0,25.0,0.0,0.0,0.2712732685172825,0.0,?,0.0,0.16932637757412544,25.0,0.0
26.0,0.010459498,0.0,26.0,0.0,0.0,0.2668271656328064,0.0,?,0.0,0.15567459352090363,26.0,0.0
27.0,0.010933258,0.0,27.0,0.0,0.0,0.26990881643070275,0.0,?,0.0,0.3500317371760075,27.0,0.0
28.0,0.011329551,0.0,28.0,0.0,0.0,0.2704995028047041,0.0,?,0.0,0.2864480349027413,28.0,0.0
29.0,0.011715533,0.0,29.0,0.0,0.0,0.27179480828784036,0.0,?,0.0,0.3080633618156555,29.0,0.0
30.0,0.01210482,0.0,30.0,0.0,0.0,0.2676723053531271,0.0,?,0.0,0.1481197202464431,30.0,0.0
31.0,0.012522635,0.0,31.0,0.0,0.0,0.2659660251791346,0.0,?,0.0,0.21477761995936012,31.0,0.0
32.0,0.012961407,0.0,32.0,0.0,0.0,0.2690888788308791,0.0,?,0.0,0.36589734203495894,32.0,0.0
33.0,0.013403646,0.0,33.0,0.0,0.0,0.2726222701582408,0.0,?,0.0,0.3856907926338149,33.0,0.0
34.0,0.013897204,0.0,34.0,0.0,0.0,0.2704885187191295,0.0,?,0.0,0.2000747212284561,34.0,0.0
35.0,0.014317075,0.0,35.0,0.0,0.0,0.2677821304680012,0.0,?,0.0,0.17576492992964077,35.0,0.0
36.0,0.014746526,0.0,36.0,0.0,0.0,0.2663058266020164,0.0,?,0.0,0.2146351912925477,36.0,0.0
37.0,0.015174284,0.0,37.0,0.0,0.0,0.2682516146864396,0.0,?,0.0,0.3382999857256771,37.0,0.0
38.0,0.01560701,0.0,38.0,0.0,0.0,0.26553506426994333,0.0,?,0.0,0.16502269885958046,38.0,0.0
39.0,0.016055852,0.0,39.0,0.0,0.0,0.26142085509429147,0.0,?,0.0,0.10508090641952031,39.0,0.0
40.0,0.01650111,0.0,40.0,0.0,0.0,0.2592234710647797,0.0,?,0.0,0.17352549391382294,40.0,0.0
41.0,0.016973188,0.0,41.0,0.0,0.0,0.25541483893465844,0.0,?,0.0,0.10306955372980618,41.0,0.0
42.0,0.01743046,0.0,42.0,0.0,0.0,0.25745470157398637,0.0,?,0.0,0.34108906978643105,42.0,0.0
43.0,0.017913222,0.0,43.0,0.0,0.0,0.25879203644735277,0.0,?,0.0,0.31496010112874184,43.0,0.0
44.0,0.018360415,0.0,44.0,0.0,0.0,0.2554143279382743,0.0,?,0.0,0.11017286204790022,44.0,0.0
45.0,0.018819775,0.0,45.0,0.0,0.0,0.2543707780535855,0.0,?,0.0,0.20845458312727844,45.0,0.0
46.0,0.019330757,0.0,46.0,0.0,0.0,0.253008140919488,0.0,?,0.0,0.1916894698850993,46.0,0.0
47.0,0.019865599,0.0,47.0,0.0,0.0,0.2521974970089802,0.0,?,0.0,0.2149078771256221,47.0,0.0
48.0,0.020374296,0.0,48.0,0.0,0.0,0.2526253476608657,0.0,?,0.0,0.2727343282994835,48.0,0.0
49.0,0.020850805,0.0,49.0,0.0,0.0,0.2522387441517316,0.0,?,0.0,0.23368177571329604,49.0,0.0
50.0,0.02134693,0.0,50.0,0.0,0.0,0.25410334783986144,0.0,?,0.0,0.3454689285582253,50.0,0.0
