learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.008295531,0.0,1.0,0.0,0.0,0.2884428251559835,0.0,?,0.0,0.2884428251559835,1.0,0.0
2.0,0.015031139,0.0,2.0,0.0,0.0,0.28723438635241016,0.0,?,0.0,0.28602594754883687,2.0,0.0
3.0,0.017707086,0.0,3.0,0.0,0.0,0.2844562778104079,0.0,?,0.0,0.27890006072640333,3.0,0.0
4.0,0.019404333,0.0,4.0,0.0,0.0,0.27486329865046144,0.0,?,0.0,0.246084361170622,4.0,0.0
5.0,0.020697796,0.0,5.0,0.0,0.0,0.27744498424705677,0.0,?,0.0,0.2877717266334382,5.0,0.0
6.0,0.022212184,0.0,6.0,0.0,0.0,0.2591167674672655,0.0,?,0.0,0.16747568356830886,6.0,0.0
7.0,0.023938528,0.0,7.0,0.0,0.0,0.23779661619659742,0.0,?,0.0,0.10987570857258927,7.0,0.0
8.0,0.026229496,0.0,8.0,0.0,0.0,0.24476766391121432,0.0,?,0.0,0.29356499791353263,8.0,0.0
9.0,0.028034649,0.0,9.0,0.0,0.0,0.2290056467493572,0.0,?,0.0,0.10290950945450027,9.0,0.0
10.0,0.029820527,0.0,10.0,0.0,0.0,0.23443157651331586,0.0,?,0.0,0.2832649443889441,10.0,0.0
11.0,0.031535596,0.0,11.0,0.0,0.0,0.22853549271377532,0.0,?,0.0,0.16957465471837027,11.0,0.0
12.0,0.03323023,0.0,12.0,0.0,0.0,0.2180297439192559,0.0,?,0.0,0.1024665071795423,12.0,0.0
13.0,0.034948199,0.0,13.0,0.0,0.0,0.21543861414660193,0.0,?,0.0,0.18434505687475403,13.0,0.0
14.0,0.036635486,0.0,14.0,0.0,0.0,0.20895640238806165,0.0,?,0.0,0.12468764952703833,14.0,0.0
15.0,0.038406928,0.0,15.0,0.0,0.0,0.20394904735550004,0.0,?,0.0,0.13384607689963737,15.0,0.0
16.0,0.040162982,0.0,16.0,0.0,0.0,0.20625066756370963,0.0,?,0.0,0.24077497068685358,16.0,0.0
17.0,0.041851313,0.0,17.0,0.0,0.0,0.20637300893350516,0.0,?,0.0,0.20833047085023357,17.0,0.0
18.0,0.043430803,0.0,18.0,0.0,0.0,0.20608430944450423,0.0,?,0.0,0.20117641813148845,18.0,0.0
19.0,0.045251904,0.0,19.0,0.0,0.0,0.20678040466927922,0.0,?,0.0,0.21931011871522876,19.0,0.0
20.0,0.046932122,0.0,20.0,0.0,0.0,0.20299526562688325,0.0,?,0.0,0.1310776238213594,20.0,0.0
21.0,0.048666879,0.0,21.0,0.0,0.0,0.2009164488156221,0.0,?,0.0,0.15934011259039954,21.0,0.0
22.0,0.050287013,0.0,22.0,0.0,0.0,0.19950922311438682,0.0,?,0.0,0.16995748338844568,22.0,0.0
23.0,0.051908344,0.0,23.0,0.0,0.0,0.19596693822585975,0.0,?,0.0,0.11803667067826411,23.0,0.0
24.0,0.053551109,0.0,24.0,0.0,0.0,0.19647720228276402,0.0,?,0.0,0.20821327559156272,24.0,0.0
25.0,0.055246633,0.0,25.0,0.0,0.0,0.19628762531946883,0.0,?,0.0,0.1917377782003838,25.0,0.0
26.0,0.056882275,0.0,26.0,0.0,0.0,0.1980879491813348,0.0,?,0.0,0.24309604572798346,26.0,0.0
27.0,0.058496931,0.0,27.0,0.0,0.0,0.20007624272614244,0.0,?,0.0,0.2517718748911416,27.0,0.0
28.0,0.060093837,0.0,28.0,0.0,0.0,0.19658305575330165,0.0,?,0.0,0.10226700748660042,28.0,0.0
29.0,0.061794075,0.0,29.0,0.0,0.0,0.1989464385742635,0.0,?,0.0,0.2651211575611961,29.0,0.0
30.0,0.063455632,0.0,30.0,0.0,0.0,0.19973103548040647,0.0,?,0.0,0.22248434575855228,30.0,0.0
31.0,0.065264907,0.0,31.0,0.0,0.0,0.1969865864896146,0.0,?,0.0,0.11465311676585765,31.0,0.0
32.0,0.067016308,0.0,32.0,0.0,0.0,0.1989376635952095,0.0,?,0.0,0.2594210538686524,32.0,0.0
33.0,0.068808339,0.0,33.0,0.0,0.0,0.19921990348738297,0.0,?,0.0,0.20825158003693367,33.0,0.0
34.0,0.070508659,0.0,34.0,0.0,0.0,0.20190024151409058,0.0,?,0.0,0.29035139639544216,34.0,0.0
35.0,0.072306958,0.0,35.0,0.0,0.0,0.19937287787512983,0.0,?,0.0,0.11344251415046414,35.0,0.0
36.0,0.074063138,0.0,36.0,0.0,0.0,0.20021859922311527,0.0,?,0.0,0.22981884640260594,36.0,0.0
37.0,0.075796809,0.0,37.0,0.0,0.0,0.19933650989287705,0.0,?,0.0,0.16758129400429986,37.0,0.0
38.0,0.077610516,0.0,38.0,0.0,0.0,0.19873720384127602,0.0,?,0.0,0.17656287993203862,38.0,0.0
39.0,0.07935965,0.0,39.0,0.0,0.0,0.19684926646492196,0.0,?,0.0,0.12510764616346742,39.0,0.0
40.0,0.0810422,0.0,40.0,0.0,0.0,0.19479645409192528,0.0,?,0.0,0.11473677154505468,40.0,0.0
41.0,0.082717476,0.0,41.0,0.0,0.0,0.19478052872224394,0.0,?,0.0,0.19414351393498974,41.0,0.0
42.0,0.084479843,0.0,42.0,0.0,0.0,0.195810426373086,0.0,?,0.0,0.23803623005760982,42.0,0.0
43.0,0.086240593,0.0,43.0,0.0,0.0,0.19570723425227557,0.0,?,0.0,0.1913731651782374,43.0,0.0
44.0,0.087982267,0.0,44.0,0.0,0.0,0.19569245586639167,0.0,?,0.0,0.1950569852733843,44.0,0.0
45.0,0.089850483,0.0,45.0,0.0,0.0,0.19416853389325514,0.0,?,0.0,0.12711596707524836,45.0,0.0
46.0,0.091586107,0.0,46.0,0.0,0.0,0.19303169365960077,0.0,?,0.0,0.14187388314515376,46.0,0.0
47.0,0.093258955,0.0,47.0,0.0,0.0,0.19209972775559397,0.0,?,0.0,0.14922929617128103,47.0,0.0
48.0,0.094943845,0.0,48.0,0.0,0.0,0.19247965093857825,0.0,?,0.0,0.21033604053884014,48.0,0.0
49.0,0.096586545,0.0,49.0,0.0,0.0,0.19318199896932253,0.0,?,0.0,0.2268947044450485,49.0,0.0
50.0,0.098222896,0.0,50.0,0.0,0.0,0.19257983976412496,0.0,?,0.0,0.16307403870944437,50.0,0.0
51.0,0.099782815,0.0,51.0,0.0,0.0,0.19220606557820388,0.0,?,0.0,0.17351735628214832,51.0,0.0
