learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001189954,0.0,1.0,0.0,0.0,0.1251623114906371,0.0,?,0.0,0.1251623114906371,1.0,0.0
2.0,0.001189954,0.0,2.0,0.0,0.0,0.21086511667990124,0.0,?,0.0,0.20343207813083464,2.0,0.0
3.0,0.001189954,0.0,3.0,0.0,0.0,0.37000879408395687,0.0,?,0.0,0.2874970265044312,3.0,0.0
4.0,0.001512023,0.0,4.0,0.0,0.0,0.4478879855128286,0.0,?,0.0,0.21842969049016206,4.0,0.0
5.0,0.001821687,0.0,5.0,0.0,0.0,0.5284929391680055,0.0,?,0.0,0.1148904233130922,5.0,0.0
6.0,0.002124416,0.0,6.0,0.0,0.0,0.5796473817868901,0.0,?,0.0,0.16415844742095942,6.0,0.0
7.0,0.002432655,0.0,7.0,0.0,0.0,0.5997932550838397,0.0,?,0.0,0.27326717340477313,7.0,0.0
8.0,0.002736381,0.0,8.0,0.0,0.0,0.6080410845496792,0.0,?,0.0,0.25022293104711124,8.0,0.0
9.0,0.003076216,0.0,9.0,0.0,0.0,0.6134515835286425,0.0,?,0.0,0.2826205285684006,9.0,0.0
10.0,0.003399833,0.0,10.0,0.0,0.0,0.6224022320086029,0.0,?,0.0,0.20262853888135263,10.0,0.0
11.0,0.003714693,0.0,11.0,0.0,0.0,0.6438633122052569,0.0,?,0.0,0.11780762646108582,11.0,0.0
12.0,0.004020111,0.0,12.0,0.0,0.0,0.6563707835404488,0.0,?,0.0,0.20583068961024753,12.0,0.0
13.0,0.004304882,0.0,13.0,0.0,0.0,0.6683399838432875,0.0,?,0.0,0.16233591201318653,13.0,0.0
14.0,0.004610741,0.0,14.0,0.0,0.0,0.6710292718570795,0.0,?,0.0,0.288497726214922,14.0,0.0
15.0,0.00492483,0.0,15.0,0.0,0.0,0.6704594452097548,0.0,?,0.0,0.23630096799968292,15.0,0.0
16.0,0.005227656,0.0,16.0,0.0,0.0,0.6779222567057771,0.0,?,0.0,0.16192904763173938,16.0,0.0
17.0,0.005529806,0.0,17.0,0.0,0.0,0.6798197511774279,0.0,?,0.0,0.2844277581692243,17.0,0.0
18.0,0.005844847,0.0,18.0,0.0,0.0,0.6858659407883962,0.0,?,0.0,0.11486441132987972,18.0,0.0
19.0,0.006159924,0.0,19.0,0.0,0.0,0.6926820224379644,0.0,?,0.0,0.18420441083350664,19.0,0.0
20.0,0.006479665,0.0,20.0,0.0,0.0,0.6978946981724904,0.0,?,0.0,0.18921735047419208,20.0,0.0
21.0,0.006789692,0.0,21.0,0.0,0.0,0.700937935731797,0.0,?,0.0,0.221919067244793,21.0,0.0
22.0,0.007156565,0.0,22.0,0.0,0.0,0.7047746291040272,0.0,?,0.0,0.177899816931189,22.0,0.0
