learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001082617,0.0,1.0,0.0,0.0,0.11361846026817142,0.0,?,0.0,0.11361846026817142,1.0,0.0
2.0,0.001082617,0.0,2.0,0.0,0.0,0.19880657224867668,0.0,?,0.0,0.21600531577081805,2.0,0.0
3.0,0.001082617,0.0,3.0,0.0,0.0,0.37564436798478074,0.0,?,0.0,0.22961476495789268,3.0,0.0
4.0,0.001082617,0.0,4.0,0.0,0.0,0.4691471052573033,0.0,?,0.0,0.1979468016576426,4.0,0.0
5.0,0.001082617,0.0,5.0,0.0,0.0,0.5045219431094455,0.0,?,0.0,0.3259343812278146,5.0,0.0
6.0,0.001082617,0.0,6.0,0.0,0.0,0.5287406051147775,0.0,?,0.0,0.18517556463357038,6.0,0.0
7.0,0.001271791,0.0,7.0,0.0,0.0,0.5502018481599336,0.0,?,0.0,0.3007573416646536,7.0,0.0
8.0,0.001440668,0.0,8.0,0.0,0.0,0.5671393427789047,0.0,?,0.0,0.18358354311310776,8.0,0.0
9.0,0.001616159,0.0,9.0,0.0,0.0,0.5803218411499054,0.0,?,0.0,0.2948281725772904,9.0,0.0
10.0,0.001803133,0.0,10.0,0.0,0.0,0.5843004504680737,0.0,?,0.0,0.25680476226934096,10.0,0.0
11.0,0.001995405,0.0,11.0,0.0,0.0,0.5962538527160658,0.0,?,0.0,0.2054755448937723,11.0,0.0
12.0,0.002215658,0.0,12.0,0.0,0.0,0.5966731968930162,0.0,?,0.0,0.3655263286336516,12.0,0.0
13.0,0.00239399,0.0,13.0,0.0,0.0,0.5830284993497274,0.0,?,0.0,0.35653132193992854,13.0,0.0
14.0,0.002581533,0.0,14.0,0.0,0.0,0.577757592594688,0.0,?,0.0,0.2805238348399738,14.0,0.0
15.0,0.002747779,0.0,15.0,0.0,0.0,0.5825545209390974,0.0,?,0.0,0.24484283352209196,15.0,0.0
16.0,0.002910927,0.0,16.0,0.0,0.0,0.5927111028979605,0.0,?,0.0,0.18837946554774582,16.0,0.0
17.0,0.003080039,0.0,17.0,0.0,0.0,0.5997979797812285,0.0,?,0.0,0.26470322034037036,17.0,0.0
18.0,0.003242496,0.0,18.0,0.0,0.0,0.5968259178592327,0.0,?,0.0,0.3664371226857872,18.0,0.0
19.0,0.003427804,0.0,19.0,0.0,0.0,0.5923951674350354,0.0,?,0.0,0.26175651165318314,19.0,0.0
20.0,0.00359652,0.0,20.0,0.0,0.0,0.5973395312765035,0.0,?,0.0,0.2246803533667302,20.0,0.0
21.0,0.003783985,0.0,21.0,0.0,0.0,0.5954049220905008,0.0,?,0.0,0.3951456791007661,21.0,0.0
