learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,3.9325E-5,0.0,1.0,0.0,0.0,0.2884428251559835,0.0,?,0.0,0.2884428251559835,1.0,0.0
2.0,3.48034E-4,0.0,2.0,0.0,0.0,0.14542985138156508,0.0,?,0.0,0.28602594754883687,2.0,0.0
3.0,5.26932E-4,0.0,3.0,0.0,0.0,0.099731342796379,0.0,?,0.0,0.27890006072640333,3.0,0.0
4.0,6.83029E-4,0.0,4.0,0.0,0.0,0.08439148625723072,0.0,?,0.0,0.246084361170622,4.0,0.0
5.0,8.58086E-4,0.0,5.0,0.0,0.0,0.07009487460237993,0.0,?,0.0,0.2877717266334382,5.0,0.0
6.0,0.001020334,0.0,6.0,0.0,0.0,0.07674061228177459,0.0,?,0.0,0.16747568356830886,6.0,0.0
7.0,0.001179634,0.0,7.0,0.0,0.0,0.08709781894076053,0.0,?,0.0,0.10987570857258927,7.0,0.0
8.0,0.001336827,0.0,8.0,0.0,0.0,0.08318163928778237,0.0,?,0.0,0.29356499791353263,8.0,0.0
9.0,0.001486498,0.0,9.0,0.0,0.0,0.08970125208433033,0.0,?,0.0,0.10290950945450027,9.0,0.0
10.0,0.001638664,0.0,10.0,0.0,0.0,0.08615705663985598,0.0,?,0.0,0.2832649443889441,10.0,0.0
11.0,0.00179491,0.0,11.0,0.0,0.0,0.08422068074486413,0.0,?,0.0,0.16957465471837027,11.0,0.0
12.0,0.001945627,0.0,12.0,0.0,0.0,0.08770803947731154,0.0,?,0.0,0.1024665071795423,12.0,0.0
13.0,0.00209914,0.0,13.0,0.0,0.0,0.08355239698248002,0.0,?,0.0,0.18434505687475403,13.0,0.0
14.0,0.002255277,0.0,14.0,0.0,0.0,0.08406658038512885,0.0,?,0.0,0.12468764952703833,14.0,0.0
15.0,0.002511645,0.0,15.0,0.0,0.0,0.08346949672534855,0.0,?,0.0,0.13384607689963737,15.0,0.0
16.0,0.002791436,0.0,16.0,0.0,0.0,0.08055427338822385,0.0,?,0.0,0.24077497068685358,16.0,0.0
17.0,0.003063001,0.0,17.0,0.0,0.0,0.07593812808812385,0.0,?,0.0,0.20833047085023357,17.0,0.0
18.0,0.003322856,0.0,18.0,0.0,0.0,0.07200804268334011,0.0,?,0.0,0.20117641813148845,18.0,0.0
19.0,0.003582456,0.0,19.0,0.0,0.0,0.0689142409247814,0.0,?,0.0,0.21931011871522876,19.0,0.0
20.0,0.003845671,0.0,20.0,0.0,0.0,0.06925366792093832,0.0,?,0.0,0.1310776238213594,20.0,0.0
21.0,0.004129668,0.0,21.0,0.0,0.0,0.06803469102167858,0.0,?,0.0,0.15934011259039954,21.0,0.0
22.0,0.004446751,0.0,22.0,0.0,0.0,0.06634943076738303,0.0,?,0.0,0.16995748338844568,22.0,0.0
23.0,0.004727166,0.0,23.0,0.0,0.0,0.06700695779645867,0.0,?,0.0,0.11803667067826411,23.0,0.0
24.0,0.005046135,0.0,24.0,0.0,0.0,0.06472526527851051,0.0,?,0.0,0.20821327559156272,24.0,0.0
25.0,0.005339451,0.0,25.0,0.0,0.0,0.06232583163066529,0.0,?,0.0,0.1917377782003838,25.0,0.0
26.0,0.00561081,0.0,26.0,0.0,0.0,0.06172900812212104,0.0,?,0.0,0.24309604572798346,26.0,0.0
27.0,0.00586997,0.0,27.0,0.0,0.0,0.06143104210685014,0.0,?,0.0,0.2517718748911416,27.0,0.0
28.0,0.006130953,0.0,28.0,0.0,0.0,0.06273026329016056,0.0,?,0.0,0.10226700748660042,28.0,0.0
29.0,0.006387681,0.0,29.0,0.0,0.0,0.06293053358387551,0.0,?,0.0,0.2651211575611961,29.0,0.0
30.0,0.006694096,0.0,30.0,0.0,0.0,0.06161744603722263,0.0,?,0.0,0.22248434575855228,30.0,0.0
31.0,0.00687836,0.0,31.0,0.0,0.0,0.062374235478426694,0.0,?,0.0,0.11465311676585765,31.0,0.0
32.0,0.00705159,0.0,32.0,0.0,0.0,0.06237611772532079,0.0,?,0.0,0.2594210538686524,32.0,0.0
33.0,0.007281282,0.0,33.0,0.0,0.0,0.06076817223187847,0.0,?,0.0,0.20825158003693367,33.0,0.0
34.0,0.007535173,0.0,34.0,0.0,0.0,0.06166121107529555,0.0,?,0.0,0.29035139639544216,34.0,0.0
35.0,0.007730102,0.0,35.0,0.0,0.0,0.062426825826390725,0.0,?,0.0,0.11344251415046414,35.0,0.0
36.0,0.007946184,0.0,36.0,0.0,0.0,0.061538468679198655,0.0,?,0.0,0.22981884640260594,36.0,0.0
37.0,0.00811632,0.0,37.0,0.0,0.0,0.06075735615324235,0.0,?,0.0,0.16758129400429986,37.0,0.0
38.0,0.008268477,0.0,38.0,0.0,0.0,0.05975778441133699,0.0,?,0.0,0.17656287993203862,38.0,0.0
39.0,0.008422818,0.0,39.0,0.0,0.0,0.06011347090534908,0.0,?,0.0,0.12510764616346742,39.0,0.0
40.0,0.00857163,0.0,40.0,0.0,0.0,0.06066344650571204,0.0,?,0.0,0.11473677154505468,40.0,0.0
41.0,0.008723863,0.0,41.0,0.0,0.0,0.059199775619156514,0.0,?,0.0,0.19414351393498974,41.0,0.0
42.0,0.008885501,0.0,42.0,0.0,0.0,0.058820154802875786,0.0,?,0.0,0.23803623005760982,42.0,0.0
43.0,0.00904636,0.0,43.0,0.0,0.0,0.057555436346875155,0.0,?,0.0,0.1913731651782374,43.0,0.0
44.0,0.009198031,0.0,44.0,0.0,0.0,0.056262136633966425,0.0,?,0.0,0.1950569852733843,44.0,0.0
45.0,0.009349154,0.0,45.0,0.0,0.0,0.056535788904125917,0.0,?,0.0,0.12711596707524836,45.0,0.0
46.0,0.009496273,0.0,46.0,0.0,0.0,0.05644359024856017,0.0,?,0.0,0.14187388314515376,46.0,0.0
47.0,0.009644916,0.0,47.0,0.0,0.0,0.05617462870046995,0.0,?,0.0,0.14922929617128103,47.0,0.0
48.0,0.00979326,0.0,48.0,0.0,0.0,0.05538424711886112,0.0,?,0.0,0.21033604053884014,48.0,0.0
49.0,0.009943226,0.0,49.0,0.0,0.0,0.05495630439207764,0.0,?,0.0,0.2268947044450485,49.0,0.0
50.0,0.010091381,0.0,50.0,0.0,0.0,0.054459337509433645,0.0,?,0.0,0.16307403870944437,50.0,0.0
51.0,0.01024292,0.0,51.0,0.0,0.0,0.05376528154811096,0.0,?,0.0,0.17351735628214832,51.0,0.0
52.0,0.010394375,0.0,52.0,0.0,0.0,0.0540048024868769,0.0,?,0.0,0.125985695214264,52.0,0.0
53.0,0.010542648,0.0,53.0,0.0,0.0,0.05336336660411297,0.0,?,0.0,0.21094129761774738,53.0,0.0
54.0,0.010690414,0.0,54.0,0.0,0.0,0.0528592338399318,0.0,?,0.0,0.16516992223375335,54.0,0.0
55.0,0.010839008,0.0,55.0,0.0,0.0,0.052239372646727435,0.0,?,0.0,0.17205917362990417,55.0,0.0
56.0,0.010986918,0.0,56.0,0.0,0.0,0.052615951844233476,0.0,?,0.0,0.11715701835082606,56.0,0.0
57.0,0.011134839,0.0,57.0,0.0,0.0,0.05277358375437014,0.0,?,0.0,0.25077637164228894,57.0,0.0
58.0,0.011285841,0.0,58.0,0.0,0.0,0.05287030213263479,0.0,?,0.0,0.13187287001114262,58.0,0.0
59.0,0.011435247,0.0,59.0,0.0,0.0,0.052823456385091165,0.0,?,0.0,0.23935591497908354,59.0,0.0
60.0,0.011585148,0.0,60.0,0.0,0.0,0.05226502407555576,0.0,?,0.0,0.20941629083275368,60.0,0.0
61.0,0.011734148,0.0,61.0,0.0,0.0,0.052291219322403215,0.0,?,0.0,0.13655779751675237,61.0,0.0
62.0,0.011880071,0.0,62.0,0.0,0.0,0.052000755927354855,0.0,?,0.0,0.2238202215591905,62.0,0.0
63.0,0.012027415,0.0,63.0,0.0,0.0,0.05230251115732964,0.0,?,0.0,0.2611020115137677,63.0,0.0
64.0,0.012186141,0.0,64.0,0.0,0.0,0.05279720804450582,0.0,?,0.0,0.2751809520888254,64.0,0.0
65.0,0.012331944,0.0,65.0,0.0,0.0,0.05245635002213963,0.0,?,0.0,0.16188832718552623,65.0,0.0
66.0,0.012480667,0.0,66.0,0.0,0.0,0.05172942853819895,0.0,?,0.0,0.18757882497739437,66.0,0.0
67.0,0.012627162,0.0,67.0,0.0,0.0,0.05110485490712971,0.0,?,0.0,0.18210749010467697,67.0,0.0
68.0,0.012793395,0.0,68.0,0.0,0.0,0.051055911440385196,0.0,?,0.0,0.23961967713785048,68.0,0.0
69.0,0.012990816,0.0,69.0,0.0,0.0,0.05108617355197232,0.0,?,0.0,0.13940157934663475,69.0,0.0
70.0,0.013144965,0.0,70.0,0.0,0.0,0.05048865756387323,0.0,?,0.0,0.1825153192443958,70.0,0.0
71.0,0.01333532,0.0,71.0,0.0,0.0,0.05128008907006126,0.0,?,0.0,0.29832338164144034,71.0,0.0
72.0,0.013594411,0.0,72.0,0.0,0.0,0.051635360211358755,0.0,?,0.0,0.11628601525393671,72.0,0.0
73.0,0.013831663,0.0,73.0,0.0,0.0,0.0511994111893103,0.0,?,0.0,0.21188921349863496,73.0,0.0
74.0,0.014048512,0.0,74.0,0.0,0.0,0.051578574626181393,0.0,?,0.0,0.11309201105851882,74.0,0.0
75.0,0.014244147,0.0,75.0,0.0,0.0,0.05163865950819506,0.0,?,0.0,0.13519352842722168,75.0,0.0
76.0,0.014497693,0.0,76.0,0.0,0.0,0.05131176224499996,0.0,?,0.0,0.21732513749943308,76.0,0.0
77.0,0.014842624,0.0,77.0,0.0,0.0,0.051718990265697866,0.0,?,0.0,0.10821490893829244,77.0,0.0
78.0,0.015161423,0.0,78.0,0.0,0.0,0.05132503467135232,0.0,?,0.0,0.2108000681404164,78.0,0.0
79.0,0.015438452,0.0,79.0,0.0,0.0,0.05131707823459759,0.0,?,0.0,0.13938224644936192,79.0,0.0
80.0,0.015727114,0.0,80.0,0.0,0.0,0.050835604903032364,0.0,?,0.0,0.176637783361285,80.0,0.0
81.0,0.015972517,0.0,81.0,0.0,0.0,0.05113852503094307,0.0,?,0.0,0.2646491401880966,81.0,0.0
82.0,0.016267089,0.0,82.0,0.0,0.0,0.05126258270173015,0.0,?,0.0,0.25151877914822174,82.0,0.0
83.0,0.016553029,0.0,83.0,0.0,0.0,0.05130557525356846,0.0,?,0.0,0.24578618783699346,83.0,0.0
84.0,0.016745726,0.0,84.0,0.0,0.0,0.05168090397063073,0.0,?,0.0,0.2744490248496555,84.0,0.0
85.0,0.016915138,0.0,85.0,0.0,0.0,0.05149809196621148,0.0,?,0.0,0.15646006314270475,85.0,0.0
86.0,0.017066967,0.0,86.0,0.0,0.0,0.051688195764715186,0.0,?,0.0,0.12432972946963909,86.0,0.0
87.0,0.017229703,0.0,87.0,0.0,0.0,0.05208619717867457,0.0,?,0.0,0.2777021480649843,87.0,0.0
88.0,0.017383743,0.0,88.0,0.0,0.0,0.05216351982734721,0.0,?,0.0,0.25127053815432676,88.0,0.0
89.0,0.017535452,0.0,89.0,0.0,0.0,0.05179442749471869,0.0,?,0.0,0.21236346136884415,89.0,0.0
90.0,0.017687893,0.0,90.0,0.0,0.0,0.0523176033273487,0.0,?,0.0,0.29214642620857956,90.0,0.0
91.0,0.017840998,0.0,91.0,0.0,0.0,0.052017880954417915,0.0,?,0.0,0.21940771063926706,91.0,0.0
92.0,0.017992383,0.0,92.0,0.0,0.0,0.051553131509175974,0.0,?,0.0,0.1853791076014123,92.0,0.0
93.0,0.018143091,0.0,93.0,0.0,0.0,0.051161417289603196,0.0,?,0.0,0.20966308637821723,93.0,0.0
94.0,0.018294734,0.0,94.0,0.0,0.0,0.05127488962127007,0.0,?,0.0,0.1328741813508575,94.0,0.0
95.0,0.018448365,0.0,95.0,0.0,0.0,0.05142780890289479,0.0,?,0.0,0.12824203371316303,95.0,0.0
96.0,0.01861392,0.0,96.0,0.0,0.0,0.05090942221951491,0.0,?,0.0,0.1916889128285079,96.0,0.0
97.0,0.018764118,0.0,97.0,0.0,0.0,0.05122760611751921,0.0,?,0.0,0.11156102014164265,97.0,0.0
98.0,0.018925099,0.0,98.0,0.0,0.0,0.050983642154918775,0.0,?,0.0,0.21981039494792187,98.0,0.0
99.0,0.019085602,0.0,99.0,0.0,0.0,0.05148156009898054,0.0,?,0.0,0.29304754249434795,99.0,0.0
100.0,0.019244858,0.0,100.0,0.0,0.0,0.05145022334351629,0.0,?,0.0,0.24213081265832403,100.0,0.0
101.0,0.019407303,0.0,101.0,0.0,0.0,0.05156455031797977,0.0,?,0.0,0.13126915918696663,101.0,0.0
102.0,0.019567822,0.0,102.0,0.0,0.0,0.051085404251487866,0.0,?,0.0,0.19633432336072099,102.0,0.0
103.0,0.019727471,0.0,103.0,0.0,0.0,0.05133108825546544,0.0,?,0.0,0.27005991722663975,103.0,0.0
104.0,0.01988758,0.0,104.0,0.0,0.0,0.051717480185888905,0.0,?,0.0,0.10289487034849189,104.0,0.0
105.0,0.020045741,0.0,105.0,0.0,0.0,0.05132262239728702,0.0,?,0.0,0.18327334689857971,105.0,0.0
106.0,0.020204858,0.0,106.0,0.0,0.0,0.051445201181757945,0.0,?,0.0,0.2577490431907362,106.0,0.0
107.0,0.020361966,0.0,107.0,0.0,0.0,0.05155869234944004,0.0,?,0.0,0.1304510679832534,107.0,0.0
108.0,0.020516581,0.0,108.0,0.0,0.0,0.05131096973123544,0.0,?,0.0,0.168640887083245,108.0,0.0
109.0,0.020666561,0.0,109.0,0.0,0.0,0.05150452498114247,0.0,?,0.0,0.26562435595636236,109.0,0.0
110.0,0.020831446,0.0,110.0,0.0,0.0,0.051332595624596355,0.0,?,0.0,0.16128786631566794,110.0,0.0
111.0,0.020988562,0.0,111.0,0.0,0.0,0.05165104435670778,0.0,?,0.0,0.2802642733678748,111.0,0.0
112.0,0.021138599,0.0,112.0,0.0,0.0,0.05174543746624222,0.0,?,0.0,0.13214170040289427,112.0,0.0
113.0,0.021289583,0.0,113.0,0.0,0.0,0.05191486775825146,0.0,?,0.0,0.1229181494157395,113.0,0.0
114.0,0.021440722,0.0,114.0,0.0,0.0,0.05165637528858661,0.0,?,0.0,0.17073512914519245,114.0,0.0
115.0,0.021590899,0.0,115.0,0.0,0.0,0.05194884555673068,0.0,?,0.0,0.2782754103796448,115.0,0.0
116.0,0.021740143,0.0,116.0,0.0,0.0,0.05215463494318612,0.0,?,0.0,0.11790619600914713,116.0,0.0
117.0,0.02189132,0.0,117.0,0.0,0.0,0.05246700611229363,0.0,?,0.0,0.2817750478615282,117.0,0.0
118.0,0.022041479,0.0,118.0,0.0,0.0,0.05211577811635357,0.0,?,0.0,0.18280902082112976,118.0,0.0
119.0,0.022191893,0.0,119.0,0.0,0.0,0.05207413734496036,0.0,?,0.0,0.2408982420839786,119.0,0.0
120.0,0.022348509,0.0,120.0,0.0,0.0,0.05247295858812905,0.0,?,0.0,0.2940667092324911,120.0,0.0
121.0,0.022502543,0.0,121.0,0.0,0.0,0.05267951695369912,0.0,?,0.0,0.11750027427289049,121.0,0.0
122.0,0.022652246,0.0,122.0,0.0,0.0,0.05228663440544422,0.0,?,0.0,0.18957872984804927,122.0,0.0
123.0,0.022803036,0.0,123.0,0.0,0.0,0.05211297372424652,0.0,?,0.0,0.2252140297617389,123.0,0.0
124.0,0.022956889,0.0,124.0,0.0,0.0,0.05214345036834535,0.0,?,0.0,0.250431170643578,124.0,0.0
