learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,5.0191E-5,0.0,1.0,0.0,0.0,0.30309794203239043,0.0,?,0.0,0.30309794203239043,1.0,0.0
2.0,4.04245E-4,0.0,2.0,0.0,0.0,0.1889433504387397,0.0,?,0.0,0.22830918318730148,2.0,0.0
3.0,6.10038E-4,0.0,3.0,0.0,0.0,0.13307502332592977,0.0,?,0.0,0.2870419317101559,3.0,0.0
4.0,8.06933E-4,0.0,4.0,0.0,0.0,0.1026322283317609,0.0,?,0.0,0.261512508960695,4.0,0.0
5.0,0.001006323,0.0,5.0,0.0,0.0,0.10606715079069473,0.0,?,0.0,0.15018355084620566,5.0,0.0
6.0,0.001200954,0.0,6.0,0.0,0.0,0.09134928617258868,0.0,?,0.0,0.22826906026529134,6.0,0.0
7.0,0.001389072,0.0,7.0,0.0,0.0,0.09965071172972498,0.0,?,0.0,0.39252829457288274,7.0,0.0
8.0,0.001577014,0.0,8.0,0.0,0.0,0.08753134417578745,0.0,?,0.0,0.2671161243803565,8.0,0.0
9.0,0.001765922,0.0,9.0,0.0,0.0,0.08065209674878268,0.0,?,0.0,0.29037544182715447,9.0,0.0
10.0,0.00197018,0.0,10.0,0.0,0.0,0.08102094844260065,0.0,?,0.0,0.35194439566278823,10.0,0.0
11.0,0.002255805,0.0,11.0,0.0,0.0,0.07882247601356508,0.0,?,0.0,0.2192000916213127,11.0,0.0
12.0,0.002569105,0.0,12.0,0.0,0.0,0.0743744794676283,0.0,?,0.0,0.2963172924683724,12.0,0.0
13.0,0.002875275,0.0,13.0,0.0,0.0,0.07526471127325571,0.0,?,0.0,0.35893881106869346,13.0,0.0
14.0,0.00318435,0.0,14.0,0.0,0.0,0.07073041823327415,0.0,?,0.0,0.29138727245225227,14.0,0.0
15.0,0.003496241,0.0,15.0,0.0,0.0,0.06803840904753779,0.0,?,0.0,0.2500941410567609,15.0,0.0
16.0,0.003809854,0.0,16.0,0.0,0.0,0.06733239877104882,0.0,?,0.0,0.33516331409788863,16.0,0.0
17.0,0.004141731,0.0,17.0,0.0,0.0,0.06513731595411441,0.0,?,0.0,0.31198345064632016,17.0,0.0
18.0,0.0044402,0.0,18.0,0.0,0.0,0.06380334621609762,0.0,?,0.0,0.24260724561588323,18.0,0.0
19.0,0.004736541,0.0,19.0,0.0,0.0,0.06628490195194263,0.0,?,0.0,0.17049543105133091,19.0,0.0
20.0,0.005076119,0.0,20.0,0.0,0.0,0.07150468511102673,0.0,?,0.0,0.10492814452553531,20.0,0.0
21.0,0.005377833,0.0,21.0,0.0,0.0,0.07311347548523092,0.0,?,0.0,0.37236396437179364,21.0,0.0
22.0,0.005671911,0.0,22.0,0.0,0.0,0.07090162691420071,0.0,?,0.0,0.2476356498594036,22.0,0.0
23.0,0.005961973,0.0,23.0,0.0,0.0,0.06945210008445586,0.0,?,0.0,0.30853947538828597,23.0,0.0
24.0,0.006262028,0.0,24.0,0.0,0.0,0.0694692000613268,0.0,?,0.0,0.34247261768888226,24.0,0.0
25.0,0.006607627,0.0,25.0,0.0,0.0,0.07093821918150527,0.0,?,0.0,0.16932637757412544,25.0,0.0
26.0,0.006904582,0.0,26.0,0.0,0.0,0.07265592902053887,0.0,?,0.0,0.15567459352090363,26.0,0.0
27.0,0.00708779,0.0,27.0,0.0,0.0,0.07304661948434117,0.0,?,0.0,0.3500317371760075,27.0,0.0
28.0,0.007331995,0.0,28.0,0.0,0.0,0.07102849801961607,0.0,?,0.0,0.2864480349027413,28.0,0.0
29.0,0.007577085,0.0,29.0,0.0,0.0,0.06987454495035178,0.0,?,0.0,0.3080633618156555,29.0,0.0
30.0,0.007800885,0.0,30.0,0.0,0.0,0.07166789638671996,0.0,?,0.0,0.1481197202464431,30.0,0.0
31.0,0.008008579,0.0,31.0,0.0,0.0,0.07106230893533437,0.0,?,0.0,0.21477761995936012,31.0,0.0
32.0,0.008168905,0.0,32.0,0.0,0.0,0.07196446543284968,0.0,?,0.0,0.36589734203495894,32.0,0.0
33.0,0.008334012,0.0,33.0,0.0,0.0,0.07331711538345835,0.0,?,0.0,0.3856907926338149,33.0,0.0
34.0,0.008498165,0.0,34.0,0.0,0.0,0.07329448107599736,0.0,?,0.0,0.2000747212284561,34.0,0.0
35.0,0.008659519,0.0,35.0,0.0,0.0,0.07390674129638283,0.0,?,0.0,0.17576492992964077,35.0,0.0
36.0,0.008820024,0.0,36.0,0.0,0.0,0.07333008012635703,0.0,?,0.0,0.2146351912925477,36.0,0.0
37.0,0.008981773,0.0,37.0,0.0,0.0,0.07329397415331118,0.0,?,0.0,0.3382999857256771,37.0,0.0
38.0,0.009145421,0.0,38.0,0.0,0.0,0.07408173577629928,0.0,?,0.0,0.16502269885958046,38.0,0.0
39.0,0.009403717,0.0,39.0,0.0,0.0,0.07629641326537938,0.0,?,0.0,0.10508090641952031,39.0,0.0
40.0,0.009686186,0.0,40.0,0.0,0.0,0.07658638696325662,0.0,?,0.0,0.17352549391382294,40.0,0.0
41.0,0.009967183,0.0,41.0,0.0,0.0,0.07852705843573751,0.0,?,0.0,0.10306955372980618,41.0,0.0
42.0,0.010167911,0.0,42.0,0.0,0.0,0.07869722920754788,0.0,?,0.0,0.34108906978643105,42.0,0.0
43.0,0.010358913,0.0,43.0,0.0,0.0,0.0782043959598085,0.0,?,0.0,0.31496010112874184,43.0,0.0
44.0,0.010530436,0.0,44.0,0.0,0.0,0.07980473183343678,0.0,?,0.0,0.11017286204790022,44.0,0.0
45.0,0.010708627,0.0,45.0,0.0,0.0,0.0790748432329381,0.0,?,0.0,0.20845458312727844,45.0,0.0
46.0,0.010876767,0.0,46.0,0.0,0.0,0.07871846203588481,0.0,?,0.0,0.1916894698850993,46.0,0.0
47.0,0.011047363,0.0,47.0,0.0,0.0,0.07785424505201206,0.0,?,0.0,0.2149078771256221,47.0,0.0
48.0,0.01121529,0.0,48.0,0.0,0.0,0.07666013226531397,0.0,?,0.0,0.2727343282994835,48.0,0.0
49.0,0.011409321,0.0,49.0,0.0,0.0,0.07548224327923755,0.0,?,0.0,0.23368177571329604,49.0,0.0
50.0,0.011577372,0.0,50.0,0.0,0.0,0.07583720210178267,0.0,?,0.0,0.3454689285582253,50.0,0.0
51.0,0.011749161,0.0,51.0,0.0,0.0,0.07593512328992515,0.0,?,0.0,0.3349345305369106,51.0,0.0
