learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,1.52181E-4,0.0,1.0,0.0,0.0,0.20120000000000002,0.0,?,0.0,0.20120000000000002,1.0,0.0
2.0,9.62522E-4,0.0,2.0,0.0,0.0,0.10120000000000001,0.0,?,0.0,0.20240000000000002,2.0,0.0
3.0,0.001387075,0.0,3.0,0.0,0.0,0.06806666666666668,0.0,?,0.0,0.20360000000000003,3.0,0.0
4.0,0.001837859,0.0,4.0,0.0,0.0,0.05165000000000001,0.0,?,0.0,0.20480000000000004,4.0,0.0
5.0,0.002257829,0.0,5.0,0.0,0.0,0.04192000000000001,0.0,?,0.0,0.20600000000000004,5.0,0.0
6.0,0.002637424,0.0,6.0,0.0,0.0,0.03553333333333335,0.0,?,0.0,0.20720000000000005,6.0,0.0
7.0,0.003028552,0.0,7.0,0.0,0.0,0.03105714285714287,0.0,?,0.0,0.20840000000000006,7.0,0.0
8.0,0.003514961,0.0,8.0,0.0,0.0,0.027775000000000015,0.0,?,0.0,0.20960000000000006,8.0,0.0
9.0,0.003919113,0.0,9.0,0.0,0.0,0.025288888888888906,0.0,?,0.0,0.21080000000000007,9.0,0.0
10.0,0.004284114,0.0,10.0,0.0,0.0,0.02336000000000002,0.0,?,0.0,0.21200000000000008,10.0,0.0
11.0,0.004651244,0.0,11.0,0.0,0.0,0.021836363636363657,0.0,?,0.0,0.21320000000000008,11.0,0.0
12.0,0.005200495,0.0,12.0,0.0,0.0,0.02061666666666669,0.0,?,0.0,0.2144000000000001,12.0,0.0
13.0,0.005645254,0.0,13.0,0.0,0.0,0.019630769230769254,0.0,?,0.0,0.2156000000000001,13.0,0.0
14.0,0.006027926,0.0,14.0,0.0,0.0,0.018828571428571455,0.0,?,0.0,0.2168000000000001,14.0,0.0
15.0,0.006389604,0.0,15.0,0.0,0.0,0.01817333333333336,0.0,?,0.0,0.2180000000000001,15.0,0.0
16.0,0.006745998,0.0,16.0,0.0,0.0,0.017637500000000028,0.0,?,0.0,0.21920000000000012,16.0,0.0
17.0,0.007477926,0.0,17.0,0.0,0.0,0.01720000000000003,0.0,?,0.0,0.22040000000000012,17.0,0.0
18.0,0.007958437,0.0,18.0,0.0,0.0,0.016844444444444478,0.0,?,0.0,0.22160000000000013,18.0,0.0
19.0,0.008293348,0.0,19.0,0.0,0.0,0.01655789473684214,0.0,?,0.0,0.22280000000000014,19.0,0.0
20.0,0.008623476,0.0,20.0,0.0,0.0,0.016330000000000035,0.0,?,0.0,0.22400000000000014,20.0,0.0
21.0,0.008941996,0.0,21.0,0.0,0.0,0.01615238095238099,0.0,?,0.0,0.22520000000000015,21.0,0.0
22.0,0.009254484,0.0,22.0,0.0,0.0,0.016018181818181862,0.0,?,0.0,0.22640000000000016,22.0,0.0
23.0,0.009549962,0.0,23.0,0.0,0.0,0.015921739130434823,0.0,?,0.0,0.22760000000000016,23.0,0.0
24.0,0.0099907,0.0,24.0,0.0,0.0,0.015858333333333377,0.0,?,0.0,0.22880000000000017,24.0,0.0
25.0,0.010338751,0.0,25.0,0.0,0.0,0.015824000000000046,0.0,?,0.0,0.23000000000000018,25.0,0.0
26.0,0.010712151,0.0,26.0,0.0,0.0,0.01581538461538466,0.0,?,0.0,0.23120000000000018,26.0,0.0
27.0,0.011050478,0.0,27.0,0.0,0.0,0.01582962962962968,0.0,?,0.0,0.2324000000000002,27.0,0.0
28.0,0.011392906,0.0,28.0,0.0,0.0,0.015864285714285765,0.0,?,0.0,0.2336000000000002,28.0,0.0
29.0,0.011734296,0.0,29.0,0.0,0.0,0.015917241379310398,0.0,?,0.0,0.2348000000000002,29.0,0.0
30.0,0.012070164,0.0,30.0,0.0,0.0,0.015986666666666722,0.0,?,0.0,0.2360000000000002,30.0,0.0
31.0,0.012442112,0.0,31.0,0.0,0.0,0.01607096774193554,0.0,?,0.0,0.23720000000000022,31.0,0.0
32.0,0.012832222,0.0,32.0,0.0,0.0,0.016168750000000058,0.0,?,0.0,0.23840000000000022,32.0,0.0
33.0,0.013281925,0.0,33.0,0.0,0.0,0.01627878787878794,0.0,?,0.0,0.23960000000000023,33.0,0.0
34.0,0.013546048,0.0,34.0,0.0,0.0,0.01640000000000006,0.0,?,0.0,0.24080000000000024,34.0,0.0
35.0,0.013749741,0.0,35.0,0.0,0.0,0.016531428571428634,0.0,?,0.0,0.24200000000000024,35.0,0.0
36.0,0.013928329,0.0,36.0,0.0,0.0,0.016672222222222286,0.0,?,0.0,0.24320000000000025,36.0,0.0
37.0,0.014161264,0.0,37.0,0.0,0.0,0.016821621621621687,0.0,?,0.0,0.24440000000000026,37.0,0.0
38.0,0.01450256,0.0,38.0,0.0,0.0,0.01697894736842112,0.0,?,0.0,0.24560000000000026,38.0,0.0
39.0,0.014831077,0.0,39.0,0.0,0.0,0.017143589743589812,0.0,?,0.0,0.24680000000000027,39.0,0.0
40.0,0.015170508,0.0,40.0,0.0,0.0,0.01731500000000007,0.0,?,0.0,0.24800000000000028,40.0,0.0
41.0,0.015512961,0.0,41.0,0.0,0.0,0.01749268292682934,0.0,?,0.0,0.24920000000000028,41.0,0.0
42.0,0.015902578,0.0,42.0,0.0,0.0,0.01767619047619055,0.0,?,0.0,0.2504000000000003,42.0,0.0
43.0,0.016105532,0.0,43.0,0.0,0.0,0.01786511627906984,0.0,?,0.0,0.25160000000000027,43.0,0.0
44.0,0.016286928,0.0,44.0,0.0,0.0,0.018059090909090983,0.0,?,0.0,0.25280000000000025,44.0,0.0
45.0,0.016456807,0.0,45.0,0.0,0.0,0.01825777777777785,0.0,?,0.0,0.2540000000000002,45.0,0.0
46.0,0.016624391,0.0,46.0,0.0,0.0,0.018460869565217464,0.0,?,0.0,0.2552000000000002,46.0,0.0
47.0,0.016792225,0.0,47.0,0.0,0.0,0.01866808510638305,0.0,?,0.0,0.2564000000000002,47.0,0.0
48.0,0.016958367,0.0,48.0,0.0,0.0,0.018879166666666735,0.0,?,0.0,0.25760000000000016,48.0,0.0
49.0,0.017126898,0.0,49.0,0.0,0.0,0.019093877551020474,0.0,?,0.0,0.25880000000000014,49.0,0.0
