learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,4.363E-5,0.0,1.0,0.0,0.0,0.2884428251559835,0.0,?,0.0,0.2884428251559835,1.0,0.0
2.0,5.40347E-4,0.0,2.0,0.0,0.0,0.14542985138156508,0.0,?,0.0,0.28602594754883687,2.0,0.0
3.0,8.54887E-4,0.0,3.0,0.0,0.0,0.099731342796379,0.0,?,0.0,0.27890006072640333,3.0,0.0
4.0,0.001165835,0.0,4.0,0.0,0.0,0.08439148625723072,0.0,?,0.0,0.246084361170622,4.0,0.0
5.0,0.001473276,0.0,5.0,0.0,0.0,0.07009487460237993,0.0,?,0.0,0.2877717266334382,5.0,0.0
6.0,0.001780755,0.0,6.0,0.0,0.0,0.07674061228177459,0.0,?,0.0,0.16747568356830886,6.0,0.0
7.0,0.002087082,0.0,7.0,0.0,0.0,0.08709781894076053,0.0,?,0.0,0.10987570857258927,7.0,0.0
8.0,0.002471015,0.0,8.0,0.0,0.0,0.08318163928778237,0.0,?,0.0,0.29356499791353263,8.0,0.0
9.0,0.002827198,0.0,9.0,0.0,0.0,0.08970125208433033,0.0,?,0.0,0.10290950945450027,9.0,0.0
10.0,0.003142713,0.0,10.0,0.0,0.0,0.08615705663985598,0.0,?,0.0,0.2832649443889441,10.0,0.0
11.0,0.003470426,0.0,11.0,0.0,0.0,0.08422068074486413,0.0,?,0.0,0.16957465471837027,11.0,0.0
12.0,0.00379795,0.0,12.0,0.0,0.0,0.08770803947731155,0.0,?,0.0,0.1024665071795423,12.0,0.0
13.0,0.004101514,0.0,13.0,0.0,0.0,0.08355239698248006,0.0,?,0.0,0.18434505687475403,13.0,0.0
14.0,0.00440014,0.0,14.0,0.0,0.0,0.08406658038512889,0.0,?,0.0,0.12468764952703833,14.0,0.0
15.0,0.004728467,0.0,15.0,0.0,0.0,0.08346949672534858,0.0,?,0.0,0.13384607689963737,15.0,0.0
16.0,0.005026171,0.0,16.0,0.0,0.0,0.08055427338822388,0.0,?,0.0,0.24077497068685358,16.0,0.0
17.0,0.005316091,0.0,17.0,0.0,0.0,0.07593812808812388,0.0,?,0.0,0.20833047085023357,17.0,0.0
18.0,0.005618652,0.0,18.0,0.0,0.0,0.07200804268334016,0.0,?,0.0,0.20117641813148845,18.0,0.0
19.0,0.005933529,0.0,19.0,0.0,0.0,0.06891424092478143,0.0,?,0.0,0.21931011871522876,19.0,0.0
20.0,0.006248011,0.0,20.0,0.0,0.0,0.06925366792093836,0.0,?,0.0,0.1310776238213594,20.0,0.0
21.0,0.006589755,0.0,21.0,0.0,0.0,0.06803469102167861,0.0,?,0.0,0.15934011259039954,21.0,0.0
22.0,0.006974331,0.0,22.0,0.0,0.0,0.06634943076738306,0.0,?,0.0,0.16995748338844568,22.0,0.0
23.0,0.007329099,0.0,23.0,0.0,0.0,0.0670069577964587,0.0,?,0.0,0.11803667067826411,23.0,0.0
24.0,0.00761139,0.0,24.0,0.0,0.0,0.06472526527851054,0.0,?,0.0,0.20821327559156272,24.0,0.0
25.0,0.007893311,0.0,25.0,0.0,0.0,0.06232583163066534,0.0,?,0.0,0.1917377782003838,25.0,0.0
26.0,0.008192678,0.0,26.0,0.0,0.0,0.06172900812212108,0.0,?,0.0,0.24309604572798346,26.0,0.0
27.0,0.008489067,0.0,27.0,0.0,0.0,0.06143104210685018,0.0,?,0.0,0.2517718748911416,27.0,0.0
28.0,0.008786408,0.0,28.0,0.0,0.0,0.0627302632901606,0.0,?,0.0,0.10226700748660042,28.0,0.0
29.0,0.009086361,0.0,29.0,0.0,0.0,0.06293053358387556,0.0,?,0.0,0.2651211575611961,29.0,0.0
30.0,0.009375502,0.0,30.0,0.0,0.0,0.06161744603722266,0.0,?,0.0,0.22248434575855228,30.0,0.0
31.0,0.009679162,0.0,31.0,0.0,0.0,0.062374235478426736,0.0,?,0.0,0.11465311676585765,31.0,0.0
32.0,0.009994961,0.0,32.0,0.0,0.0,0.06237611772532083,0.0,?,0.0,0.2594210538686524,32.0,0.0
33.0,0.01030501,0.0,33.0,0.0,0.0,0.06076817223187851,0.0,?,0.0,0.20825158003693367,33.0,0.0
34.0,0.010613534,0.0,34.0,0.0,0.0,0.06166121107529559,0.0,?,0.0,0.29035139639544216,34.0,0.0
35.0,0.010919613,0.0,35.0,0.0,0.0,0.06242682582639076,0.0,?,0.0,0.11344251415046414,35.0,0.0
36.0,0.011245445,0.0,36.0,0.0,0.0,0.06153846867919869,0.0,?,0.0,0.22981884640260594,36.0,0.0
