learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,1.8826E-5,0.0,1.0,0.0,0.0,0.30309794203239043,0.0,?,0.0,0.30309794203239043,1.0,0.0
2.0,4.81591E-4,0.0,2.0,0.0,0.0,0.2873943794225445,0.0,?,0.0,0.22830918318730148,2.0,0.0
3.0,7.46984E-4,0.0,3.0,0.0,0.0,0.4218739408067149,0.0,?,0.0,0.2870419317101559,3.0,0.0
4.0,0.001004377,0.0,4.0,0.0,0.0,0.5007696657687254,0.0,?,0.0,0.261512508960695,4.0,0.0
5.0,0.001281499,0.0,5.0,0.0,0.0,0.5692003178690251,0.0,?,0.0,0.15018355084620566,5.0,0.0
6.0,0.001569772,0.0,6.0,0.0,0.0,0.5880736819559907,0.0,?,0.0,0.22826906026529134,6.0,0.0
7.0,0.001850738,0.0,7.0,0.0,0.0,0.5876807588023826,0.0,?,0.0,0.39252829457288274,7.0,0.0
8.0,0.002141945,0.0,8.0,0.0,0.0,0.6018955423589999,0.0,?,0.0,0.2671161243803565,8.0,0.0
9.0,0.00242083,0.0,9.0,0.0,0.0,0.613291502102481,0.0,?,0.0,0.29037544182715447,9.0,0.0
10.0,0.002732937,0.0,10.0,0.0,0.0,0.616703188476291,0.0,?,0.0,0.35194439566278823,10.0,0.0
11.0,0.003034858,0.0,11.0,0.0,0.0,0.6307575715931275,0.0,?,0.0,0.2192000916213127,11.0,0.0
12.0,0.003300764,0.0,12.0,0.0,0.0,0.6345211055961596,0.0,?,0.0,0.2963172924683724,12.0,0.0
13.0,0.003571625,0.0,13.0,0.0,0.0,0.6350100433970288,0.0,?,0.0,0.35893881106869346,13.0,0.0
14.0,0.003840591,0.0,14.0,0.0,0.0,0.6393819960140866,0.0,?,0.0,0.29138727245225227,14.0,0.0
15.0,0.004170575,0.0,15.0,0.0,0.0,0.6467136929628962,0.0,?,0.0,0.2500941410567609,15.0,0.0
16.0,0.004449479,0.0,16.0,0.0,0.0,0.6471479609233456,0.0,?,0.0,0.33516331409788863,16.0,0.0
17.0,0.004661985,0.0,17.0,0.0,0.0,0.6493105657392877,0.0,?,0.0,0.31198345064632016,17.0,0.0
18.0,0.004811587,0.0,18.0,0.0,0.0,0.6552975895978403,0.0,?,0.0,0.24260724561588323,18.0,0.0
19.0,0.004958629,0.0,19.0,0.0,0.0,0.6637016461654682,0.0,?,0.0,0.17049543105133091,19.0,0.0
20.0,0.005121498,0.0,20.0,0.0,0.0,0.6718742930595053,0.0,?,0.0,0.10492814452553531,20.0,0.0
21.0,0.005335483,0.0,21.0,0.0,0.0,0.6628453926258978,0.0,?,0.0,0.37236396437179364,21.0,0.0
22.0,0.005544092,0.0,22.0,0.0,0.0,0.6660504293265421,0.0,?,0.0,0.2476356498594036,22.0,0.0
23.0,0.005714576,0.0,23.0,0.0,0.0,0.6666235258399099,0.0,?,0.0,0.30853947538828597,23.0,0.0
24.0,0.005855645,0.0,24.0,0.0,0.0,0.6662395851042444,0.0,?,0.0,0.34247261768888226,24.0,0.0
25.0,0.005995525,0.0,25.0,0.0,0.0,0.6725696557585117,0.0,?,0.0,0.16932637757412544,25.0,0.0
26.0,0.006137373,0.0,26.0,0.0,0.0,0.6765188164966537,0.0,?,0.0,0.15567459352090363,26.0,0.0
27.0,0.006278717,0.0,27.0,0.0,0.0,0.6724516504875737,0.0,?,0.0,0.3500317371760075,27.0,0.0
28.0,0.006419162,0.0,28.0,0.0,0.0,0.6736062181412034,0.0,?,0.0,0.2864480349027413,28.0,0.0
29.0,0.006559409,0.0,29.0,0.0,0.0,0.6742000856236534,0.0,?,0.0,0.3080633618156555,29.0,0.0
30.0,0.006699869,0.0,30.0,0.0,0.0,0.6801194715375986,0.0,?,0.0,0.1481197202464431,30.0,0.0
31.0,0.006843738,0.0,31.0,0.0,0.0,0.680554975148066,0.0,?,0.0,0.21477761995936012,31.0,0.0
32.0,0.006988284,0.0,32.0,0.0,0.0,0.6781433352073186,0.0,?,0.0,0.36589734203495894,32.0,0.0
33.0,0.007129773,0.0,33.0,0.0,0.0,0.6757346863627005,0.0,?,0.0,0.3856907926338149,33.0,0.0
34.0,0.007271553,0.0,34.0,0.0,0.0,0.6785956623933957,0.0,?,0.0,0.2000747212284561,34.0,0.0
35.0,0.007412529,0.0,35.0,0.0,0.0,0.6815691730018856,0.0,?,0.0,0.17576492992964077,35.0,0.0
36.0,0.007552759,0.0,36.0,0.0,0.0,0.6827080392869028,0.0,?,0.0,0.2146351912925477,36.0,0.0
37.0,0.007695508,0.0,37.0,0.0,0.0,0.6813073419107365,0.0,?,0.0,0.3382999857256771,37.0,0.0
38.0,0.0078365,0.0,38.0,0.0,0.0,0.6852211705436415,0.0,?,0.0,0.16502269885958046,38.0,0.0
39.0,0.007977471,0.0,39.0,0.0,0.0,0.6887153764631945,0.0,?,0.0,0.10508090641952031,39.0,0.0
