learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001090434,6.442848234126965E-11,1.0,0.0,0.0,0.16523087205641324,0.0,?,0.0,0.16523087205641324,1.0,245712.0
2.0,0.080938874,5.145847966741357E-9,2.0,0.0,0.0,0.17335942757599115,0.0,?,0.0,0.3467188551519823,2.0,245992.0
3.0,0.131664916,8.37396736625996E-9,3.0,0.0,0.0,0.15155231464748317,0.0,?,0.0,0.1480367748137305,3.0,245992.0
4.0,0.166939999,1.0618813903900899E-8,4.0,0.0,0.0,0.1380103073303501,0.0,?,0.0,0.3173797860529929,4.0,245992.0
5.0,0.203130955,1.2921945048071858E-8,5.0,0.0,0.0,0.12482207472078108,0.0,?,0.0,0.3164107163012847,5.0,245992.0
6.0,0.232295746,1.4779210503658073E-8,6.0,0.0,0.0,0.1200761006830124,0.0,?,0.0,0.16240917038111172,6.0,246160.0
7.0,0.253589241,1.6135217913147063E-8,7.0,0.0,0.0,0.11211527341418659,0.0,?,0.0,0.1783473859916875,7.0,246160.0
8.0,0.276882336,1.7618563386021803E-8,8.0,0.0,0.0,0.10005212100234366,0.0,?,0.0,0.21789474027330008,8.0,246160.0
9.0,0.298868058,1.9018653034760305E-8,9.0,0.0,0.0,0.10425086786212542,0.0,?,0.0,0.36939438036819244,9.0,246160.0
10.0,0.320434854,2.0392064735138167E-8,10.0,0.0,0.0,0.09611563971179048,0.0,?,0.0,0.26976777317996437,10.0,246160.0
11.0,0.342031185,2.176735727653528E-8,11.0,0.0,0.0,0.08765594827133939,0.0,?,0.0,0.2461000115902375,11.0,246160.0
12.0,0.362891746,2.3095794683456834E-8,12.0,0.0,0.0,0.0872844919871239,0.0,?,0.0,0.16568247860841898,12.0,246160.0
13.0,0.383593366,2.441411044648331E-8,13.0,0.0,0.0,0.09217250671566439,0.0,?,0.0,0.39277642885559333,13.0,246160.0
14.0,0.403596092,2.5687919403912705E-8,14.0,0.0,0.0,0.08658324636340274,0.0,?,0.0,0.26747281360130193,14.0,246160.0
15.0,0.423947892,2.698395801084116E-8,15.0,0.0,0.0,0.08113502136052375,0.0,?,0.0,0.25940431326494745,15.0,246160.0
16.0,0.443992998,2.8261336996387688E-8,16.0,0.0,0.0,0.08081812575210041,0.0,?,0.0,0.33093312499182764,16.0,246328.0
17.0,0.459819913,2.926991079125967E-8,17.0,0.0,0.0,0.08350274539143981,0.0,?,0.0,0.1331658169718163,17.0,246328.0
18.0,0.474448805,3.020214029519094E-8,18.0,0.0,0.0,0.08377636121657582,0.0,?,0.0,0.3406116798000528,18.0,246328.0
19.0,0.489422855,3.1156365071978006E-8,19.0,0.0,0.0,0.08732847425203598,0.0,?,0.0,0.10582999790161751,19.0,246328.0
20.0,0.504261866,3.210198445746261E-8,20.0,0.0,0.0,0.08992236345460704,0.0,?,0.0,0.10992885328372583,20.0,246328.0
21.0,0.51908799,3.3046782615911214E-8,21.0,0.0,0.0,0.0877726780832434,0.0,?,0.0,0.19739582801603928,21.0,246328.0
22.0,0.533550136,3.396838619267982E-8,22.0,0.0,0.0,0.08392541061738805,0.0,?,0.0,0.23690967290158566,22.0,246328.0
23.0,0.54796233,3.488680656677112E-8,23.0,0.0,0.0,0.08615265319607078,0.0,?,0.0,0.10474807708917383,23.0,246328.0
24.0,0.562299233,3.580042900458806E-8,24.0,0.0,0.0,0.08685012785103552,0.0,?,0.0,0.1311318486259493,24.0,246328.0
25.0,0.576643071,3.671449337687343E-8,25.0,0.0,0.0,0.08989266597742054,0.0,?,0.0,0.3926503060137006,25.0,246328.0
26.0,0.591017208,3.76304885598955E-8,26.0,0.0,0.0,0.09081821542504172,0.0,?,0.0,0.12229631662789488,26.0,246328.0
27.0,0.602828534,3.8383168023094116E-8,27.0,0.0,0.0,0.09314798510445603,0.0,?,0.0,0.3855923053351719,27.0,246328.0
28.0,0.61399487,3.909474535034555E-8,28.0,0.0,0.0,0.09190971723560494,0.0,?,0.0,0.296040200630319,28.0,246328.0
29.0,0.629106663,4.005774783145636E-8,29.0,0.0,0.0,0.09388817513390206,0.0,?,0.0,0.388937158024794,29.0,246328.0
30.0,0.644412962,4.103314525210816E-8,30.0,0.0,0.0,0.09347817995809964,0.0,?,0.0,0.32638824009103,30.0,246328.0
31.0,0.659678846,4.200596721759894E-8,31.0,0.0,0.0,0.0920105332997083,0.0,?,0.0,0.19953839734522633,31.0,246328.0
32.0,0.674897668,4.297579014632644E-8,32.0,0.0,0.0,0.08980445015456402,0.0,?,0.0,0.224555879736557,32.0,246328.0
33.0,0.690580133,4.3975158831758626E-8,33.0,0.0,0.0,0.08735975546133766,0.0,?,0.0,0.23617298109308227,33.0,246328.0
34.0,0.705771606,4.494323893917724E-8,34.0,0.0,0.0,0.08712025674762629,0.0,?,0.0,0.3242426532851732,34.0,246328.0
35.0,0.720949006,4.5910422241437346E-8,35.0,0.0,0.0,0.0851414934083401,0.0,?,0.0,0.2652192998213121,35.0,246328.0
36.0,0.735967101,4.686810650821154E-8,36.0,0.0,0.0,0.08283635830678165,0.0,?,0.0,0.25002277655444216,36.0,246496.0
37.0,0.750909297,4.782095079507057E-8,37.0,0.0,0.0,0.08260484769786015,0.0,?,0.0,0.3221965189608984,37.0,246496.0
38.0,0.765542929,4.875411835940968E-8,38.0,0.0,0.0,0.08377120379076732,0.0,?,0.0,0.12300698384173647,38.0,246496.0
39.0,0.776269655,4.9438147640366927E-8,39.0,0.0,0.0,0.08170488171611802,0.0,?,0.0,0.2434085523161949,39.0,246496.0
40.0,0.787053601,5.012582576585105E-8,40.0,0.0,0.0,0.08269376890066807,0.0,?,0.0,0.1252511685877893,40.0,246496.0
41.0,0.797781621,5.080993756349508E-8,41.0,0.0,0.0,0.08275912729557891,0.0,?,0.0,0.15810656536644427,41.0,246496.0
42.0,0.808653903,5.150324876011038E-8,42.0,0.0,0.0,0.08368463845494555,0.0,?,0.0,0.11976715288186929,42.0,246496.0
43.0,0.819346824,5.2185122340451916E-8,43.0,0.0,0.0,0.08347863182689513,0.0,?,0.0,0.3133281357484582,43.0,246496.0
44.0,0.832094271,5.2998010355439025E-8,44.0,0.0,0.0,0.08511754834737567,0.0,?,0.0,0.3958328887823424,44.0,246496.0
45.0,0.842815931,5.36817165842052E-8,45.0,0.0,0.0,0.08484720799394263,0.0,?,0.0,0.3167303206501022,45.0,246496.0
46.0,0.853359356,5.435405700024423E-8,46.0,0.0,0.0,0.08599737285426656,0.0,?,0.0,0.3831540404970093,46.0,246496.0
47.0,0.863849872,5.502302347858539E-8,47.0,0.0,0.0,0.08417768778485821,0.0,?,0.0,0.2479217437180235,47.0,246496.0
48.0,0.874589262,5.570786032625163E-8,48.0,0.0,0.0,0.08477500857373847,0.0,?,0.0,0.3612329576932913,48.0,246496.0
49.0,0.885260441,5.638834744770286E-8,49.0,0.0,0.0,0.08488580775242921,0.0,?,0.0,0.3409390629894976,49.0,246496.0
50.0,0.895915543,5.706780935990106E-8,50.0,0.0,0.0,0.08536432671176644,0.0,?,0.0,0.14376404033510304,50.0,246496.0
51.0,0.906436977,5.77387474386456E-8,51.0,0.0,0.0,0.08370349718818279,0.0,?,0.0,0.2510615819490085,51.0,246496.0
52.0,0.917186044,5.8424201375939356E-8,52.0,0.0,0.0,0.0843517434343461,0.0,?,0.0,0.1330002397554317,52.0,246496.0
53.0,0.927787806,5.910026186613365E-8,53.0,0.0,0.0,0.08504879378007754,0.0,?,0.0,0.1268592011015961,53.0,246496.0
54.0,0.938363071,5.977463267730963E-8,54.0,0.0,0.0,0.08507632603806545,0.0,?,0.0,0.15933048447360307,54.0,246496.0
55.0,0.949481856,6.04836630476825E-8,55.0,0.0,0.0,0.08492445384290694,0.0,?,0.0,0.16754015496009808,55.0,246496.0
56.0,0.960214195,6.116805026230507E-8,56.0,0.0,0.0,0.08381357268538174,0.0,?,0.0,0.22015343114650576,56.0,246496.0
57.0,0.971519012,6.18889436498926E-8,57.0,0.0,0.0,0.08297534888988406,0.0,?,0.0,0.2784977295632035,57.0,246496.0
58.0,0.982178563,6.256868926899923E-8,58.0,0.0,0.0,0.08298710891665105,0.0,?,0.0,0.15943767253920715,58.0,246496.0
59.0,0.992895031,6.32520644107192E-8,59.0,0.0,0.0,0.0839724426655817,0.0,?,0.0,0.3827745335947506,59.0,246496.0
60.0,1.003827499,6.394921358980032E-8,60.0,0.0,0.0,0.08271060244683479,0.0,?,0.0,0.25230665794896734,60.0,246496.0
61.0,1.014405359,6.46237498807307E-8,61.0,0.0,0.0,0.08374526284745899,0.0,?,0.0,0.3900072157854581,61.0,246496.0
62.0,1.024957122,6.529662200011935E-8,62.0,0.0,0.0,0.08428963622104309,0.0,?,0.0,0.12907648880701977,62.0,246496.0
63.0,1.035454508,6.596602656937102E-8,63.0,0.0,0.0,0.08372203794564545,0.0,?,0.0,0.29320874226817295,63.0,246496.0
64.0,1.046072672,6.664313299364307E-8,64.0,0.0,0.0,0.08272438635038167,0.0,?,0.0,0.2255757940066879,64.0,246496.0
65.0,1.056796631,6.732698582663098E-8,65.0,0.0,0.0,0.08192564375379795,0.0,?,0.0,0.21433150703537474,65.0,246496.0
66.0,1.067674207,6.802063461469902E-8,66.0,0.0,0.0,0.0827185749348049,0.0,?,0.0,0.37892278603772617,66.0,246496.0
67.0,1.078458468,6.870833282732095E-8,67.0,0.0,0.0,0.08352434340820873,0.0,?,0.0,0.10999285049824814,67.0,246496.0
68.0,1.088894571,6.937382945985224E-8,68.0,0.0,0.0,0.08289090235207154,0.0,?,0.0,0.2042071874907836,68.0,246496.0
69.0,1.099310036,7.003801003412862E-8,69.0,0.0,0.0,0.08360741020019886,0.0,?,0.0,0.11173273709717668,69.0,246496.0
70.0,1.110090209,7.072544756033976E-8,70.0,0.0,0.0,0.08389160891978902,0.0,?,0.0,0.3456461762680229,70.0,246496.0
71.0,1.120703513,7.140224406877119E-8,71.0,0.0,0.0,0.08285156340458195,0.0,?,0.0,0.25367182333047955,71.0,246496.0
72.0,1.131204293,7.207186506896177E-8,72.0,0.0,0.0,0.08248583002083332,0.0,?,0.0,0.30028373220648175,72.0,246496.0
73.0,1.141964937,7.275805725639686E-8,73.0,0.0,0.0,0.08277493578116409,0.0,?,0.0,0.14095940468147006,73.0,246496.0
74.0,1.152391858,7.342296836480291E-8,74.0,0.0,0.0,0.08205735481370371,0.0,?,0.0,0.21345696238002526,74.0,246496.0
75.0,1.162861433,7.409059946297565E-8,75.0,0.0,0.0,0.08211984480986369,0.0,?,0.0,0.32947401184902414,75.0,246496.0
76.0,1.173691561,7.478169325016233E-8,76.0,0.0,0.0,0.08186181294788825,0.0,?,0.0,0.18137707208393616,76.0,246664.0
77.0,1.184736778,7.548651232957013E-8,77.0,0.0,0.0,0.0816505199758843,0.0,?,0.0,0.30865625707541133,77.0,246664.0
78.0,1.196299661,7.622436479107994E-8,78.0,0.0,0.0,0.08197019148282579,0.0,?,0.0,0.13733095291039632,78.0,246664.0
79.0,1.207039161,7.690967541044578E-8,79.0,0.0,0.0,0.08120066039054089,0.0,?,0.0,0.2637266125749423,79.0,246664.0
80.0,1.218351286,7.763152646404174E-8,80.0,0.0,0.0,0.0812493503961966,0.0,?,0.0,0.1577215828078828,80.0,246664.0
81.0,1.229191415,7.832325843657264E-8,81.0,0.0,0.0,0.08088635903532425,0.0,?,0.0,0.29360079555587887,81.0,246664.0
82.0,1.239965183,7.901075577080458E-8,82.0,0.0,0.0,0.08015926880889568,0.0,?,0.0,0.22112887196124237,82.0,246664.0
83.0,1.25041483,7.967757024612693E-8,83.0,0.0,0.0,0.0794695190916936,0.0,?,0.0,0.2650445459243505,83.0,246664.0
84.0,1.261138929,8.036189809452123E-8,84.0,0.0,0.0,0.07968699133731937,0.0,?,0.0,0.1446733405247659,84.0,246664.0
85.0,1.272006742,8.105539664270151E-8,85.0,0.0,0.0,0.079738309624286,0.0,?,0.0,0.15719794457044167,85.0,246664.0
86.0,1.283155213,8.176680458217654E-8,86.0,0.0,0.0,0.08039814485200152,0.0,?,0.0,0.10377403878940512,86.0,246664.0
87.0,1.293865377,8.24502432082159E-8,87.0,0.0,0.0,0.08057114917685612,0.0,?,0.0,0.14322163200836383,87.0,246664.0
88.0,1.304418472,8.31236589231632E-8,88.0,0.0,0.0,0.07996167556947899,0.0,?,0.0,0.264511503918036,88.0,246664.0
89.0,1.315502798,8.383097363207077E-8,89.0,0.0,0.0,0.07994297862126123,0.0,?,0.0,0.1595824926455378,89.0,246664.0
90.0,1.326263772,8.451765455361457E-8,90.0,0.0,0.0,0.08078397458052242,0.0,?,0.0,0.39263300593370654,90.0,246664.0
91.0,1.336829167,8.519185515804632E-8,91.0,0.0,0.0,0.08142001750223161,0.0,?,0.0,0.10006576180015554,91.0,246664.0
92.0,1.347873524,8.589661935900237E-8,92.0,0.0,0.0,0.08077728904371702,0.0,?,0.0,0.2149168640312133,92.0,246664.0
93.0,1.358399076,8.656827749581388E-8,93.0,0.0,0.0,0.08128623694978991,0.0,?,0.0,0.3650730359268724,93.0,246664.0
94.0,1.368910257,8.723901858817166E-8,94.0,0.0,0.0,0.08052002530259096,0.0,?,0.0,0.2476034546380077,94.0,246664.0
95.0,1.379361574,8.790593962978986E-8,95.0,0.0,0.0,0.08082760522636988,0.0,?,0.0,0.3481797661409024,95.0,246664.0
96.0,1.389878915,8.85770738050114E-8,96.0,0.0,0.0,0.08130030172909418,0.0,?,0.0,0.3658012767047062,96.0,246664.0
97.0,1.400620836,8.926253891360016E-8,97.0,0.0,0.0,0.08182012993273749,0.0,?,0.0,0.37263309542313183,97.0,246664.0
98.0,1.411393652,8.994997549866224E-8,98.0,0.0,0.0,0.08216944539592463,0.0,?,0.0,0.12621438825970835,98.0,246664.0
99.0,1.421900685,9.062045189820853E-8,99.0,0.0,0.0,0.0825245296816552,0.0,?,0.0,0.3584060085198216,99.0,246664.0
100.0,1.432379169,9.128910652459291E-8,100.0,0.0,0.0,0.08315530284287885,0.0,?,0.0,0.38787014332426045,100.0,246664.0
101.0,1.443546193,9.200169837094639E-8,101.0,0.0,0.0,0.0833352464244428,0.0,?,0.0,0.34505392055911877,101.0,246664.0
