learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,6.05361E-4,3.3358612793187304E-11,1.0,0.0,0.0,0.16523087205641324,0.0,?,0.0,0.16523087205641324,1.0,224640.0
2.0,0.120179872,6.9910364820539125E-9,2.0,0.0,0.0,0.17335942757599115,0.0,?,0.0,0.3467188551519823,2.0,224920.0
3.0,0.195085298,1.1349555872258627E-8,3.0,0.0,0.0,0.15155231464748317,0.0,?,0.0,0.1480367748137305,3.0,224920.0
4.0,0.252580133,1.4695005815819734E-8,4.0,0.0,0.0,0.1380103073303501,0.0,?,0.0,0.3173797860529929,4.0,224920.0
5.0,0.316273161,1.840110979764412E-8,5.0,0.0,0.0,0.12482207472078108,0.0,?,0.0,0.3164107163012847,5.0,224920.0
6.0,0.387553085,2.2548672230388555E-8,6.0,0.0,0.0,0.1200761006830124,0.0,?,0.0,0.16240917038111172,6.0,224920.0
7.0,0.429530027,2.4991183079315557E-8,7.0,0.0,0.0,0.11211527341418659,0.0,?,0.0,0.1783473859916875,7.0,224920.0
8.0,0.470715813,2.7387658961874743E-8,8.0,0.0,0.0,0.10005212100234366,0.0,?,0.0,0.21789474027330008,8.0,224920.0
9.0,0.517432301,3.0105949607338345E-8,9.0,0.0,0.0,0.10425086786212542,0.0,?,0.0,0.36939438036819244,9.0,224920.0
10.0,0.557016613,3.240924057854133E-8,10.0,0.0,0.0,0.09611563971179049,0.0,?,0.0,0.26976777317996437,10.0,224920.0
11.0,0.596899801,3.472992223705269E-8,11.0,0.0,0.0,0.08765594827133939,0.0,?,0.0,0.2461000115902375,11.0,224920.0
12.0,0.636799653,3.7051573523146414E-8,12.0,0.0,0.0,0.0872844919871239,0.0,?,0.0,0.16568247860841898,12.0,224920.0
13.0,0.663218968,3.858883327657771E-8,13.0,0.0,0.0,0.09217250671566439,0.0,?,0.0,0.39277642885559333,13.0,224920.0
14.0,0.690011531,4.0147811198267675E-8,14.0,0.0,0.0,0.08658324636340274,0.0,?,0.0,0.26747281360130193,14.0,224920.0
15.0,0.71068167,4.1350543849834556E-8,15.0,0.0,0.0,0.08113502136052377,0.0,?,0.0,0.25940431326494745,15.0,224920.0
16.0,0.73123343,4.254638838668872E-8,16.0,0.0,0.0,0.08081812575210043,0.0,?,0.0,0.33093312499182764,16.0,224920.0
17.0,0.751885361,4.37480615699995E-8,17.0,0.0,0.0,0.08350274539143983,0.0,?,0.0,0.1331658169718163,17.0,224920.0
18.0,0.772693021,4.4958796151160375E-8,18.0,0.0,0.0,0.08377636121657583,0.0,?,0.0,0.3406116798000528,18.0,224920.0
19.0,0.793095067,4.6145929284758046E-8,19.0,0.0,0.0,0.08732847425203599,0.0,?,0.0,0.10582999790161751,19.0,224920.0
20.0,0.816817433,4.7526261761507235E-8,20.0,0.0,0.0,0.08992236345460705,0.0,?,0.0,0.10992885328372583,20.0,224920.0
21.0,0.843956557,4.9105405015924744E-8,21.0,0.0,0.0,0.0877726780832434,0.0,?,0.0,0.19739582801603928,21.0,224920.0
22.0,0.870830758,5.066913320505164E-8,22.0,0.0,0.0,0.08392541061738806,0.0,?,0.0,0.23690967290158566,22.0,224920.0
23.0,0.907670139,5.281270497262478E-8,23.0,0.0,0.0,0.0861526531960708,0.0,?,0.0,0.10474807708917383,23.0,224920.0
