learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,5.55125E-4,3.346945986979537E-11,1.0,0.0,0.0,0.16523087205641324,0.0,?,0.0,0.16523087205641324,1.0,247760.0
2.0,0.093325921,5.986397530221277E-9,2.0,0.0,0.0,0.17335942757599113,0.0,?,0.0,0.3467188551519823,2.0,248040.0
3.0,0.155348792,9.966288893659496E-9,3.0,0.0,0.0,0.15155231464748317,0.0,?,0.0,0.1480367748137305,3.0,248040.0
4.0,0.215254662,1.381033627147683E-8,4.0,0.0,0.0,0.1380103073303501,0.0,?,0.0,0.3173797860529929,4.0,248040.0
5.0,0.258915928,1.6611997862894916E-8,5.0,0.0,0.0,0.12482207472078108,0.0,?,0.0,0.3164107163012847,5.0,248040.0
6.0,0.290665364,1.864929965323665E-8,6.0,0.0,0.0,0.1200761006830124,0.0,?,0.0,0.16240917038111172,6.0,248040.0
7.0,0.321095504,2.060194469242253E-8,7.0,0.0,0.0,0.11211527341418659,0.0,?,0.0,0.1783473859916875,7.0,248040.0
8.0,0.348884699,2.238512524169766E-8,8.0,0.0,0.0,0.10005212100234366,0.0,?,0.0,0.21789474027330008,8.0,248040.0
9.0,0.373116031,2.3940004391864767E-8,9.0,0.0,0.0,0.10425086786212542,0.0,?,0.0,0.36939438036819244,9.0,248040.0
10.0,0.388244248,2.4910753717263123E-8,10.0,0.0,0.0,0.09611563971179049,0.0,?,0.0,0.26976777317996437,10.0,248040.0
11.0,0.40350624,2.589008713363566E-8,11.0,0.0,0.0,0.08765594827133939,0.0,?,0.0,0.2461000115902375,11.0,248040.0
12.0,0.418684256,2.6864031967510362E-8,12.0,0.0,0.0,0.0872844919871239,0.0,?,0.0,0.16568247860841898,12.0,248040.0
13.0,0.433815039,2.783494594831847E-8,13.0,0.0,0.0,0.09217250671566439,0.0,?,0.0,0.39277642885559333,13.0,248040.0
14.0,0.448983165,2.8808256159433056E-8,14.0,0.0,0.0,0.08658324636340274,0.0,?,0.0,0.26747281360130193,14.0,248040.0
15.0,0.464212747,2.9785509886861672E-8,15.0,0.0,0.0,0.08113502136052377,0.0,?,0.0,0.25940431326494745,15.0,248040.0
16.0,0.479446634,3.0763039858070096E-8,16.0,0.0,0.0,0.08081812575210043,0.0,?,0.0,0.33093312499182764,16.0,248040.0
17.0,0.494652093,3.17387456578099E-8,17.0,0.0,0.0,0.08350274539143983,0.0,?,0.0,0.1331658169718163,17.0,248040.0
18.0,0.505781313,3.2452886842274E-8,18.0,0.0,0.0,0.08377636121657583,0.0,?,0.0,0.3406116798000528,18.0,248040.0
19.0,0.516700019,3.3153519737989535E-8,19.0,0.0,0.0,0.08732847425203599,0.0,?,0.0,0.10582999790161751,19.0,248040.0
20.0,0.528527677,3.391247837961548E-8,20.0,0.0,0.0,0.08992236345460705,0.0,?,0.0,0.10992885328372583,20.0,248040.0
21.0,0.539756265,3.463299582236343E-8,21.0,0.0,0.0,0.0877726780832434,0.0,?,0.0,0.19739582801603928,21.0,248040.0
22.0,0.550727325,3.533698817611568E-8,22.0,0.0,0.0,0.08392541061738806,0.0,?,0.0,0.23690967290158566,22.0,248040.0
23.0,0.56170529,3.6041423610773764E-8,23.0,0.0,0.0,0.0861526531960708,0.0,?,0.0,0.10474807708917383,23.0,248040.0
24.0,0.572546675,3.673709496286594E-8,24.0,0.0,0.0,0.08685012785103553,0.0,?,0.0,0.1311318486259493,24.0,248040.0
25.0,0.583303274,3.742732575627871E-8,25.0,0.0,0.0,0.08989266597742056,0.0,?,0.0,0.3926503060137006,25.0,248040.0
26.0,0.594323407,3.813446703244828E-8,26.0,0.0,0.0,0.09081821542504173,0.0,?,0.0,0.12229631662789488,26.0,248040.0
27.0,0.60490599,3.881353154535301E-8,27.0,0.0,0.0,0.09314798510445604,0.0,?,0.0,0.3855923053351719,27.0,248040.0
28.0,0.616089196,3.9531136910234465E-8,28.0,0.0,0.0,0.09190971723560495,0.0,?,0.0,0.296040200630319,28.0,248040.0
29.0,0.627021931,4.023267002058111E-8,29.0,0.0,0.0,0.09388817513390207,0.0,?,0.0,0.388937158024794,29.0,248040.0
30.0,0.637727989,4.09196576927685E-8,30.0,0.0,0.0,0.09347817995809965,0.0,?,0.0,0.32638824009103,30.0,248040.0
31.0,0.649194247,4.165542597387813E-8,31.0,0.0,0.0,0.09201053329970833,0.0,?,0.0,0.19953839734522633,31.0,248040.0
32.0,0.659980162,4.234753792005487E-8,32.0,0.0,0.0,0.08980445015456404,0.0,?,0.0,0.224555879736557,32.0,248040.0
33.0,0.670781072,4.304061206727184E-8,33.0,0.0,0.0,0.08735975546133767,0.0,?,0.0,0.23617298109308227,33.0,248040.0
34.0,0.684172781,4.3899932929583714E-8,34.0,0.0,0.0,0.0871202567476263,0.0,?,0.0,0.3242426532851732,34.0,248040.0
35.0,0.694896959,4.458808332820319E-8,35.0,0.0,0.0,0.0851414934083401,0.0,?,0.0,0.2652192998213121,35.0,248040.0
