learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,7.50775E-4,3.854687470528814E-11,1.0,0.0,0.0,0.16523087205641324,0.0,?,0.0,0.16523087205641324,1.0,207712.0
2.0,0.129205804,6.950413860320631E-9,2.0,0.0,0.0,0.25597486360419774,0.0,?,0.0,0.3467188551519823,2.0,207992.0
3.0,0.200210547,1.0771014289781451E-8,3.0,0.0,0.0,0.21999550067404203,0.0,?,0.0,0.1480367748137305,3.0,207992.0
4.0,0.257766603,1.3867972084159652E-8,4.0,0.0,0.0,0.24434157201877973,0.0,?,0.0,0.3173797860529929,4.0,207992.0
5.0,0.311232816,1.6744864918620637E-8,5.0,0.0,0.0,0.2587554008752807,0.0,?,0.0,0.3164107163012847,5.0,207992.0
6.0,0.37952384,2.0419446426826634E-8,6.0,0.0,0.0,0.24269769579291922,0.0,?,0.0,0.16240917038111172,6.0,207992.0
7.0,0.431534081,2.321799678706047E-8,7.0,0.0,0.0,0.23350479439274327,0.0,?,0.0,0.1783473859916875,7.0,207992.0
8.0,0.469891563,2.5281923871512216E-8,8.0,0.0,0.0,0.23155353762781286,0.0,?,0.0,0.21789474027330008,8.0,207992.0
9.0,0.506974886,2.7277291417306084E-8,9.0,0.0,0.0,0.24686918682118839,0.0,?,0.0,0.36939438036819244,9.0,207992.0
10.0,0.549345643,2.9557163515297907E-8,10.0,0.0,0.0,0.24915904545706596,0.0,?,0.0,0.26976777317996437,10.0,207992.0
11.0,0.585465438,3.1500685855615887E-8,11.0,0.0,0.0,0.24888095146917247,0.0,?,0.0,0.2461000115902375,11.0,207992.0
12.0,0.620517748,3.33867693055566E-8,12.0,0.0,0.0,0.24194774539744301,0.0,?,0.0,0.16568247860841898,12.0,207992.0
13.0,0.655625875,3.527585613872443E-8,13.0,0.0,0.0,0.2535499518173007,0.0,?,0.0,0.39277642885559333,13.0,207992.0
14.0,0.691819765,3.722336535902901E-8,14.0,0.0,0.0,0.2545444419447294,0.0,?,0.0,0.26747281360130193,14.0,207992.0
15.0,0.721837141,3.883853069575711E-8,15.0,0.0,0.0,0.25486843336607723,0.0,?,0.0,0.25940431326494745,15.0,207992.0
16.0,0.744692485,4.006832371256832E-8,16.0,0.0,0.0,0.25962247659268667,0.0,?,0.0,0.33093312499182764,16.0,207992.0
17.0,0.764036161,4.110916202435477E-8,17.0,0.0,0.0,0.2521838495561649,0.0,?,0.0,0.1331658169718163,17.0,207992.0
18.0,0.783890801,4.217749412311034E-8,18.0,0.0,0.0,0.2570965067919364,0.0,?,0.0,0.3406116798000528,18.0,207992.0
19.0,0.805425182,4.333620918664874E-8,19.0,0.0,0.0,0.2491351115871828,0.0,?,0.0,0.10582999790161751,19.0,207992.0
20.0,0.82605046,4.444600752764899E-8,20.0,0.0,0.0,0.24217479867200992,0.0,?,0.0,0.10992885328372583,20.0,207992.0
21.0,0.847052597,4.557608377680596E-8,21.0,0.0,0.0,0.24004246673601132,0.0,?,0.0,0.19739582801603928,21.0,207992.0
22.0,0.86925637,4.6770817270305836E-8,22.0,0.0,0.0,0.2399000670162647,0.0,?,0.0,0.23690967290158566,22.0,207992.0
23.0,0.909815328,4.8953200669021654E-8,23.0,0.0,0.0,0.2340238935411738,0.0,?,0.0,0.10474807708917383,23.0,207992.0
24.0,0.942463093,5.070990113310102E-8,24.0,0.0,0.0,0.22973672500303943,0.0,?,0.0,0.1311318486259493,24.0,207992.0
25.0,0.963530537,5.184349140036023E-8,25.0,0.0,0.0,0.23625326824346587,0.0,?,0.0,0.3926503060137006,25.0,207992.0
26.0,0.983782671,5.293321172873179E-8,26.0,0.0,0.0,0.2318703085659439,0.0,?,0.0,0.12229631662789488,26.0,207992.0
27.0,1.00250336,5.3940528555907725E-8,27.0,0.0,0.0,0.2375637158536931,0.0,?,0.0,0.3855923053351719,27.0,207992.0
28.0,1.02167276,5.497198948060266E-8,28.0,0.0,0.0,0.2396521617385726,0.0,?,0.0,0.296040200630319,28.0,207992.0
29.0,1.04046611,5.5983216027553295E-8,29.0,0.0,0.0,0.24479992023120092,0.0,?,0.0,0.388937158024794,29.0,207992.0
30.0,1.059981955,5.70333183536513E-8,30.0,0.0,0.0,0.24751953089319523,0.0,?,0.0,0.32638824009103,30.0,207992.0
31.0,1.079275589,5.8071464021557736E-8,31.0,0.0,0.0,0.24597175239164784,0.0,?,0.0,0.19953839734522633,31.0,207992.0
32.0,1.098468638,5.910419744405689E-8,32.0,0.0,0.0,0.24530250637117626,0.0,?,0.0,0.224555879736557,32.0,207992.0
33.0,1.117880524,6.014870597763816E-8,33.0,0.0,0.0,0.24502585409002192,0.0,?,0.0,0.23617298109308227,33.0,207992.0
34.0,1.13930414,6.130146103359553E-8,34.0,0.0,0.0,0.24735575994870285,0.0,?,0.0,0.3242426532851732,34.0,207992.0
35.0,1.159030593,6.236289568738392E-8,35.0,0.0,0.0,0.24786614680220598,0.0,?,0.0,0.2652192998213121,35.0,207992.0
36.0,1.178063275,6.338700013380084E-8,36.0,0.0,0.0,0.24792605318421254,0.0,?,0.0,0.25002277655444216,36.0,207992.0
37.0,1.197252119,6.441950729500916E-8,37.0,0.0,0.0,0.24993336307006891,0.0,?,0.0,0.3221965189608984,37.0,207992.0
38.0,1.224659587,6.589423953946266E-8,38.0,0.0,0.0,0.24659319519563913,0.0,?,0.0,0.12300698384173647,38.0,207992.0
39.0,1.257374418,6.765454866935189E-8,39.0,0.0,0.0,0.2465115376859098,0.0,?,0.0,0.2434085523161949,39.0,207992.0
40.0,1.29010875,6.941590710279221E-8,40.0,0.0,0.0,0.2434800284584568,0.0,?,0.0,0.1252511685877893,40.0,207992.0
41.0,1.322774334,7.117356636590635E-8,41.0,0.0,0.0,0.24139774887084672,0.0,?,0.0,0.15810656536644427,41.0,207992.0
42.0,1.355230456,7.29199549649304E-8,42.0,0.0,0.0,0.23850178229968058,0.0,?,0.0,0.11976715288186929,42.0,207992.0
43.0,1.387758985,7.467023961657865E-8,43.0,0.0,0.0,0.2402419300543033,0.0,?,0.0,0.3133281357484582,43.0,207992.0
44.0,1.419983143,7.640414677111639E-8,44.0,0.0,0.0,0.24377808820721328,0.0,?,0.0,0.3958328887823424,44.0,207992.0
45.0,1.452636748,7.8161161472042E-8,45.0,0.0,0.0,0.24539924892816636,0.0,?,0.0,0.3167303206501022,45.0,207992.0
46.0,1.485774846,7.994424561686194E-8,46.0,0.0,0.0,0.24839391831009774,0.0,?,0.0,0.3831540404970093,46.0,207992.0
47.0,1.514301713,8.147921012354809E-8,47.0,0.0,0.0,0.24838387204218126,0.0,?,0.0,0.2479217437180235,47.0,207992.0
48.0,1.533414068,8.250760158918592E-8,48.0,0.0,0.0,0.2507348946599127,0.0,?,0.0,0.3612329576932913,48.0,207992.0
49.0,1.552853313,8.355358224706105E-8,49.0,0.0,0.0,0.252575796054394,0.0,?,0.0,0.3409390629894976,49.0,207992.0
50.0,1.572220194,8.459566916604218E-8,50.0,0.0,0.0,0.2503995609400082,0.0,?,0.0,0.14376404033510304,50.0,207992.0
51.0,1.592051929,8.566276879990682E-8,51.0,0.0,0.0,0.25041254174410627,0.0,?,0.0,0.2510615819490085,51.0,207992.0
52.0,1.611363001,8.670185276612228E-8,52.0,0.0,0.0,0.2481546128597087,0.0,?,0.0,0.1330002397554317,52.0,207992.0
53.0,1.632052584,8.781511120993026E-8,53.0,0.0,0.0,0.2458660201850273,0.0,?,0.0,0.1268592011015961,53.0,207992.0
