learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,5.00242E-4,3.01501145048274E-11,1.0,0.0,0.0,0.16523087205641324,0.0,?,0.0,0.16523087205641324,1.0,247360.0
2.0,0.09475841,6.068766195666458E-9,2.0,0.0,0.0,0.17335942757599115,0.0,?,0.0,0.3467188551519823,2.0,247640.0
3.0,0.149489243,9.575077588109091E-9,3.0,0.0,0.0,0.15155231464748317,0.0,?,0.0,0.1480367748137305,3.0,247640.0
4.0,0.189515357,1.2139336376448886E-8,4.0,0.0,0.0,0.1380103073303501,0.0,?,0.0,0.3173797860529929,4.0,247640.0
5.0,0.209987531,1.3450878938285426E-8,5.0,0.0,0.0,0.12482207472078108,0.0,?,0.0,0.3164107163012847,5.0,247640.0
6.0,0.228315521,1.462505511312228E-8,6.0,0.0,0.0,0.1200761006830124,0.0,?,0.0,0.16240917038111172,6.0,247640.0
7.0,0.248458263,1.591549273079261E-8,7.0,0.0,0.0,0.11211527341418659,0.0,?,0.0,0.1783473859916875,7.0,247640.0
8.0,0.270378791,1.7319823577625468E-8,8.0,0.0,0.0,0.10005212100234366,0.0,?,0.0,0.21789474027330008,8.0,247640.0
9.0,0.291099289,1.864727492839305E-8,9.0,0.0,0.0,0.10425086786212542,0.0,?,0.0,0.36939438036819244,9.0,247640.0
10.0,0.311097357,1.9928444057597467E-8,10.0,0.0,0.0,0.09611563971179048,0.0,?,0.0,0.26976777317996437,10.0,247640.0
11.0,0.331240383,2.121889986962701E-8,11.0,0.0,0.0,0.08765594827133939,0.0,?,0.0,0.2461000115902375,11.0,247640.0
12.0,0.351266115,2.250184128317361E-8,12.0,0.0,0.0,0.0872844919871239,0.0,?,0.0,0.16568247860841898,12.0,247640.0
13.0,0.371047554,2.3769132152373592E-8,13.0,0.0,0.0,0.09217250671566439,0.0,?,0.0,0.39277642885559333,13.0,247640.0
14.0,0.389906014,2.4977292699499263E-8,14.0,0.0,0.0,0.08658324636340274,0.0,?,0.0,0.26747281360130193,14.0,247640.0
15.0,0.405814601,2.5996470679775295E-8,15.0,0.0,0.0,0.08113502136052375,0.0,?,0.0,0.25940431326494745,15.0,247640.0
16.0,0.421700633,2.7014203681980985E-8,16.0,0.0,0.0,0.08081812575210041,0.0,?,0.0,0.33093312499182764,16.0,247640.0
17.0,0.433890753,2.7795159393567592E-8,17.0,0.0,0.0,0.08350274539143981,0.0,?,0.0,0.1331658169718163,17.0,247640.0
18.0,0.445646712,2.8548300734770795E-8,18.0,0.0,0.0,0.08377636121657582,0.0,?,0.0,0.3406116798000528,18.0,247640.0
19.0,0.457226076,2.9290128579971692E-8,19.0,0.0,0.0,0.08732847425203598,0.0,?,0.0,0.10582999790161751,19.0,247640.0
20.0,0.468488239,3.0011635055680654E-8,20.0,0.0,0.0,0.08992236345460704,0.0,?,0.0,0.10992885328372583,20.0,247640.0
21.0,0.479460541,3.071457168929486E-8,21.0,0.0,0.0,0.0877726780832434,0.0,?,0.0,0.19739582801603928,21.0,247640.0
22.0,0.490231554,3.1404612814560534E-8,22.0,0.0,0.0,0.08392541061738805,0.0,?,0.0,0.23690967290158566,22.0,247640.0
23.0,0.500904543,3.208837406705444E-8,23.0,0.0,0.0,0.08615265319607078,0.0,?,0.0,0.10474807708917383,23.0,247640.0
