learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,4.93849E-4,3.013274780992005E-11,1.0,0.0,0.0,0.16523087205641324,0.0,?,0.0,0.16523087205641324,1.0,250512.0
2.0,0.086524507,5.611807840276096E-9,2.0,0.0,0.0,0.17335942757599115,0.0,?,0.0,0.3467188551519823,2.0,250792.0
3.0,0.146522319,9.504470068232881E-9,3.0,0.0,0.0,0.15155231464748317,0.0,?,0.0,0.1480367748137305,3.0,250792.0
4.0,0.210849188,1.3678001816341031E-8,4.0,0.0,0.0,0.1380103073303501,0.0,?,0.0,0.3173797860529929,4.0,250792.0
5.0,0.247636434,1.60647609030683E-8,5.0,0.0,0.0,0.12482207472078108,0.0,?,0.0,0.3164107163012847,5.0,250792.0
6.0,0.26661076,1.7295816497581285E-8,6.0,0.0,0.0,0.1200761006830124,0.0,?,0.0,0.16240917038111172,6.0,250792.0
7.0,0.289231488,1.87634509082242E-8,7.0,0.0,0.0,0.11211527341418659,0.0,?,0.0,0.1783473859916875,7.0,250792.0
8.0,0.311950723,2.0237476459898882E-8,8.0,0.0,0.0,0.10005212100234366,0.0,?,0.0,0.21789474027330008,8.0,250792.0
9.0,0.33386901,2.1659536449460105E-8,9.0,0.0,0.0,0.10425086786212542,0.0,?,0.0,0.36939438036819244,9.0,250792.0
10.0,0.354779136,2.3016186883012868E-8,10.0,0.0,0.0,0.09611563971179048,0.0,?,0.0,0.26976777317996437,10.0,250792.0
11.0,0.37666984,2.4436457285609922E-8,11.0,0.0,0.0,0.08765594827133939,0.0,?,0.0,0.2461000115902375,11.0,250792.0
12.0,0.396296044,2.5709806770237368E-8,12.0,0.0,0.0,0.0872844919871239,0.0,?,0.0,0.16568247860841898,12.0,250792.0
13.0,0.415508312,2.6956300058308987E-8,13.0,0.0,0.0,0.09217250671566439,0.0,?,0.0,0.39277642885559333,13.0,250792.0
14.0,0.441679204,2.865426935692835E-8,14.0,0.0,0.0,0.08658324636340274,0.0,?,0.0,0.26747281360130193,14.0,250792.0
15.0,0.463475689,3.006842682423277E-8,15.0,0.0,0.0,0.08113502136052375,0.0,?,0.0,0.25940431326494745,15.0,250792.0
16.0,0.486108746,3.1536861141255746E-8,16.0,0.0,0.0,0.08081812575210041,0.0,?,0.0,0.33093312499182764,16.0,250792.0
17.0,0.502827952,3.262160439285346E-8,17.0,0.0,0.0,0.08350274539143981,0.0,?,0.0,0.1331658169718163,17.0,250792.0
18.0,0.522651276,3.3907743036831834E-8,18.0,0.0,0.0,0.08377636121657582,0.0,?,0.0,0.3406116798000528,18.0,250792.0
19.0,0.53955544,3.5004486376372065E-8,19.0,0.0,0.0,0.08732847425203598,0.0,?,0.0,0.10582999790161751,19.0,250792.0
20.0,0.55677796,3.612188467540054E-8,20.0,0.0,0.0,0.08992236345460704,0.0,?,0.0,0.10992885328372583,20.0,250792.0
21.0,0.573740957,3.722244510408491E-8,21.0,0.0,0.0,0.0877726780832434,0.0,?,0.0,0.19739582801603928,21.0,250792.0
22.0,0.589332946,3.823405443808892E-8,22.0,0.0,0.0,0.08392541061738805,0.0,?,0.0,0.23690967290158566,22.0,250792.0
23.0,0.605758443,3.929974182927775E-8,23.0,0.0,0.0,0.08615265319607078,0.0,?,0.0,0.10474807708917383,23.0,250792.0
24.0,0.620401892,4.024980982191241E-8,24.0,0.0,0.0,0.08685012785103552,0.0,?,0.0,0.1311318486259493,24.0,250792.0
25.0,0.635072893,4.120166539022907E-8,25.0,0.0,0.0,0.08989266597742054,0.0,?,0.0,0.3926503060137006,25.0,250792.0
26.0,0.655966891,4.2557269438016756E-8,26.0,0.0,0.0,0.09081821542504172,0.0,?,0.0,0.12229631662789488,26.0,250792.0
27.0,0.671118737,4.354032226347676E-8,27.0,0.0,0.0,0.09314798510445603,0.0,?,0.0,0.3855923053351719,27.0,250792.0
28.0,0.69089887,4.482365867236216E-8,28.0,0.0,0.0,0.09190971723560494,0.0,?,0.0,0.296040200630319,28.0,250792.0
29.0,0.717019741,4.6518382605012105E-8,29.0,0.0,0.0,0.09388817513390206,0.0,?,0.0,0.388937158024794,29.0,250792.0
30.0,0.743502424,4.823658092546175E-8,30.0,0.0,0.0,0.09347817995809964,0.0,?,0.0,0.32638824009103,30.0,250792.0
31.0,0.769136161,4.989969957020963E-8,31.0,0.0,0.0,0.0920105332997083,0.0,?,0.0,0.19953839734522633,31.0,250792.0
32.0,0.794456766,5.1542502188953695E-8,32.0,0.0,0.0,0.08980445015456402,0.0,?,0.0,0.224555879736557,32.0,250792.0
33.0,0.821429379,5.329248720198044E-8,33.0,0.0,0.0,0.08735975546133766,0.0,?,0.0,0.23617298109308227,33.0,250792.0
34.0,0.848447736,5.5045440088918245E-8,34.0,0.0,0.0,0.08712025674762629,0.0,?,0.0,0.3242426532851732,34.0,250792.0
35.0,0.861586658,5.5897894264838365E-8,35.0,0.0,0.0,0.0851414934083401,0.0,?,0.0,0.2652192998213121,35.0,250792.0
36.0,0.875230673,5.678311890983335E-8,36.0,0.0,0.0,0.08283635830678165,0.0,?,0.0,0.25002277655444216,36.0,250792.0
37.0,0.888055618,5.76152022360907E-8,37.0,0.0,0.0,0.08260484769786015,0.0,?,0.0,0.3221965189608984,37.0,250792.0
38.0,0.900857725,5.8445803831314894E-8,38.0,0.0,0.0,0.08377120379076732,0.0,?,0.0,0.12300698384173647,38.0,250792.0
