learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001063162,6.44673561015063E-11,1.0,0.0,0.0,0.16523087205641324,0.0,?,0.0,0.16523087205641324,1.0,248776.0
2.0,0.131158123,8.446611276289657E-9,2.0,0.0,0.0,0.17335942757599115,0.0,?,0.0,0.3467188551519823,2.0,249056.0
3.0,0.175711852,1.1317251044259305E-8,3.0,0.0,0.0,0.15155231464748317,0.0,?,0.0,0.1480367748137305,3.0,249056.0
4.0,0.223729931,1.441110222692705E-8,4.0,0.0,0.0,0.1380103073303501,0.0,?,0.0,0.3173797860529929,4.0,249056.0
5.0,0.274949484,1.7711227469854058E-8,5.0,0.0,0.0,0.12482207472078108,0.0,?,0.0,0.3164107163012847,5.0,249056.0
6.0,0.305706221,1.9692913724784224E-8,6.0,0.0,0.0,0.1200761006830124,0.0,?,0.0,0.16240917038111172,6.0,249056.0
7.0,0.337825589,2.1762395610416103E-8,7.0,0.0,0.0,0.11211527341418659,0.0,?,0.0,0.1783473859916875,7.0,249056.0
8.0,0.370674671,2.3878893673473766E-8,8.0,0.0,0.0,0.10005212100234366,0.0,?,0.0,0.21789474027330008,8.0,249056.0
9.0,0.406943037,2.621569950534652E-8,9.0,0.0,0.0,0.10425086786212542,0.0,?,0.0,0.36939438036819244,9.0,249056.0
10.0,0.444912674,2.8662119870016148E-8,10.0,0.0,0.0,0.09611563971179049,0.0,?,0.0,0.26976777317996437,10.0,249056.0
11.0,0.478013007,3.0794806277540824E-8,11.0,0.0,0.0,0.08765594827133939,0.0,?,0.0,0.2461000115902375,11.0,249056.0
12.0,0.507515386,3.269567303567711E-8,12.0,0.0,0.0,0.0872844919871239,0.0,?,0.0,0.16568247860841898,12.0,249056.0
13.0,0.5359633,3.4528599595969753E-8,13.0,0.0,0.0,0.09217250671566439,0.0,?,0.0,0.39277642885559333,13.0,249056.0
