learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.004149859,2.4793489445414804E-10,1.0,0.0,0.0,0.16523087205641324,0.0,?,0.0,0.16523087205641324,1.0,241800.0
2.0,0.144806049,9.056707303995887E-9,2.0,0.0,0.0,0.17097486360419778,0.0,?,0.0,0.3467188551519823,2.0,242080.0
3.0,0.245586681,1.5368222286577025E-8,3.0,0.0,0.0,0.18130431746488837,0.0,?,0.0,0.1480367748137305,3.0,242080.0
4.0,0.342857752,2.145994655744897E-8,4.0,0.0,0.0,0.1778231846119145,0.0,?,0.0,0.3173797860529929,4.0,242080.0
5.0,0.406016479,2.5415341992369956E-8,5.0,0.0,0.0,0.14297640442927464,0.0,?,0.0,0.3164107163012847,5.0,242080.0
6.0,0.463820829,2.9035412772273022E-8,6.0,0.0,0.0,0.1454121419608769,0.0,?,0.0,0.16240917038111172,6.0,242080.0
7.0,0.518644186,3.246879508228766E-8,7.0,0.0,0.0,0.12726003396527844,0.0,?,0.0,0.1783473859916875,7.0,242080.0
8.0,0.564789174,3.53586835197111E-8,8.0,0.0,0.0,0.11608937225378113,0.0,?,0.0,0.21789474027330008,8.0,242080.0
9.0,0.608736184,3.8110920795367826E-8,9.0,0.0,0.0,0.11978992871093795,0.0,?,0.0,0.36939438036819244,9.0,242080.0
10.0,0.658581747,4.123256243867179E-8,10.0,0.0,0.0,0.11783415852184773,0.0,?,0.0,0.26976777317996437,10.0,242080.0
11.0,0.699165118,4.3774147553063105E-8,11.0,0.0,0.0,0.10929468851165818,0.0,?,0.0,0.2461000115902375,11.0,242080.0
12.0,0.725062897,4.5396028830549786E-8,12.0,0.0,0.0,0.10721325791831841,0.0,?,0.0,0.16568247860841898,12.0,242080.0
13.0,0.748641565,4.68726728384114E-8,13.0,0.0,0.0,0.11610273260580109,0.0,?,0.0,0.39277642885559333,13.0,242080.0
14.0,0.780227663,4.8850792312481345E-8,14.0,0.0,0.0,0.1165616221624366,0.0,?,0.0,0.26747281360130193,14.0,242080.0
15.0,0.823116017,5.153672991256748E-8,15.0,0.0,0.0,0.10949722646727765,0.0,?,0.0,0.25940431326494745,15.0,242080.0
16.0,0.861727728,5.395483731716872E-8,16.0,0.0,0.0,0.10708697012506203,0.0,?,0.0,0.33093312499182764,16.0,242080.0
17.0,0.899564675,5.632442414299482E-8,17.0,0.0,0.0,0.11236621794289271,0.0,?,0.0,0.1331658169718163,17.0,242080.0
18.0,0.936242363,5.862141090269719E-8,18.0,0.0,0.0,0.11782429915717937,0.0,?,0.0,0.3406116798000528,18.0,242080.0
19.0,0.97130016,6.081694993267458E-8,19.0,0.0,0.0,0.12394775720671639,0.0,?,0.0,0.10582999790161751,19.0,242080.0
