learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.002206522,1.234771235908071E-10,1.0,0.0,0.0,0.16523087205641324,0.0,?,0.0,0.16523087205641324,1.0,233040.0
2.0,0.134059417,8.082124572315563E-9,2.0,0.0,0.0,0.17335942757599115,0.0,?,0.0,0.3467188551519823,2.0,233320.0
3.0,0.191295357,1.1536888821946664E-8,3.0,0.0,0.0,0.15155231464748317,0.0,?,0.0,0.1480367748137305,3.0,233320.0
4.0,0.228608676,1.3789122654679748E-8,4.0,0.0,0.0,0.1380103073303501,0.0,?,0.0,0.3173797860529929,4.0,233320.0
5.0,0.264700754,1.596764231853601E-8,5.0,0.0,0.0,0.12482207472078108,0.0,?,0.0,0.3164107163012847,5.0,233320.0
6.0,0.298241978,1.7992192305206424E-8,6.0,0.0,0.0,0.1200761006830124,0.0,?,0.0,0.16240917038111172,6.0,233320.0
7.0,0.340408308,2.0537354128741554E-8,7.0,0.0,0.0,0.11211527341418659,0.0,?,0.0,0.1783473859916875,7.0,233320.0
8.0,0.377748271,2.2791196194669852E-8,8.0,0.0,0.0,0.10005212100234366,0.0,?,0.0,0.21789474027330008,8.0,233320.0
9.0,0.415282044,2.5056736642056042E-8,9.0,0.0,0.0,0.10425086786212542,0.0,?,0.0,0.36939438036819244,9.0,233320.0
10.0,0.452865171,2.7325256099392557E-8,10.0,0.0,0.0,0.09611563971179048,0.0,?,0.0,0.26976777317996437,10.0,233320.0
11.0,0.47651026,2.875247487410903E-8,11.0,0.0,0.0,0.08765594827133939,0.0,?,0.0,0.2461000115902375,11.0,233320.0
12.0,0.498973118,3.010833412553287E-8,12.0,0.0,0.0,0.0872844919871239,0.0,?,0.0,0.16568247860841898,12.0,233320.0
13.0,0.526827576,3.1789630627193384E-8,13.0,0.0,0.0,0.09217250671566439,0.0,?,0.0,0.39277642885559333,13.0,233320.0
14.0,0.549235449,3.3142170981220484E-8,14.0,0.0,0.0,0.08658324636340274,0.0,?,0.0,0.26747281360130193,14.0,233320.0
15.0,0.571751297,3.4501228711739596E-8,15.0,0.0,0.0,0.08113502136052375,0.0,?,0.0,0.25940431326494745,15.0,233320.0
16.0,0.594249161,3.585920092710397E-8,16.0,0.0,0.0,0.08081812575210041,0.0,?,0.0,0.33093312499182764,16.0,233320.0
17.0,0.616591298,3.72077734528275E-8,17.0,0.0,0.0,0.08350274539143981,0.0,?,0.0,0.1331658169718163,17.0,233320.0
18.0,0.639954835,3.86179977345032E-8,18.0,0.0,0.0,0.08377636121657582,0.0,?,0.0,0.3406116798000528,18.0,233320.0
19.0,0.665689388,4.017133666253752E-8,19.0,0.0,0.0,0.08732847425203598,0.0,?,0.0,0.10582999790161751,19.0,233320.0
20.0,0.699638781,4.222052375080892E-8,20.0,0.0,0.0,0.08992236345460704,0.0,?,0.0,0.10992885328372583,20.0,233320.0
21.0,0.731594186,4.414935362197873E-8,21.0,0.0,0.0,0.0877726780832434,0.0,?,0.0,0.19739582801603928,21.0,233320.0
22.0,0.756882704,4.567576985472607E-8,22.0,0.0,0.0,0.08392541061738805,0.0,?,0.0,0.23690967290158566,22.0,233320.0
23.0,0.778065091,4.695433981146043E-8,23.0,0.0,0.0,0.08615265319607078,0.0,?,0.0,0.10474807708917383,23.0,233320.0
24.0,0.798666937,4.8197868283906336E-8,24.0,0.0,0.0,0.08685012785103552,0.0,?,0.0,0.1311318486259493,24.0,233320.0
25.0,0.835447133,5.041792278524282E-8,25.0,0.0,0.0,0.08989266597742054,0.0,?,0.0,0.3926503060137006,25.0,233320.0
26.0,0.879979055,5.3105871862220686E-8,26.0,0.0,0.0,0.09081821542504172,0.0,?,0.0,0.12229631662789488,26.0,233320.0
27.0,0.924456277,5.579051924441631E-8,27.0,0.0,0.0,0.09314798510445603,0.0,?,0.0,0.3855923053351719,27.0,233320.0
28.0,0.953335248,5.7533655402867336E-8,28.0,0.0,0.0,0.09190971723560494,0.0,?,0.0,0.296040200630319,28.0,233320.0
29.0,0.974643624,5.8819830062049966E-8,29.0,0.0,0.0,0.09388817513390206,0.0,?,0.0,0.388937158024794,29.0,233320.0
30.0,0.995337696,6.006892530054682E-8,30.0,0.0,0.0,0.09347817995809964,0.0,?,0.0,0.32638824009103,30.0,233320.0
31.0,1.016319227,6.133537157890491E-8,31.0,0.0,0.0,0.0920105332997083,0.0,?,0.0,0.19953839734522633,31.0,233320.0
