learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001025563,6.059556803562575E-11,1.0,0.0,0.0,0.16416412371812444,0.0,?,0.0,0.16416412371812444,1.0,245712.0
2.0,0.09703857,6.1707007188143E-9,2.0,0.0,0.0,0.14784203615298813,0.0,?,0.0,0.29568407230597626,2.0,245992.0
3.0,0.144340199,9.180896274851014E-9,3.0,0.0,0.0,0.13822791617758232,0.0,?,0.0,0.11092442178527963,3.0,245992.0
4.0,0.182360664,1.1600454273190763E-8,4.0,0.0,0.0,0.139424103832639,0.0,?,0.0,0.3332702060676025,4.0,245992.0
5.0,0.213939438,1.3610073966412908E-8,5.0,0.0,0.0,0.137896543550824,0.0,?,0.0,0.3577970083928097,5.0,245992.0
6.0,0.241144642,1.5342549457198215E-8,6.0,0.0,0.0,0.13239580822212438,0.0,?,0.0,0.14747583487533233,6.0,246160.0
7.0,0.271557765,1.7279310901653435E-8,7.0,0.0,0.0,0.11856024880599261,0.0,?,0.0,0.2704328368333895,7.0,246160.0
8.0,0.305526884,1.9442524458554883E-8,8.0,0.0,0.0,0.1065212687260272,0.0,?,0.0,0.2622124801631999,8.0,246160.0
9.0,0.337633266,2.1487115629890727E-8,9.0,0.0,0.0,0.10075431001495076,0.0,?,0.0,0.29736376334405357,9.0,246160.0
10.0,0.368961749,2.3482168817544976E-8,10.0,0.0,0.0,0.10597513775662049,0.0,?,0.0,0.4017764482633999,10.0,246160.0
11.0,0.399382731,2.5419430737015274E-8,11.0,0.0,0.0,0.1034624369882836,0.0,?,0.0,0.18577469027000204,11.0,246160.0
12.0,0.418913563,2.6663188650194143E-8,12.0,0.0,0.0,0.10579238128293234,0.0,?,0.0,0.1255669483867653,12.0,246160.0
13.0,0.43394361,2.762032861697591E-8,13.0,0.0,0.0,0.1056505682464987,0.0,?,0.0,0.3499857146764564,13.0,246160.0
14.0,0.449251667,2.8595172752092284E-8,14.0,0.0,0.0,0.09973690641051045,0.0,?,0.0,0.23117366277136692,14.0,246160.0
15.0,0.464417472,2.9560958028340507E-8,15.0,0.0,0.0,0.09422068469710417,0.0,?,0.0,0.26939373869897043,15.0,246160.0
16.0,0.479718873,3.053604332281691E-8,16.0,0.0,0.0,0.08843390070026495,0.0,?,0.0,0.2551652041178586,16.0,246328.0
17.0,0.493411542,3.1408611800960375E-8,17.0,0.0,0.0,0.08539721720625193,0.0,?,0.0,0.2168247908648682,17.0,246328.0
18.0,0.504325887,3.2104130943837685E-8,18.0,0.0,0.0,0.08071211320649763,0.0,?,0.0,0.25253510671276014,18.0,246328.0
19.0,0.515177919,3.279567917647255E-8,19.0,0.0,0.0,0.08118516055785639,0.0,?,0.0,0.34122896022943733,19.0,246328.0
20.0,0.526405129,3.35111357133608E-8,20.0,0.0,0.0,0.0804176533735352,0.0,?,0.0,0.3220850175281509,20.0,246328.0
21.0,0.537510018,3.421879731641876E-8,21.0,0.0,0.0,0.0822768464711268,0.0,?,0.0,0.3790024599232493,21.0,246328.0
22.0,0.548525657,3.4920771442720056E-8,22.0,0.0,0.0,0.0787878229941623,0.0,?,0.0,0.27074868664119617,22.0,246328.0
23.0,0.5598947,3.5645266320121793E-8,23.0,0.0,0.0,0.08000224577545612,0.0,?,0.0,0.37220073680802224,23.0,246328.0
24.0,0.570538765,3.632356180789778E-8,24.0,0.0,0.0,0.07896366078017893,0.0,?,0.0,0.21504496425807795,24.0,246328.0
25.0,0.58137044,3.701381278603028E-8,25.0,0.0,0.0,0.07854794052246993,0.0,?,0.0,0.1992556738973939,25.0,246328.0
26.0,0.591857248,3.768208703534885E-8,26.0,0.0,0.0,0.07671567411733336,0.0,?,0.0,0.2959925160502692,26.0,246328.0
27.0,0.602556019,3.836386867554445E-8,27.0,0.0,0.0,0.07663356092772086,0.0,?,0.0,0.1917736922938974,27.0,246328.0
28.0,0.613282777,3.904743379374553E-8,28.0,0.0,0.0,0.07647963503206749,0.0,?,0.0,0.3358367380671272,28.0,246328.0
29.0,0.623934158,3.972619549530249E-8,29.0,0.0,0.0,0.07891764638430264,0.0,?,0.0,0.41327805345920954,29.0,246328.0
30.0,0.634706998,4.041269719954167E-8,30.0,0.0,0.0,0.0768719733038082,0.0,?,0.0,0.2887187833282365,30.0,246328.0
31.0,0.645640467,4.1109435023713036E-8,31.0,0.0,0.0,0.07483450483985296,0.0,?,0.0,0.28546669541227854,31.0,246328.0
32.0,0.656284782,4.178774644279646E-8,32.0,0.0,0.0,0.07613581289361805,0.0,?,0.0,0.3886748796617799,32.0,246328.0
33.0,0.666977927,4.246916956484939E-8,33.0,0.0,0.0,0.07483058732728923,0.0,?,0.0,0.30890177263622154,33.0,246328.0
34.0,0.678285639,4.3189756110184315E-8,34.0,0.0,0.0,0.0736700501198066,0.0,?,0.0,0.31221264598326653,34.0,246328.0
35.0,0.688763841,4.3857481940175514E-8,35.0,0.0,0.0,0.07466455743306596,0.0,?,0.0,0.38635849221406154,35.0,246328.0
36.0,0.699161625,4.4520535020217716E-8,36.0,0.0,0.0,0.07314477484722035,0.0,?,0.0,0.26102766767566443,36.0,246496.0
37.0,0.70956862,4.5184175473677205E-8,37.0,0.0,0.0,0.07282025426141568,0.0,?,0.0,0.2192883059474345,37.0,246496.0
38.0,0.720719423,4.589524759001409E-8,38.0,0.0,0.0,0.07378502541896474,0.0,?,0.0,0.388255012147285,38.0,246496.0
39.0,0.733361497,4.670141610667317E-8,39.0,0.0,0.0,0.07526387401588179,0.0,?,0.0,0.15019442683838802,39.0,246496.0
40.0,0.744241959,4.739524893118483E-8,40.0,0.0,0.0,0.07662782920890666,0.0,?,0.0,0.14846169347463256,40.0,246496.0
41.0,0.754900183,4.807490992923785E-8,41.0,0.0,0.0,0.0759858103200381,0.0,?,0.0,0.3253432779333827,41.0,246496.0
42.0,0.765591598,4.875668747393001E-8,42.0,0.0,0.0,0.07560144157037836,0.0,?,0.0,0.21642285288900937,42.0,246496.0
43.0,0.776430162,4.944784851780576E-8,43.0,0.0,0.0,0.07443963342420476,0.0,?,0.0,0.2491966672280836,43.0,246496.0
44.0,0.787043865,5.01246704699451E-8,44.0,0.0,0.0,0.07493409675512967,0.0,?,0.0,0.3704400135842954,44.0,246496.0
45.0,0.797449638,5.0788232998063586E-8,45.0,0.0,0.0,0.07332198575598414,0.0,?,0.0,0.27881936857445033,45.0,246496.0
46.0,0.808009257,5.146160608429255E-8,46.0,0.0,0.0,0.07280360830788371,0.0,?,0.0,0.22700673478847333,46.0,246496.0
47.0,0.818400248,5.212422598361348E-8,47.0,0.0,0.0,0.07282690044469028,0.0,?,0.0,0.20150944043005958,47.0,246496.0
48.0,0.828765727,5.278521901607721E-8,48.0,0.0,0.0,0.07482953534449037,0.0,?,0.0,0.4427888497234191,48.0,246496.0
49.0,0.839442275,5.346604851163303E-8,49.0,0.0,0.0,0.07362374095515156,0.0,?,0.0,0.29310094634761075,49.0,246496.0
50.0,0.850074055,5.414402321040838E-8,50.0,0.0,0.0,0.07371003195080351,0.0,?,0.0,0.19973838432801136,50.0,246496.0
51.0,0.860654963,5.481875386831041E-8,51.0,0.0,0.0,0.07515789338533453,0.0,?,0.0,0.42366887436289075,51.0,246496.0
52.0,0.871424071,5.550548579395025E-8,52.0,0.0,0.0,0.07408434901643218,0.0,?,0.0,0.2983446516320828,52.0,246496.0
53.0,0.882157011,5.61899113335564E-8,53.0,0.0,0.0,0.07411368303982248,0.0,?,0.0,0.20374381290821408,53.0,246496.0
54.0,0.892635217,5.685809281930535E-8,54.0,0.0,0.0,0.07443893663648284,0.0,?,0.0,0.18627833597548948,54.0,246496.0
55.0,0.907364734,5.779737484462767E-8,55.0,0.0,0.0,0.07479325582306479,0.0,?,0.0,0.37018447592495185,55.0,246496.0
56.0,0.918088191,5.8481195665732446E-8,56.0,0.0,0.0,0.07681781753886276,0.0,?,0.0,0.46613445033236794,56.0,246496.0
57.0,0.929618014,5.921643739151666E-8,57.0,0.0,0.0,0.07625683672685914,0.0,?,0.0,0.3261678052490544,57.0,246496.0
58.0,0.942551723,6.004120309051748E-8,58.0,0.0,0.0,0.07810553711364501,0.0,?,0.0,0.4655940533522882,58.0,246496.0
59.0,0.953507942,6.07398668397901E-8,59.0,0.0,0.0,0.07846497731106593,0.0,?,0.0,0.18596355886417007,59.0,246496.0
60.0,0.964447114,6.143744352417896E-8,60.0,0.0,0.0,0.07863805315492439,0.0,?,0.0,0.37244233270785865,60.0,246496.0
61.0,0.9758742,6.216613384590589E-8,61.0,0.0,0.0,0.07830587596393096,0.0,?,0.0,0.22669838572666948,61.0,246496.0
62.0,0.986614555,6.28510322303594E-8,62.0,0.0,0.0,0.07980267738116274,0.0,?,0.0,0.4552242228419135,62.0,246496.0
63.0,0.997193021,6.352560716511683E-8,63.0,0.0,0.0,0.07956534051264119,0.0,?,0.0,0.35172691309056736,63.0,246496.0
64.0,1.00791001,6.420901553032507E-8,64.0,0.0,0.0,0.07880209828408104,0.0,?,0.0,0.3186236686073115,64.0,246496.0
65.0,1.020329787,6.500100845817271E-8,65.0,0.0,0.0,0.080120604670944,0.0,?,0.0,0.45289081036964474,65.0,246496.0
66.0,1.031106935,6.568825308409211E-8,66.0,0.0,0.0,0.08024571381096134,0.0,?,0.0,0.20253883538784812,66.0,246496.0
