learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,7.97413E-4,4.3941700081858367E-11,1.0,0.0,0.0,0.16416412371812444,0.0,?,0.0,0.16416412371812444,1.0,224640.0
2.0,0.132292322,7.69523134884114E-9,2.0,0.0,0.0,0.14784203615298813,0.0,?,0.0,0.29568407230597626,2.0,224920.0
3.0,0.185399446,1.0785373706645849E-8,3.0,0.0,0.0,0.13822791617758232,0.0,?,0.0,0.11092442178527963,3.0,224920.0
4.0,0.222739581,1.2958082829618619E-8,4.0,0.0,0.0,0.139424103832639,0.0,?,0.0,0.3332702060676025,4.0,224920.0
5.0,0.265999114,1.547522375598757E-8,5.0,0.0,0.0,0.137896543550824,0.0,?,0.0,0.3577970083928097,5.0,224920.0
6.0,0.306900405,1.7855145737979977E-8,6.0,0.0,0.0,0.13239580822212438,0.0,?,0.0,0.14747583487533233,6.0,224920.0
7.0,0.338060291,1.966824492958685E-8,7.0,0.0,0.0,0.1185602488059926,0.0,?,0.0,0.2704328368333895,7.0,224920.0
8.0,0.387485147,2.254412728868425E-8,8.0,0.0,0.0,0.10652126872602719,0.0,?,0.0,0.2622124801631999,8.0,224920.0
9.0,0.456206778,2.6542830416545687E-8,9.0,0.0,0.0,0.10075431001495075,0.0,?,0.0,0.29736376334405357,9.0,224920.0
10.0,0.506459186,2.9466865514783812E-8,10.0,0.0,0.0,0.10597513775662046,0.0,?,0.0,0.4017764482633999,10.0,224920.0
11.0,0.546264323,3.1783005622501175E-8,11.0,0.0,0.0,0.10346243698828358,0.0,?,0.0,0.18577469027000204,11.0,224920.0
12.0,0.585512,3.406670882478977E-8,12.0,0.0,0.0,0.10579238128293232,0.0,?,0.0,0.1255669483867653,12.0,224920.0
13.0,0.624062771,3.630986118214826E-8,13.0,0.0,0.0,0.10565056824649868,0.0,?,0.0,0.3499857146764564,13.0,224920.0
14.0,0.66269914,3.855799422732451E-8,14.0,0.0,0.0,0.09973690641051045,0.0,?,0.0,0.23117366277136692,14.0,224920.0
15.0,0.701248869,4.080108595386561E-8,15.0,0.0,0.0,0.09422068469710417,0.0,?,0.0,0.26939373869897043,15.0,224920.0
16.0,0.739015201,4.299859418669923E-8,16.0,0.0,0.0,0.08843390070026495,0.0,?,0.0,0.2551652041178586,16.0,224920.0
17.0,0.773417062,4.500033406369595E-8,17.0,0.0,0.0,0.08539721720625193,0.0,?,0.0,0.2168247908648682,17.0,224920.0
18.0,0.808158649,4.7021841565515434E-8,18.0,0.0,0.0,0.08071211320649763,0.0,?,0.0,0.25253510671276014,18.0,224920.0
19.0,0.842689727,4.903110018754999E-8,19.0,0.0,0.0,0.08118516055785639,0.0,?,0.0,0.34122896022943733,19.0,224920.0
20.0,0.875017097,5.0912131729635106E-8,20.0,0.0,0.0,0.0804176533735352,0.0,?,0.0,0.3220850175281509,20.0,224920.0
21.0,0.896649808,5.21708735243376E-8,21.0,0.0,0.0,0.0822768464711268,0.0,?,0.0,0.3790024599232493,21.0,224920.0
22.0,0.917769778,5.339978047649273E-8,22.0,0.0,0.0,0.07878782299416232,0.0,?,0.0,0.27074868664119617,22.0,224920.0
