learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,3.89804E-4,2.350196682744556E-11,1.0,0.0,0.0,0.16416412371812444,0.0,?,0.0,0.16416412371812444,1.0,247760.0
2.0,0.093863637,6.0215426035494435E-9,2.0,0.0,0.0,0.14784203615298816,0.0,?,0.0,0.29568407230597626,2.0,248040.0
3.0,0.152743671,9.799764008288167E-9,3.0,0.0,0.0,0.13822791617758234,0.0,?,0.0,0.11092442178527963,3.0,248040.0
4.0,0.213093008,1.3672267832168274E-8,4.0,0.0,0.0,0.13942410383263903,0.0,?,0.0,0.3332702060676025,4.0,248040.0
5.0,0.257937581,1.6549860015538417E-8,5.0,0.0,0.0,0.137896543550824,0.0,?,0.0,0.3577970083928097,5.0,248040.0
6.0,0.289506833,1.85755997363747E-8,6.0,0.0,0.0,0.13239580822212438,0.0,?,0.0,0.14747583487533233,6.0,248040.0
7.0,0.317795897,2.0390855942320905E-8,7.0,0.0,0.0,0.1185602488059926,0.0,?,0.0,0.2704328368333895,7.0,248040.0
8.0,0.344985054,2.2135533177972667E-8,8.0,0.0,0.0,0.10652126872602719,0.0,?,0.0,0.2622124801631999,8.0,248040.0
9.0,0.368027505,2.361412406305679E-8,9.0,0.0,0.0,0.10075431001495075,0.0,?,0.0,0.29736376334405357,9.0,248040.0
10.0,0.383301805,2.459424726071664E-8,10.0,0.0,0.0,0.10597513775662046,0.0,?,0.0,0.4017764482633999,10.0,248040.0
11.0,0.398833311,2.5590874885235808E-8,11.0,0.0,0.0,0.10346243698828358,0.0,?,0.0,0.18577469027000204,11.0,248040.0
12.0,0.413941296,2.6560325961121253E-8,12.0,0.0,0.0,0.10579238128293232,0.0,?,0.0,0.1255669483867653,12.0,248040.0
13.0,0.429006103,2.7527006385688565E-8,13.0,0.0,0.0,0.10565056824649868,0.0,?,0.0,0.3499857146764564,13.0,248040.0
