learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,9.01717E-4,4.6296656413210766E-11,1.0,0.0,0.0,0.16416412371812444,0.0,?,0.0,0.16416412371812444,1.0,207712.0
2.0,0.144588943,7.777772810951703E-9,2.0,0.0,0.0,0.22992409801205035,0.0,?,0.0,0.29568407230597626,2.0,207992.0
3.0,0.23091031,1.2422525230263255E-8,3.0,0.0,0.0,0.19025753926979347,0.0,?,0.0,0.11092442178527963,3.0,207992.0
4.0,0.312985025,1.6838775161297785E-8,4.0,0.0,0.0,0.22601070596924572,0.0,?,0.0,0.3332702060676025,4.0,207992.0
5.0,0.367783387,1.978734784173055E-8,5.0,0.0,0.0,0.25236796645395854,0.0,?,0.0,0.3577970083928097,5.0,207992.0
6.0,0.419458583,2.2567870208103626E-8,6.0,0.0,0.0,0.23488594452418746,0.0,?,0.0,0.14747583487533233,6.0,207992.0
7.0,0.470034407,2.5289237918634384E-8,7.0,0.0,0.0,0.23996407199693062,0.0,?,0.0,0.2704328368333895,7.0,207992.0
8.0,0.517159712,2.7824941209912718E-8,8.0,0.0,0.0,0.24274512301771428,0.0,?,0.0,0.2622124801631999,8.0,207992.0
9.0,0.554290055,2.982283879278021E-8,9.0,0.0,0.0,0.24881386083175197,0.0,?,0.0,0.29736376334405357,9.0,207992.0
10.0,0.591778718,3.184001674324068E-8,10.0,0.0,0.0,0.2641101195749168,0.0,?,0.0,0.4017764482633999,10.0,207992.0
11.0,0.628328914,3.3806697962472426E-8,11.0,0.0,0.0,0.25698871691083364,0.0,?,0.0,0.18577469027000204,11.0,207992.0
12.0,0.66395379,3.572358986003325E-8,12.0,0.0,0.0,0.24603690286716126,0.0,?,0.0,0.1255669483867653,12.0,207992.0
13.0,0.696103135,3.745347150067075E-8,13.0,0.0,0.0,0.25403296531403013,0.0,?,0.0,0.3499857146764564,13.0,207992.0
14.0,0.728262151,3.918387351537331E-8,14.0,0.0,0.0,0.2524001579895542,0.0,?,0.0,0.23117366277136692,14.0,207992.0
15.0,0.7512828,4.0422561210586386E-8,15.0,0.0,0.0,0.2535330633701819,0.0,?,0.0,0.26939373869897043,15.0,207992.0
16.0,0.770136732,4.143704753435528E-8,16.0,0.0,0.0,0.2536350721669117,0.0,?,0.0,0.2551652041178586,16.0,207992.0
17.0,0.788851895,4.244406702029623E-8,17.0,0.0,0.0,0.25146976150208566,0.0,?,0.0,0.2168247908648682,17.0,207992.0
18.0,0.807916031,4.3469863933453136E-8,18.0,0.0,0.0,0.25152894734712317,0.0,?,0.0,0.25253510671276014,18.0,207992.0
19.0,0.826903717,4.449154724953904E-8,19.0,0.0,0.0,0.2562500006567186,0.0,?,0.0,0.34122896022943733,19.0,207992.0
20.0,0.845867869,4.551196425570383E-8,20.0,0.0,0.0,0.25954175150029024,0.0,?,0.0,0.3220850175281509,20.0,207992.0
21.0,0.865590466,4.657319142708142E-8,21.0,0.0,0.0,0.2652303566632883,0.0,?,0.0,0.3790024599232493,21.0,207992.0
22.0,0.884518256,4.759165187841696E-8,22.0,0.0,0.0,0.2654811898441023,0.0,?,0.0,0.27074868664119617,22.0,207992.0
23.0,0.903524202,4.861431772272414E-8,23.0,0.0,0.0,0.2701211701468814,0.0,?,0.0,0.37220073680802224,23.0,207992.0
