learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,8.11132E-4,4.459193041755093E-11,1.0,0.0,0.0,0.16416412371812444,0.0,?,0.0,0.16416412371812444,1.0,224136.0
2.0,0.151345062,8.784077034385669E-9,2.0,0.0,0.0,0.14784203615298813,0.0,?,0.0,0.29568407230597626,2.0,224416.0
3.0,0.233573364,1.3557971002699602E-8,3.0,0.0,0.0,0.13822791617758232,0.0,?,0.0,0.11092442178527963,3.0,224416.0
4.0,0.293323408,1.7026854194013612E-8,4.0,0.0,0.0,0.139424103832639,0.0,?,0.0,0.3332702060676025,4.0,224416.0
5.0,0.365254526,2.120292887878915E-8,5.0,0.0,0.0,0.137896543550824,0.0,?,0.0,0.3577970083928097,5.0,224416.0
6.0,0.418439536,2.4290668650476473E-8,6.0,0.0,0.0,0.13239580822212438,0.0,?,0.0,0.14747583487533233,6.0,224416.0
7.0,0.459817067,2.669290657659372E-8,7.0,0.0,0.0,0.11856024880599261,0.0,?,0.0,0.2704328368333895,7.0,224416.0
8.0,0.50553925,2.934738013779952E-8,8.0,0.0,0.0,0.1065212687260272,0.0,?,0.0,0.2622124801631999,8.0,224416.0
9.0,0.54525718,3.1653267306197025E-8,9.0,0.0,0.0,0.10075431001495076,0.0,?,0.0,0.29736376334405357,9.0,224416.0
10.0,0.583902977,3.3896910099635526E-8,10.0,0.0,0.0,0.10597513775662049,0.0,?,0.0,0.4017764482633999,10.0,224416.0
11.0,0.619587537,3.5968633601185355E-8,11.0,0.0,0.0,0.1034624369882836,0.0,?,0.0,0.18577469027000204,11.0,224416.0
12.0,0.658237493,3.821251785193881E-8,12.0,0.0,0.0,0.10579238128293234,0.0,?,0.0,0.1255669483867653,12.0,224416.0
13.0,0.701485834,4.0723368607916775E-8,13.0,0.0,0.0,0.1056505682464987,0.0,?,0.0,0.3499857146764564,13.0,224416.0
14.0,0.743005923,4.31338829639223E-8,14.0,0.0,0.0,0.09973690641051045,0.0,?,0.0,0.23117366277136692,14.0,224416.0
15.0,0.777741573,4.5150515996432975E-8,15.0,0.0,0.0,0.09422068469710417,0.0,?,0.0,0.26939373869897043,15.0,224416.0
16.0,0.805900709,4.6785339119782056E-8,16.0,0.0,0.0,0.08843390070026495,0.0,?,0.0,0.2551652041178586,16.0,224416.0
17.0,0.826745472,4.799551476413178E-8,17.0,0.0,0.0,0.08539721720625193,0.0,?,0.0,0.2168247908648682,17.0,224416.0
18.0,0.847484772,4.919956758741704E-8,18.0,0.0,0.0,0.08071211320649763,0.0,?,0.0,0.25253510671276014,18.0,224416.0
19.0,0.868044214,5.0393178470391373E-8,19.0,0.0,0.0,0.08118516055785639,0.0,?,0.0,0.34122896022943733,19.0,224416.0
20.0,0.890791254,5.1713793810995096E-8,20.0,0.0,0.0,0.0804176533735352,0.0,?,0.0,0.3220850175281509,20.0,224416.0
21.0,0.934040951,5.4224723291695123E-8,21.0,0.0,0.0,0.0822768464711268,0.0,?,0.0,0.3790024599232493,21.0,224416.0
