learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,6.51809E-4,3.6160962560938464E-11,1.0,0.0,0.0,0.16416412371812444,0.0,?,0.0,0.16416412371812444,1.0,226080.0
2.0,0.132735639,7.7709231978986E-9,2.0,0.0,0.0,0.14784203615298813,0.0,?,0.0,0.29568407230597626,2.0,226360.0
3.0,0.187347794,1.0968983354727841E-8,3.0,0.0,0.0,0.13822791617758232,0.0,?,0.0,0.11092442178527963,3.0,226360.0
4.0,0.23130813,1.3543278381950739E-8,4.0,0.0,0.0,0.139424103832639,0.0,?,0.0,0.3332702060676025,4.0,226360.0
5.0,0.265063596,1.5519981386800193E-8,5.0,0.0,0.0,0.137896543550824,0.0,?,0.0,0.3577970083928097,5.0,226360.0
6.0,0.297112176,1.7396730011368377E-8,6.0,0.0,0.0,0.13239580822212438,0.0,?,0.0,0.14747583487533233,6.0,226360.0
7.0,0.326223765,1.910148992942853E-8,7.0,0.0,0.0,0.11856024880599261,0.0,?,0.0,0.2704328368333895,7.0,226360.0
8.0,0.35012894,2.050136487868718E-8,8.0,0.0,0.0,0.1065212687260272,0.0,?,0.0,0.2622124801631999,8.0,226360.0
9.0,0.373478733,2.1868716939112378E-8,9.0,0.0,0.0,0.10075431001495076,0.0,?,0.0,0.29736376334405357,9.0,226360.0
10.0,0.397718506,2.328818577790633E-8,10.0,0.0,0.0,0.10597513775662049,0.0,?,0.0,0.4017764482633999,10.0,226360.0
11.0,0.42245859,2.4736952575645927E-8,11.0,0.0,0.0,0.1034624369882836,0.0,?,0.0,0.18577469027000204,11.0,226360.0
12.0,0.446549338,2.61476945858635E-8,12.0,0.0,0.0,0.10579238128293234,0.0,?,0.0,0.1255669483867653,12.0,226360.0
13.0,0.473127105,2.7704075170006188E-8,13.0,0.0,0.0,0.1056505682464987,0.0,?,0.0,0.3499857146764564,13.0,226360.0
14.0,0.496446502,2.9069647256055226E-8,14.0,0.0,0.0,0.09973690641051045,0.0,?,0.0,0.23117366277136692,14.0,226360.0
15.0,0.520202327,3.046077634490199E-8,15.0,0.0,0.0,0.09422068469710417,0.0,?,0.0,0.26939373869897043,15.0,226360.0
16.0,0.54378005,3.1841475870768646E-8,16.0,0.0,0.0,0.08843390070026495,0.0,?,0.0,0.2551652041178586,16.0,226360.0
17.0,0.567467349,3.3228592111737365E-8,17.0,0.0,0.0,0.08539721720625193,0.0,?,0.0,0.2168247908648682,17.0,226360.0
18.0,0.609592206,3.56954024176817E-8,18.0,0.0,0.0,0.08071211320649763,0.0,?,0.0,0.25253510671276014,18.0,226360.0
19.0,0.650719802,3.8103813624193685E-8,19.0,0.0,0.0,0.08118516055785639,0.0,?,0.0,0.34122896022943733,19.0,226360.0
20.0,0.684675404,4.009223649191153E-8,20.0,0.0,0.0,0.0804176533735352,0.0,?,0.0,0.3220850175281509,20.0,226360.0
21.0,0.705253924,4.129730420803651E-8,21.0,0.0,0.0,0.0822768464711268,0.0,?,0.0,0.3790024599232493,21.0,226360.0
22.0,0.725666101,4.249263096227E-8,22.0,0.0,0.0,0.0787878229941623,0.0,?,0.0,0.27074868664119617,22.0,226360.0
