learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,6.14814E-4,3.396223086863756E-11,1.0,0.0,0.0,0.16416412371812444,0.0,?,0.0,0.16416412371812444,1.0,225160.0
2.0,0.14550254,8.484030182067718E-9,2.0,0.0,0.0,0.14784203615298813,0.0,?,0.0,0.29568407230597626,2.0,225440.0
3.0,0.206635845,1.2049415571105977E-8,3.0,0.0,0.0,0.13822791617758232,0.0,?,0.0,0.11092442178527963,3.0,225440.0
4.0,0.265341176,1.5473197900657024E-8,4.0,0.0,0.0,0.139424103832639,0.0,?,0.0,0.3332702060676025,4.0,225440.0
5.0,0.320516111,1.8691082277922996E-8,5.0,0.0,0.0,0.137896543550824,0.0,?,0.0,0.3577970083928097,5.0,225440.0
6.0,0.372446831,2.1719759205012686E-8,6.0,0.0,0.0,0.13239580822212438,0.0,?,0.0,0.14747583487533233,6.0,225440.0
7.0,0.422686318,2.4649800904910598E-8,7.0,0.0,0.0,0.1185602488059926,0.0,?,0.0,0.2704328368333895,7.0,225440.0
8.0,0.482955296,2.8164777456128764E-8,8.0,0.0,0.0,0.10652126872602719,0.0,?,0.0,0.2622124801631999,8.0,225440.0
9.0,0.556571237,3.2458168766179847E-8,9.0,0.0,0.0,0.10075431001495075,0.0,?,0.0,0.29736376334405357,9.0,225440.0
10.0,0.608569968,3.549081219607343E-8,10.0,0.0,0.0,0.10597513775662046,0.0,?,0.0,0.4017764482633999,10.0,225440.0
11.0,0.648703918,3.783148392868125E-8,11.0,0.0,0.0,0.10346243698828358,0.0,?,0.0,0.18577469027000204,11.0,225440.0
12.0,0.68883563,4.017202513779617E-8,12.0,0.0,0.0,0.10579238128293232,0.0,?,0.0,0.1255669483867653,12.0,225440.0
13.0,0.726602215,4.2374628618057404E-8,13.0,0.0,0.0,0.10565056824649868,0.0,?,0.0,0.3499857146764564,13.0,225440.0
14.0,0.747258832,4.357935328391277E-8,14.0,0.0,0.0,0.09973690641051045,0.0,?,0.0,0.23117366277136692,14.0,225440.0
