learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.003240007,1.8131101560468476E-10,1.0,0.0,0.0,0.16416412371812444,0.0,?,0.0,0.16416412371812444,1.0,233040.0
2.0,0.168506108,1.0156781278008387E-8,2.0,0.0,0.0,0.14784203615298813,0.0,?,0.0,0.29568407230597626,2.0,233320.0
3.0,0.2658656,1.6033405167191392E-8,3.0,0.0,0.0,0.13822791617758232,0.0,?,0.0,0.11092442178527963,3.0,233320.0
4.0,0.358490922,2.1624274314377043E-8,4.0,0.0,0.0,0.139424103832639,0.0,?,0.0,0.3332702060676025,4.0,233320.0
5.0,0.421484605,2.5426576224348198E-8,5.0,0.0,0.0,0.137896543550824,0.0,?,0.0,0.3577970083928097,5.0,233320.0
6.0,0.476639545,2.875573120813196E-8,6.0,0.0,0.0,0.13239580822212438,0.0,?,0.0,0.14747583487533233,6.0,233320.0
7.0,0.521809959,3.148221969470589E-8,7.0,0.0,0.0,0.11856024880599261,0.0,?,0.0,0.2704328368333895,7.0,233320.0
8.0,0.565844849,3.4140167894882874E-8,8.0,0.0,0.0,0.1065212687260272,0.0,?,0.0,0.2622124801631999,8.0,233320.0
9.0,0.607920936,3.6679882646347916E-8,9.0,0.0,0.0,0.10075431001495076,0.0,?,0.0,0.29736376334405357,9.0,233320.0
10.0,0.649595062,3.919533501140773E-8,10.0,0.0,0.0,0.10597513775662049,0.0,?,0.0,0.4017764482633999,10.0,233320.0
11.0,0.694000811,4.187566827968798E-8,11.0,0.0,0.0,0.1034624369882836,0.0,?,0.0,0.18577469027000204,11.0,233320.0
12.0,0.734109514,4.429663163284461E-8,12.0,0.0,0.0,0.10579238128293234,0.0,?,0.0,0.1255669483867653,12.0,233320.0
13.0,0.774884813,4.675783075446677E-8,13.0,0.0,0.0,0.1056505682464987,0.0,?,0.0,0.3499857146764564,13.0,233320.0
14.0,0.813890709,4.9112228621010566E-8,14.0,0.0,0.0,0.09973690641051045,0.0,?,0.0,0.23117366277136692,14.0,233320.0
15.0,0.85252117,5.144396521185835E-8,15.0,0.0,0.0,0.09422068469710417,0.0,?,0.0,0.26939373869897043,15.0,233320.0
16.0,0.893310963,5.390603919205773E-8,16.0,0.0,0.0,0.08843390070026495,0.0,?,0.0,0.2551652041178586,16.0,233320.0
17.0,0.937829783,5.6593197431649184E-8,17.0,0.0,0.0,0.08539721720625193,0.0,?,0.0,0.2168247908648682,17.0,233320.0
18.0,0.976439114,5.892365861462222E-8,18.0,0.0,0.0,0.08071211320649763,0.0,?,0.0,0.25253510671276014,18.0,233320.0
19.0,1.015025402,6.125272892094321E-8,19.0,0.0,0.0,0.08118516055785639,0.0,?,0.0,0.34122896022943733,19.0,233320.0
20.0,1.05366637,6.358509971484542E-8,20.0,0.0,0.0,0.0804176533735352,0.0,?,0.0,0.3220850175281509,20.0,233320.0
21.0,1.0923318,6.591894703631185E-8,21.0,0.0,0.0,0.0822768464711268,0.0,?,0.0,0.3790024599232493,21.0,233320.0
22.0,1.130458814,6.822029554063247E-8,22.0,0.0,0.0,0.0787878229941623,0.0,?,0.0,0.27074868664119617,22.0,233320.0
23.0,1.170187018,7.061829195479552E-8,23.0,0.0,0.0,0.08000224577545612,0.0,?,0.0,0.37220073680802224,23.0,233320.0
24.0,1.217240845,7.345846334584679E-8,24.0,0.0,0.0,0.07896366078017893,0.0,?,0.0,0.21504496425807795,24.0,233320.0
25.0,1.261254233,7.611511368421011E-8,25.0,0.0,0.0,0.07854794052246993,0.0,?,0.0,0.1992556738973939,25.0,233320.0
26.0,1.294300518,7.810978912766611E-8,26.0,0.0,0.0,0.07671567411733336,0.0,?,0.0,0.2959925160502692,26.0,233320.0
27.0,1.326893538,8.007710547266737E-8,27.0,0.0,0.0,0.07663356092772086,0.0,?,0.0,0.1917736922938974,27.0,233320.0
28.0,1.347295135,8.130854690528787E-8,28.0,0.0,0.0,0.07647963503206749,0.0,?,0.0,0.3358367380671272,28.0,233320.0
29.0,1.367750043,8.254320619257997E-8,29.0,0.0,0.0,0.07891764638430264,0.0,?,0.0,0.41327805345920954,29.0,233320.0
30.0,1.388427434,8.379129456506838E-8,30.0,0.0,0.0,0.0768719733038082,0.0,?,0.0,0.2887187833282365,30.0,233320.0
31.0,1.410003981,8.509365603945117E-8,31.0,0.0,0.0,0.07483450483985296,0.0,?,0.0,0.28546669541227854,31.0,233320.0
32.0,1.430289899,8.631811508174781E-8,32.0,0.0,0.0,0.07613581289361805,0.0,?,0.0,0.3886748796617799,32.0,233320.0
