learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001335551,7.881728469704587E-11,1.0,0.0,0.0,0.12947810940284404,0.0,?,0.0,0.12947810940284404,1.0,245712.0
2.0,0.095131899,6.04785801101269E-9,2.0,0.0,0.0,0.07048680831545832,0.0,?,0.0,0.14097361663091665,2.0,245992.0
3.0,0.142198845,9.04311873840582E-9,3.0,0.0,0.0,0.0657551237904563,0.0,?,0.0,0.0789341082764281,3.0,245992.0
4.0,0.180242546,1.1464155436431368E-8,4.0,0.0,0.0,0.07669632603634205,0.0,?,0.0,0.006942011996063591,4.0,245992.0
5.0,0.219485483,1.3961509482382486E-8,5.0,0.0,0.0,0.07087092021240624,0.0,?,0.0,0.041512664659900056,5.0,245992.0
6.0,0.250839136,1.5958165540138467E-8,6.0,0.0,0.0,0.06782353973723433,0.0,?,0.0,0.026981464831855734,6.0,246160.0
7.0,0.281155694,1.7888777554662278E-8,7.0,0.0,0.0,0.07054598222757341,0.0,?,0.0,0.15768429980260928,7.0,246160.0
8.0,0.314987219,2.0043228882371138E-8,8.0,0.0,0.0,0.08240269462052194,0.0,?,0.0,0.2486148635998212,8.0,246160.0
9.0,0.347171113,2.20927561549118E-8,9.0,0.0,0.0,0.07960618290208131,0.0,?,0.0,0.046656053245498486,9.0,246160.0
10.0,0.378612766,2.409501620825587E-8,10.0,0.0,0.0,0.08122432883781022,0.0,?,0.0,0.0017431569012892612,10.0,246160.0
11.0,0.409455124,2.6059112096418526E-8,11.0,0.0,0.0,0.09009582651294523,0.0,?,0.0,0.2667628381990179,11.0,246160.0
12.0,0.426863581,2.7167713417139735E-8,12.0,0.0,0.0,0.09639576385513614,0.0,?,0.0,0.2699026371234401,12.0,246160.0
13.0,0.441893209,2.812482670126069E-8,13.0,0.0,0.0,0.08939411479660432,0.0,?,0.0,0.11264115929491783,13.0,246160.0
14.0,0.456974945,2.9085258314951015E-8,14.0,0.0,0.0,0.08615552812375528,0.0,?,0.0,0.16165597706630258,14.0,246160.0
15.0,0.474483784,3.0200252138912265E-8,15.0,0.0,0.0,0.08085450905624657,0.0,?,0.0,0.1273890250419037,15.0,246160.0
16.0,0.489672201,3.116813750202871E-8,16.0,0.0,0.0,0.08097632960995213,0.0,?,0.0,0.03838782782265185,16.0,246328.0
17.0,0.503637753,3.2058095512046586E-8,17.0,0.0,0.0,0.08176442292670219,0.0,?,0.0,0.21039015436316952,17.0,246328.0
18.0,0.514837475,3.277180036981901E-8,18.0,0.0,0.0,0.08489458237042778,0.0,?,0.0,0.25967493810544695,18.0,246328.0
19.0,0.525394923,3.34445761693683E-8,19.0,0.0,0.0,0.09402248293043362,0.0,?,0.0,0.3875649655863208,19.0,246328.0
20.0,0.537388508,3.420887012921895E-8,20.0,0.0,0.0,0.09033730577331228,0.0,?,0.0,0.12251736926201406,20.0,246328.0
21.0,0.548525877,3.4918601527739734E-8,21.0,0.0,0.0,0.09203203177778416,0.0,?,0.0,0.2677469139278424,21.0,246328.0
22.0,0.559533578,3.562006980316714E-8,22.0,0.0,0.0,0.08936977606313606,0.0,?,0.0,0.11435445847496202,22.0,246328.0
23.0,0.570659146,3.632904918025145E-8,23.0,0.0,0.0,0.09000156575106821,0.0,?,0.0,0.04239490718784339,23.0,246328.0
24.0,0.582163936,3.7062194566418324E-8,24.0,0.0,0.0,0.0891312646528082,0.0,?,0.0,0.0726640745551313,24.0,246328.0
25.0,0.592763717,3.773766804611932E-8,25.0,0.0,0.0,0.08789685347998953,0.0,?,0.0,0.08062766447425017,25.0,246328.0
26.0,0.603362969,3.8413107815173774E-8,26.0,0.0,0.0,0.09256251777624781,0.0,?,0.0,0.34577193557600266,26.0,246328.0
27.0,0.613808437,3.9078747663493796E-8,27.0,0.0,0.0,0.09602191885285843,0.0,?,0.0,0.3305804697450596,27.0,246328.0
28.0,0.624808047,3.977970033808716E-8,28.0,0.0,0.0,0.09666736876849488,0.0,?,0.0,0.037407248885377054,28.0,246328.0
29.0,0.635719056,4.047500689359797E-8,29.0,0.0,0.0,0.09563311342683231,0.0,?,0.0,0.21410092507595432,29.0,246328.0
30.0,0.646435417,4.115790946058516E-8,30.0,0.0,0.0,0.09546175674354365,0.0,?,0.0,0.05923365048958018,30.0,246328.0
31.0,0.657272695,4.184851749118005E-8,31.0,0.0,0.0,0.0925139596223283,0.0,?,0.0,0.1426296036676124,31.0,246328.0
32.0,0.667915816,4.252675282233913E-8,32.0,0.0,0.0,0.09497591606171915,0.0,?,0.0,0.3178746009496749,32.0,246328.0
33.0,0.678487961,4.32004651915903E-8,33.0,0.0,0.0,0.09563475275178335,0.0,?,0.0,0.26864857977826584,33.0,246328.0
34.0,0.689125736,4.387835984767105E-8,34.0,0.0,0.0,0.09563293256722964,0.0,?,0.0,0.2510408141739263,34.0,246328.0
35.0,0.699554823,4.4542955813002266E-8,35.0,0.0,0.0,0.09553393616447292,0.0,?,0.0,0.0661108558873113,35.0,246328.0
36.0,0.710143489,4.521818118841285E-8,36.0,0.0,0.0,0.09702547544957431,0.0,?,0.0,0.0064161908307684146,36.0,246496.0
37.0,0.720631919,4.588701464526356E-8,37.0,0.0,0.0,0.09670855829044972,0.0,?,0.0,0.23679982208674158,37.0,246496.0
38.0,0.73182129,4.660054619249371E-8,38.0,0.0,0.0,0.09731926773594175,0.0,?,0.0,0.033890157293790774,38.0,246496.0
39.0,0.742687104,4.7293444933212476E-8,39.0,0.0,0.0,0.1011620274897502,0.0,?,0.0,0.39783690114164205,39.0,246496.0
40.0,0.753555666,4.7986518910295446E-8,40.0,0.0,0.0,0.10053160087387063,0.0,?,0.0,0.08104316574579506,40.0,246496.0
41.0,0.764235874,4.8667581799262114E-8,41.0,0.0,0.0,0.10131700977552581,0.0,?,0.0,0.02235613868726563,41.0,246496.0
42.0,0.774915016,4.934857671080366E-8,42.0,0.0,0.0,0.09903028022988843,0.0,?,0.0,0.14657773650337091,42.0,246496.0
43.0,0.785754527,5.0039798143630244E-8,43.0,0.0,0.0,0.09926721188052536,0.0,?,0.0,0.26094486635847997,43.0,246496.0
44.0,0.796292696,5.071180339142682E-8,44.0,0.0,0.0,0.09780430285953376,0.0,?,0.0,0.11936727161773372,44.0,246496.0
45.0,0.806672704,5.137372291920915E-8,45.0,0.0,0.0,0.09854761109312729,0.0,?,0.0,0.2847264959695786,45.0,246496.0
46.0,0.817109603,5.203927031161886E-8,46.0,0.0,0.0,0.09960959781501297,0.0,?,0.0,0.008991059484494829,46.0,246496.0
47.0,0.82792504,5.27289565769666E-8,47.0,0.0,0.0,0.0977438776547189,0.0,?,0.0,0.14126498340969623,47.0,246496.0
48.0,0.838737481,5.3418451791314634E-8,48.0,0.0,0.0,0.09666376027790256,0.0,?,0.0,0.10703385713864765,48.0,246496.0
