learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,5.74118E-4,3.163695721990532E-11,1.0,0.0,0.0,0.12947810940284404,0.0,?,0.0,0.12947810940284404,1.0,224640.0
2.0,0.112392799,6.538026618839552E-9,2.0,0.0,0.0,0.07048680831545832,0.0,?,0.0,0.14097361663091665,2.0,224920.0
3.0,0.172163409,1.0015897002346399E-8,3.0,0.0,0.0,0.0657551237904563,0.0,?,0.0,0.0789341082764281,3.0,224920.0
4.0,0.210300526,1.2234980088944237E-8,4.0,0.0,0.0,0.07669632603634205,0.0,?,0.0,0.006942011996063591,4.0,224920.0
5.0,0.248636452,1.446563126783818E-8,5.0,0.0,0.0,0.07087092021240624,0.0,?,0.0,0.041512664659900056,5.0,224920.0
6.0,0.281837906,1.6397523104912706E-8,6.0,0.0,0.0,0.06782353973723433,0.0,?,0.0,0.026981464831855734,6.0,224920.0
7.0,0.326980711,1.902424591296042E-8,7.0,0.0,0.0,0.07054598222757341,0.0,?,0.0,0.15768429980260928,7.0,224920.0
8.0,0.378750167,2.2036553429859795E-8,8.0,0.0,0.0,0.08240269462052194,0.0,?,0.0,0.2486148635998212,8.0,224920.0
9.0,0.425893157,2.4779660932208517E-8,9.0,0.0,0.0,0.07960618290208131,0.0,?,0.0,0.046656053245498486,9.0,224920.0
10.0,0.465014633,2.7056020881345293E-8,10.0,0.0,0.0,0.08122432883781022,0.0,?,0.0,0.0017431569012892612,10.0,224920.0
11.0,0.491071934,2.857221613888112E-8,11.0,0.0,0.0,0.09009582651294523,0.0,?,0.0,0.2667628381990179,11.0,224920.0
12.0,0.513965177,2.99043044647678E-8,12.0,0.0,0.0,0.09639576385513614,0.0,?,0.0,0.2699026371234401,12.0,224920.0
13.0,0.540690675,3.145938007765968E-8,13.0,0.0,0.0,0.08939411479660432,0.0,?,0.0,0.11264115929491783,13.0,224920.0
14.0,0.567783066,3.3035804080648564E-8,14.0,0.0,0.0,0.08615552812375528,0.0,?,0.0,0.16165597706630258,14.0,224920.0
15.0,0.590572391,3.436184573352131E-8,15.0,0.0,0.0,0.08085450905624657,0.0,?,0.0,0.1273890250419037,15.0,224920.0
16.0,0.631879518,3.6765382080583116E-8,16.0,0.0,0.0,0.08097632960995213,0.0,?,0.0,0.03838782782265185,16.0,224920.0
17.0,0.655823659,3.81586189714633E-8,17.0,0.0,0.0,0.08176442292670219,0.0,?,0.0,0.21039015436316952,17.0,224920.0
18.0,0.679032606,3.950907715490296E-8,18.0,0.0,0.0,0.08489458237042778,0.0,?,0.0,0.25967493810544695,18.0,224920.0
19.0,0.703435897,4.0929030590696893E-8,19.0,0.0,0.0,0.09402248293043362,0.0,?,0.0,0.3875649655863208,19.0,224920.0
20.0,0.727153553,4.230908900684161E-8,20.0,0.0,0.0,0.09033730577331228,0.0,?,0.0,0.12251736926201406,20.0,224920.0
21.0,0.750275811,4.3654503020484837E-8,21.0,0.0,0.0,0.09203203177778417,0.0,?,0.0,0.2677469139278424,21.0,224920.0
22.0,0.772071973,4.492275553278005E-8,22.0,0.0,0.0,0.08936977606313608,0.0,?,0.0,0.11435445847496202,22.0,224920.0
23.0,0.793482401,4.61685633543734E-8,23.0,0.0,0.0,0.09000156575106823,0.0,?,0.0,0.04239490718784339,23.0,224920.0
24.0,0.814794162,4.7408630042705276E-8,24.0,0.0,0.0,0.08913126465280823,0.0,?,0.0,0.0726640745551313,24.0,224920.0
