learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,3.95891E-4,2.3868962733281983E-11,1.0,0.0,0.0,0.12947810940284404,0.0,?,0.0,0.12947810940284404,1.0,247760.0
2.0,0.093806442,6.017848912144286E-9,2.0,0.0,0.0,0.0704868083154583,0.0,?,0.0,0.14097361663091665,2.0,248040.0
3.0,0.157225493,1.0087330528890921E-8,3.0,0.0,0.0,0.0657551237904563,0.0,?,0.0,0.0789341082764281,3.0,248040.0
4.0,0.218125582,1.3995175076166374E-8,4.0,0.0,0.0,0.07669632603634206,0.0,?,0.0,0.006942011996063591,4.0,248040.0
5.0,0.258257746,1.657038080793081E-8,5.0,0.0,0.0,0.07087092021240626,0.0,?,0.0,0.041512664659900056,5.0,248040.0
6.0,0.290295198,1.862616404507516E-8,6.0,0.0,0.0,0.06782353973723435,0.0,?,0.0,0.026981464831855734,6.0,248040.0
7.0,0.316943416,2.0336130239146034E-8,7.0,0.0,0.0,0.07054598222757343,0.0,?,0.0,0.15768429980260928,7.0,248040.0
8.0,0.345402352,2.216228681288866E-8,8.0,0.0,0.0,0.08240269462052194,0.0,?,0.0,0.2486148635998212,8.0,248040.0
9.0,0.366911539,2.3542491021363267E-8,9.0,0.0,0.0,0.07960618290208132,0.0,?,0.0,0.046656053245498486,9.0,248040.0
10.0,0.382329207,2.4531813874824175E-8,10.0,0.0,0.0,0.08122432883781024,0.0,?,0.0,0.0017431569012892612,10.0,248040.0
11.0,0.397836901,2.5526913527941534E-8,11.0,0.0,0.0,0.09009582651294523,0.0,?,0.0,0.2667628381990179,11.0,248040.0
12.0,0.413120535,2.6507635670883785E-8,12.0,0.0,0.0,0.09639576385513614,0.0,?,0.0,0.2699026371234401,12.0,248040.0
13.0,0.428371038,2.7486231859663704E-8,13.0,0.0,0.0,0.08939411479660432,0.0,?,0.0,0.11264115929491783,13.0,248040.0
