learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,6.12426E-4,3.144365260998408E-11,1.0,0.0,0.0,0.12947810940284404,0.0,?,0.0,0.12947810940284404,1.0,207712.0
2.0,0.119045028,6.4040271019066374E-9,2.0,0.0,0.0,0.13522586301688033,0.0,?,0.0,0.14097361663091665,2.0,207992.0
3.0,0.198374777,1.0672576783135948E-8,3.0,0.0,0.0,0.11646194477006293,0.0,?,0.0,0.0789341082764281,3.0,207992.0
4.0,0.255822484,1.3763704569285944E-8,4.0,0.0,0.0,0.08908196157656309,0.0,?,0.0,0.006942011996063591,4.0,207992.0
5.0,0.309625425,1.6658715955931694E-8,5.0,0.0,0.0,0.07956810219323049,0.0,?,0.0,0.041512664659900056,5.0,207992.0
6.0,0.360716911,1.9407830241908215E-8,6.0,0.0,0.0,0.07080366263300136,0.0,?,0.0,0.026981464831855734,6.0,207992.0
7.0,0.409627085,2.2039573191663042E-8,7.0,0.0,0.0,0.08321518222865963,0.0,?,0.0,0.15768429980260928,7.0,207992.0
8.0,0.461720911,2.4842621066758615E-8,8.0,0.0,0.0,0.10389014240005483,0.0,?,0.0,0.2486148635998212,8.0,207992.0
9.0,0.525449195,2.827169212500047E-8,9.0,0.0,0.0,0.09753079916065968,0.0,?,0.0,0.046656053245498486,9.0,207992.0
10.0,0.587929544,3.163361469716247E-8,10.0,0.0,0.0,0.08795203493472263,0.0,?,0.0,0.0017431569012892612,10.0,207992.0
11.0,0.65140824,3.5049256004380676E-8,11.0,0.0,0.0,0.10420756250420403,0.0,?,0.0,0.2667628381990179,11.0,207992.0
12.0,0.714356983,3.8436381770610385E-8,12.0,0.0,0.0,0.11801548538914036,0.0,?,0.0,0.2699026371234401,12.0,207992.0
13.0,0.758301616,4.080094048343184E-8,13.0,0.0,0.0,0.11760207568958479,0.0,?,0.0,0.11264115929491783,13.0,207992.0
14.0,0.79525012,4.278905373173041E-8,14.0,0.0,0.0,0.12074878293077893,0.0,?,0.0,0.16165597706630258,14.0,207992.0
15.0,0.818264381,4.402739770348908E-8,15.0,0.0,0.0,0.12119146573818723,0.0,?,0.0,0.1273890250419037,15.0,207992.0
16.0,0.837272455,4.5050178050537486E-8,16.0,0.0,0.0,0.11601623836846628,0.0,?,0.0,0.03838782782265185,16.0,207992.0
17.0,0.856768395,4.609920933478201E-8,17.0,0.0,0.0,0.12156764519168413,0.0,?,0.0,0.21039015436316952,17.0,207992.0
18.0,0.877339475,4.720609140718769E-8,18.0,0.0,0.0,0.12924027257578208,0.0,?,0.0,0.25967493810544695,18.0,207992.0
19.0,0.897970586,4.831620360838042E-8,19.0,0.0,0.0,0.14283630905002095,0.0,?,0.0,0.3875649655863208,19.0,207992.0
20.0,0.91772179,4.9378970056035443E-8,20.0,0.0,0.0,0.1418203620606206,0.0,?,0.0,0.12251736926201406,20.0,207992.0
21.0,0.937478903,5.044205445326657E-8,21.0,0.0,0.0,0.1478168645304883,0.0,?,0.0,0.2677469139278424,21.0,207992.0
22.0,0.95812854,5.155316349552322E-8,22.0,0.0,0.0,0.14629584607341894,0.0,?,0.0,0.11435445847496202,22.0,207992.0
23.0,0.978091076,5.2627301227628344E-8,23.0,0.0,0.0,0.14177841394795915,0.0,?,0.0,0.04239490718784339,23.0,207992.0
24.0,0.997005058,5.3645018702530186E-8,24.0,0.0,0.0,0.1388986498065913,0.0,?,0.0,0.0726640745551313,24.0,207992.0
25.0,1.015531621,5.4641890060183476E-8,25.0,0.0,0.0,0.13656781039329766,0.0,?,0.0,0.08062766447425017,25.0,207992.0
26.0,1.034090461,5.5640498168296686E-8,26.0,0.0,0.0,0.14461412290032477,0.0,?,0.0,0.34577193557600266,26.0,207992.0
27.0,1.053051538,5.666074971584809E-8,27.0,0.0,0.0,0.1515017653760557,0.0,?,0.0,0.3305804697450596,27.0,207992.0
28.0,1.072909832,5.772927842786327E-8,28.0,0.0,0.0,0.1474269612156743,0.0,?,0.0,0.037407248885377054,28.0,207992.0
29.0,1.092223664,5.876851090327317E-8,29.0,0.0,0.0,0.14972606341775296,0.0,?,0.0,0.21410092507595432,29.0,207992.0
30.0,1.110973846,5.977741468033027E-8,30.0,0.0,0.0,0.14670964965348052,0.0,?,0.0,0.05923365048958018,30.0,207992.0
31.0,1.129856657,6.079345491606534E-8,31.0,0.0,0.0,0.14657803526683963,0.0,?,0.0,0.1426296036676124,31.0,207992.0
32.0,1.148746842,6.180989192962645E-8,32.0,0.0,0.0,0.1519310529444282,0.0,?,0.0,0.3178746009496749,32.0,207992.0
33.0,1.167870425,6.283888754788578E-8,33.0,0.0,0.0,0.15546794769696876,0.0,?,0.0,0.26864857977826584,33.0,207992.0
34.0,1.200662901,6.460337457502259E-8,34.0,0.0,0.0,0.15827891435805574,0.0,?,0.0,0.2510408141739263,34.0,207992.0
35.0,1.241524623,6.680204900190853E-8,35.0,0.0,0.0,0.1556455412588916,0.0,?,0.0,0.0661108558873113,35.0,207992.0
36.0,1.278004954,6.876497094763648E-8,36.0,0.0,0.0,0.1515002815247771,0.0,?,0.0,0.0064161908307684146,36.0,207992.0
37.0,1.296747467,6.977346207360218E-8,37.0,0.0,0.0,0.15380567451293828,0.0,?,0.0,0.23679982208674158,37.0,207992.0
38.0,1.31983321,7.101565232588183E-8,38.0,0.0,0.0,0.15065000300717124,0.0,?,0.0,0.033890157293790774,38.0,207992.0
39.0,1.341198362,7.216526156968538E-8,39.0,0.0,0.0,0.1569881286003628,0.0,?,0.0,0.39783690114164205,39.0,207992.0
40.0,1.360844969,7.322239989552438E-8,40.0,0.0,0.0,0.1550895045289986,0.0,?,0.0,0.08104316574579506,40.0,207992.0
41.0,1.380045103,7.425551454543031E-8,41.0,0.0,0.0,0.15185210536212707,0.0,?,0.0,0.02235613868726563,41.0,207992.0
42.0,1.411060037,7.592435616295576E-8,42.0,0.0,0.0,0.1517265251512043,0.0,?,0.0,0.14657773650337091,42.0,207992.0
43.0,1.443427167,7.766595630899692E-8,43.0,0.0,0.0,0.15426648657462932,0.0,?,0.0,0.26094486635847997,43.0,207992.0
44.0,1.464235865,7.878562405450682E-8,44.0,0.0,0.0,0.15347332259833626,0.0,?,0.0,0.11936727161773372,44.0,207992.0
45.0,1.482828738,7.978606339936453E-8,45.0,0.0,0.0,0.15639005978436385,0.0,?,0.0,0.2847264959695786,45.0,207992.0
46.0,1.505903593,8.102766779363361E-8,46.0,0.0,0.0,0.15318573369088845,0.0,?,0.0,0.008991059484494829,46.0,207992.0
47.0,1.535150919,8.260139852703237E-8,47.0,0.0,0.0,0.15293210070618224,0.0,?,0.0,0.14126498340969623,47.0,207992.0
48.0,1.557677406,8.381349651190141E-8,48.0,0.0,0.0,0.15197588729852526,0.0,?,0.0,0.10703385713864765,48.0,207992.0
49.0,1.577179161,8.486284068780019E-8,49.0,0.0,0.0,0.15151195932413822,0.0,?,0.0,0.12924341655356025,49.0,207992.0
50.0,1.596784305,8.591774798583859E-8,50.0,0.0,0.0,0.15220311120033428,0.0,?,0.0,0.18606955313394197,50.0,207992.0
51.0,1.616138871,8.695917226325099E-8,51.0,0.0,0.0,0.14997195097661029,0.0,?,0.0,0.0384139397904093,51.0,207992.0
52.0,1.635274457,8.798881373508315E-8,52.0,0.0,0.0,0.1495254582687599,0.0,?,0.0,0.12675433016839008,52.0,207992.0
53.0,1.654513675,8.902403140432097E-8,53.0,0.0,0.0,0.1476750175402827,0.0,?,0.0,0.05145209965946895,53.0,207992.0
54.0,1.673863659,9.00652091349475E-8,54.0,0.0,0.0,0.15000901191703164,0.0,?,0.0,0.2737107138847258,54.0,207992.0
55.0,1.693092857,9.109988765124024E-8,55.0,0.0,0.0,0.14941176322399136,0.0,?,0.0,0.11716033379981625,55.0,207992.0
56.0,1.712109087,9.21231068537198E-8,56.0,0.0,0.0,0.15163887511274732,0.0,?,0.0,0.27413002899432554,56.0,207992.0
57.0,1.731340394,9.315789885040786E-8,57.0,0.0,0.0,0.15154409593496918,0.0,?,0.0,0.1462364619793938,57.0,207992.0
58.0,1.749925624,9.415792694317383E-8,58.0,0.0,0.0,0.15441493743030352,0.0,?,0.0,0.3180529026643615,58.0,207992.0
59.0,1.764769195,9.495662504897969E-8,59.0,0.0,0.0,0.1562114724227052,0.0,?,0.0,0.2604105019820034,59.0,207992.0
60.0,1.778514242,9.569621412785516E-8,60.0,0.0,0.0,0.1549546529936214,0.0,?,0.0,0.08080230667767761,60.0,207992.0
61.0,1.791620146,9.640141240525576E-8,61.0,0.0,0.0,0.15274059421916172,0.0,?,0.0,0.01989706775158112,61.0,207992.0
62.0,1.805001104,9.712141070003724E-8,62.0,0.0,0.0,0.15250500753562768,0.0,?,0.0,0.1381342198400503,62.0,207992.0
