learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,5.46936E-4,3.292592525482178E-11,1.0,0.0,0.0,0.12947810940284404,0.0,?,0.0,0.12947810940284404,1.0,247360.0
2.0,0.095281349,6.102052473324454E-9,2.0,0.0,0.0,0.07048680831545832,0.0,?,0.0,0.14097361663091665,2.0,247640.0
3.0,0.158373111,1.0144003814899673E-8,3.0,0.0,0.0,0.0657551237904563,0.0,?,0.0,0.0789341082764281,3.0,247640.0
4.0,0.220193614,1.4104512399803433E-8,4.0,0.0,0.0,0.07669632603634205,0.0,?,0.0,0.006942011996063591,4.0,247640.0
5.0,0.274189031,1.7563709627201574E-8,5.0,0.0,0.0,0.07087092021240624,0.0,?,0.0,0.041512664659900056,5.0,247640.0
6.0,0.305469342,1.9567671650188666E-8,6.0,0.0,0.0,0.06782353973723433,0.0,?,0.0,0.026981464831855734,6.0,247640.0
7.0,0.329221415,2.1089339777440247E-8,7.0,0.0,0.0,0.07054598222757341,0.0,?,0.0,0.15768429980260928,7.0,247640.0
8.0,0.351399563,2.251017495814504E-8,8.0,0.0,0.0,0.08240269462052194,0.0,?,0.0,0.2486148635998212,8.0,247640.0
9.0,0.377719897,2.4196377814898474E-8,9.0,0.0,0.0,0.07960618290208131,0.0,?,0.0,0.046656053245498486,9.0,247640.0
10.0,0.394035559,2.52416349105806E-8,10.0,0.0,0.0,0.08122432883781022,0.0,?,0.0,0.0017431569012892612,10.0,247640.0
11.0,0.409405752,2.6226320870320003E-8,11.0,0.0,0.0,0.09009582651294523,0.0,?,0.0,0.2667628381990179,11.0,247640.0
12.0,0.424586862,2.719889329476903E-8,12.0,0.0,0.0,0.09639576385513614,0.0,?,0.0,0.2699026371234401,12.0,247640.0
13.0,0.439848377,2.8176616837007718E-8,13.0,0.0,0.0,0.08939411479660432,0.0,?,0.0,0.11264115929491783,13.0,247640.0
14.0,0.455035245,2.914955814568326E-8,14.0,0.0,0.0,0.08615552812375528,0.0,?,0.0,0.16165597706630258,14.0,247640.0
15.0,0.470334538,3.0129701922084725E-8,15.0,0.0,0.0,0.08085450905624657,0.0,?,0.0,0.1273890250419037,15.0,247640.0
16.0,0.485676852,3.111260182358325E-8,16.0,0.0,0.0,0.08097632960995213,0.0,?,0.0,0.03838782782265185,16.0,247640.0
17.0,0.501005884,3.209465081846549E-8,17.0,0.0,0.0,0.08176442292670219,0.0,?,0.0,0.21039015436316952,17.0,247640.0
18.0,0.515101778,3.299769926501231E-8,18.0,0.0,0.0,0.08489458237042778,0.0,?,0.0,0.25967493810544695,18.0,247640.0
19.0,0.525834889,3.368531221209922E-8,19.0,0.0,0.0,0.09402248293043362,0.0,?,0.0,0.3875649655863208,19.0,247640.0
20.0,0.536739109,3.438388719654539E-8,20.0,0.0,0.0,0.09033730577331228,0.0,?,0.0,0.12251736926201406,20.0,247640.0
21.0,0.548083565,3.511066574409398E-8,21.0,0.0,0.0,0.09203203177778416,0.0,?,0.0,0.2677469139278424,21.0,247640.0
22.0,0.564746362,3.6178161920354604E-8,22.0,0.0,0.0,0.08936977606313606,0.0,?,0.0,0.11435445847496202,22.0,247640.0
23.0,0.578493502,3.70588675656625E-8,23.0,0.0,0.0,0.09000156575106821,0.0,?,0.0,0.04239490718784339,23.0,247640.0
24.0,0.589156859,3.774201174749476E-8,24.0,0.0,0.0,0.0891312646528082,0.0,?,0.0,0.0726640745551313,24.0,247640.0
25.0,0.599607404,3.841152220407294E-8,25.0,0.0,0.0,0.08789685347998953,0.0,?,0.0,0.08062766447425017,25.0,247640.0
26.0,0.610017712,3.907845489152604E-8,26.0,0.0,0.0,0.09256251777624781,0.0,?,0.0,0.34577193557600266,26.0,247640.0
27.0,0.620487857,3.974922101514828E-8,27.0,0.0,0.0,0.09602191885285843,0.0,?,0.0,0.3305804697450596,27.0,247640.0
28.0,0.631295786,4.0441627150852646E-8,28.0,0.0,0.0,0.09666736876849488,0.0,?,0.0,0.037407248885377054,28.0,247640.0
29.0,0.642389657,4.115235205930761E-8,29.0,0.0,0.0,0.09563311342683231,0.0,?,0.0,0.21410092507595432,29.0,247640.0
30.0,0.653163469,4.184257250151493E-8,30.0,0.0,0.0,0.09546175674354365,0.0,?,0.0,0.05923365048958018,30.0,247640.0
31.0,0.664241743,4.2552298193700194E-8,31.0,0.0,0.0,0.0925139596223283,0.0,?,0.0,0.1426296036676124,31.0,247640.0
32.0,0.674947023,4.3238128157649184E-8,32.0,0.0,0.0,0.09497591606171915,0.0,?,0.0,0.3178746009496749,32.0,247640.0
33.0,0.685694122,4.392663724099182E-8,33.0,0.0,0.0,0.09563475275178335,0.0,?,0.0,0.26864857977826584,33.0,247640.0
34.0,0.69646249,4.461650891527119E-8,34.0,0.0,0.0,0.09563293256722964,0.0,?,0.0,0.2510408141739263,34.0,247640.0
35.0,0.707027487,4.529335169861093E-8,35.0,0.0,0.0,0.09553393616447292,0.0,?,0.0,0.0661108558873113,35.0,247640.0
36.0,0.717799667,4.598346758731744E-8,36.0,0.0,0.0,0.09702547544957431,0.0,?,0.0,0.0064161908307684146,36.0,247640.0
37.0,0.728370717,4.6660698153953995E-8,37.0,0.0,0.0,0.09670855829044972,0.0,?,0.0,0.23679982208674158,37.0,247640.0
38.0,0.739008942,4.7342232263125474E-8,38.0,0.0,0.0,0.09731926773594175,0.0,?,0.0,0.033890157293790774,38.0,247640.0
39.0,0.749980002,4.8045089328450455E-8,39.0,0.0,0.0,0.1011620274897502,0.0,?,0.0,0.39783690114164205,39.0,247640.0
40.0,0.760634257,4.8727650393882965E-8,40.0,0.0,0.0,0.10053160087387063,0.0,?,0.0,0.08104316574579506,40.0,247640.0
41.0,0.771425267,4.9418972619856803E-8,41.0,0.0,0.0,0.10131700977552581,0.0,?,0.0,0.02235613868726563,41.0,247640.0
42.0,0.782372557,5.012030686856764E-8,42.0,0.0,0.0,0.09903028022988843,0.0,?,0.0,0.14657773650337091,42.0,247640.0
43.0,0.793100818,5.080760910212579E-8,43.0,0.0,0.0,0.09926721188052536,0.0,?,0.0,0.26094486635847997,43.0,247640.0
44.0,0.803772798,5.149130571339278E-8,44.0,0.0,0.0,0.09780430285953376,0.0,?,0.0,0.11936727161773372,44.0,247640.0
45.0,0.814242392,5.216203653739557E-8,45.0,0.0,0.0,0.09854761109312729,0.0,?,0.0,0.2847264959695786,45.0,247640.0
46.0,0.824724119,5.283354465773742E-8,46.0,0.0,0.0,0.09960959781501297,0.0,?,0.0,0.008991059484494829,46.0,247640.0
47.0,0.835237202,5.350706158909117E-8,47.0,0.0,0.0,0.0977438776547189,0.0,?,0.0,0.14126498340969623,47.0,247640.0
48.0,0.84629612,5.421554724600578E-8,48.0,0.0,0.0,0.09666376027790256,0.0,?,0.0,0.10703385713864765,48.0,247640.0
49.0,0.857340918,5.4923128310131514E-8,49.0,0.0,0.0,0.09515495845069975,0.0,?,0.0,0.12924341655356025,49.0,247640.0
50.0,0.868093403,5.561198244565268E-8,50.0,0.0,0.0,0.09394301115788183,0.0,?,0.0,0.18606955313394197,50.0,247640.0
51.0,0.878751153,5.6294767417019834E-8,51.0,0.0,0.0,0.09433215155498072,0.0,?,0.0,0.0384139397904093,51.0,247640.0
52.0,0.889283792,5.6969537196573267E-8,52.0,0.0,0.0,0.09296456442523533,0.0,?,0.0,0.12675433016839008,52.0,247640.0
53.0,0.900132111,5.766453090329342E-8,53.0,0.0,0.0,0.09306095676833072,0.0,?,0.0,0.05145209965946895,53.0,247640.0
