learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,7.74701E-4,4.7323759057455593E-11,1.0,0.0,0.0,0.12947810940284404,0.0,?,0.0,0.12947810940284404,1.0,250512.0
2.0,0.101451795,6.579260640926659E-9,2.0,0.0,0.0,0.07048680831545832,0.0,?,0.0,0.14097361663091665,2.0,250792.0
3.0,0.175390034,1.1376378745115879E-8,3.0,0.0,0.0,0.0657551237904563,0.0,?,0.0,0.0789341082764281,3.0,250792.0
4.0,0.243738601,1.581083854001429E-8,4.0,0.0,0.0,0.07669632603634205,0.0,?,0.0,0.006942011996063591,4.0,250792.0
5.0,0.295613604,1.917649235341077E-8,5.0,0.0,0.0,0.07087092021240624,0.0,?,0.0,0.041512664659900056,5.0,250792.0
6.0,0.329614695,2.1382485509378213E-8,6.0,0.0,0.0,0.06782353973723433,0.0,?,0.0,0.026981464831855734,6.0,250792.0
7.0,0.365205134,2.3691595674457235E-8,7.0,0.0,0.0,0.07054598222757341,0.0,?,0.0,0.15768429980260928,7.0,250792.0
8.0,0.39401537,2.556080579591501E-8,8.0,0.0,0.0,0.08240269462052194,0.0,?,0.0,0.2486148635998212,8.0,250792.0
9.0,0.419313758,2.7202166974149227E-8,9.0,0.0,0.0,0.07960618290208131,0.0,?,0.0,0.046656053245498486,9.0,250792.0
10.0,0.441651179,2.8651420406868886E-8,10.0,0.0,0.0,0.08122432883781022,0.0,?,0.0,0.0017431569012892612,10.0,250792.0
11.0,0.461232672,2.992186903869733E-8,11.0,0.0,0.0,0.09009582651294523,0.0,?,0.0,0.2667628381990179,11.0,250792.0
12.0,0.478739083,3.10576862056098E-8,12.0,0.0,0.0,0.09639576385513614,0.0,?,0.0,0.2699026371234401,12.0,250792.0
13.0,0.501523312,3.2535928572538406E-8,13.0,0.0,0.0,0.08939411479660432,0.0,?,0.0,0.11264115929491783,13.0,250792.0
14.0,0.521096551,3.380584168427106E-8,14.0,0.0,0.0,0.08615552812375528,0.0,?,0.0,0.16165597706630258,14.0,250792.0
15.0,0.537933318,3.489821230174973E-8,15.0,0.0,0.0,0.08085450905624657,0.0,?,0.0,0.1273890250419037,15.0,250792.0
16.0,0.558671877,3.6243731456374126E-8,16.0,0.0,0.0,0.08097632960995213,0.0,?,0.0,0.03838782782265185,16.0,250792.0
17.0,0.57929486,3.7581752032056034E-8,17.0,0.0,0.0,0.08176442292670219,0.0,?,0.0,0.21039015436316952,17.0,250792.0
18.0,0.598083812,3.880078054851749E-8,18.0,0.0,0.0,0.08489458237042778,0.0,?,0.0,0.25967493810544695,18.0,250792.0
19.0,0.616034216,3.9965404012242535E-8,19.0,0.0,0.0,0.09402248293043362,0.0,?,0.0,0.3875649655863208,19.0,250792.0
20.0,0.63722995,4.1340584712759073E-8,20.0,0.0,0.0,0.09033730577331228,0.0,?,0.0,0.12251736926201406,20.0,250792.0
21.0,0.649951353,4.2165950226833424E-8,21.0,0.0,0.0,0.09203203177778416,0.0,?,0.0,0.2677469139278424,21.0,250792.0
22.0,0.662673192,4.299134402861819E-8,22.0,0.0,0.0,0.08936977606313606,0.0,?,0.0,0.11435445847496202,22.0,250792.0
23.0,0.67557246,4.382824943630025E-8,23.0,0.0,0.0,0.09000156575106821,0.0,?,0.0,0.04239490718784339,23.0,250792.0
24.0,0.693493773,4.4990985473915934E-8,24.0,0.0,0.0,0.0891312646528082,0.0,?,0.0,0.0726640745551313,24.0,250792.0
25.0,0.705543769,4.5772790054993497E-8,25.0,0.0,0.0,0.08789685347998953,0.0,?,0.0,0.08062766447425017,25.0,250792.0
26.0,0.718876258,4.663780287137669E-8,26.0,0.0,0.0,0.09256251777624781,0.0,?,0.0,0.34577193557600266,26.0,250792.0
27.0,0.731439859,4.74529301806829E-8,27.0,0.0,0.0,0.09602191885285843,0.0,?,0.0,0.3305804697450596,27.0,250792.0
28.0,0.747372514,4.848664194853148E-8,28.0,0.0,0.0,0.09666736876849488,0.0,?,0.0,0.037407248885377054,28.0,250792.0
29.0,0.765867217,4.968657956934637E-8,29.0,0.0,0.0,0.09563311342683231,0.0,?,0.0,0.21410092507595432,29.0,250792.0
30.0,0.779146832,5.054816191692112E-8,30.0,0.0,0.0,0.09546175674354365,0.0,?,0.0,0.05923365048958018,30.0,250792.0
31.0,0.791824348,5.1370680039373944E-8,31.0,0.0,0.0,0.0925139596223283,0.0,?,0.0,0.1426296036676124,31.0,250792.0
32.0,0.80562351,5.2265970632551854E-8,32.0,0.0,0.0,0.09497591606171915,0.0,?,0.0,0.3178746009496749,32.0,250792.0
33.0,0.824024318,5.345981633921671E-8,33.0,0.0,0.0,0.09563475275178335,0.0,?,0.0,0.26864857977826584,33.0,250792.0
34.0,0.840752782,5.4545160250500254E-8,34.0,0.0,0.0,0.09563293256722964,0.0,?,0.0,0.2510408141739263,34.0,250792.0
