learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,5.35124E-4,3.2448516281114686E-11,1.0,0.0,0.0,0.12947810940284404,0.0,?,0.0,0.12947810940284404,1.0,248776.0
2.0,0.101450521,6.534524960401985E-9,2.0,0.0,0.0,0.07048680831545832,0.0,?,0.0,0.14097361663091665,2.0,249056.0
3.0,0.16138189,1.0395960917878482E-8,3.0,0.0,0.0,0.0657551237904563,0.0,?,0.0,0.0789341082764281,3.0,249056.0
4.0,0.204395049,1.3167340273608764E-8,4.0,0.0,0.0,0.07669632603634205,0.0,?,0.0,0.006942011996063591,4.0,249056.0
5.0,0.23912999,1.5405346052489347E-8,5.0,0.0,0.0,0.07087092021240624,0.0,?,0.0,0.041512664659900056,5.0,249056.0
6.0,0.277378314,1.7869722489590448E-8,6.0,0.0,0.0,0.06782353973723433,0.0,?,0.0,0.026981464831855734,6.0,249056.0
7.0,0.327315584,2.108722900101708E-8,7.0,0.0,0.0,0.07054598222757341,0.0,?,0.0,0.15768429980260928,7.0,249056.0
8.0,0.378262822,2.436980872562362E-8,8.0,0.0,0.0,0.08240269462052194,0.0,?,0.0,0.2486148635998212,8.0,249056.0
9.0,0.406272036,2.617446942143142E-8,9.0,0.0,0.0,0.07960618290208131,0.0,?,0.0,0.046656053245498486,9.0,249056.0
10.0,0.437107711,2.8161241727901827E-8,10.0,0.0,0.0,0.08122432883781022,0.0,?,0.0,0.0017431569012892612,10.0,249056.0
11.0,0.4675314,3.012146937869489E-8,11.0,0.0,0.0,0.09009582651294523,0.0,?,0.0,0.2667628381990179,11.0,249056.0
12.0,0.492711589,3.174385326284501E-8,12.0,0.0,0.0,0.09639576385513614,0.0,?,0.0,0.2699026371234401,12.0,249056.0
13.0,0.513459036,3.3080631300931174E-8,13.0,0.0,0.0,0.08939411479660432,0.0,?,0.0,0.11264115929491783,13.0,249056.0
14.0,0.532931997,3.433529297575354E-8,14.0,0.0,0.0,0.08615552812375528,0.0,?,0.0,0.16165597706630258,14.0,249056.0
15.0,0.547679954,3.52855180817263E-8,15.0,0.0,0.0,0.08085450905624657,0.0,?,0.0,0.1273890250419037,15.0,249056.0
16.0,0.560829022,3.6132725225993325E-8,16.0,0.0,0.0,0.08097632960995213,0.0,?,0.0,0.03838782782265185,16.0,249056.0
17.0,0.578157649,3.72492253912323E-8,17.0,0.0,0.0,0.08176442292670219,0.0,?,0.0,0.21039015436316952,17.0,249056.0
18.0,0.593758827,3.825442434986432E-8,18.0,0.0,0.0,0.08489458237042778,0.0,?,0.0,0.25967493810544695,18.0,249056.0
19.0,0.610379632,3.932531886037025E-8,19.0,0.0,0.0,0.09402248293043362,0.0,?,0.0,0.3875649655863208,19.0,249056.0
20.0,0.629275639,4.0542806832028757E-8,20.0,0.0,0.0,0.09033730577331228,0.0,?,0.0,0.12251736926201406,20.0,249056.0
21.0,0.650288977,4.189671648391419E-8,21.0,0.0,0.0,0.09203203177778417,0.0,?,0.0,0.2677469139278424,21.0,249056.0
22.0,0.666807012,4.296098942411442E-8,22.0,0.0,0.0,0.08936977606313608,0.0,?,0.0,0.11435445847496202,22.0,249056.0
23.0,0.683662696,4.404701741532319E-8,23.0,0.0,0.0,0.09000156575106823,0.0,?,0.0,0.04239490718784339,23.0,249056.0
24.0,0.701987588,4.522770789622432E-8,24.0,0.0,0.0,0.08913126465280823,0.0,?,0.0,0.0726640745551313,24.0,249056.0
25.0,0.715977031,4.612906121297015E-8,25.0,0.0,0.0,0.08789685347998955,0.0,?,0.0,0.08062766447425017,25.0,249056.0
26.0,0.730926611,4.7092277083463134E-8,26.0,0.0,0.0,0.09256251777624783,0.0,?,0.0,0.34577193557600266,26.0,249056.0
27.0,0.743502472,4.790255194739334E-8,27.0,0.0,0.0,0.09602191885285845,0.0,?,0.0,0.3305804697450596,27.0,249056.0
28.0,0.757527703,4.8806211119525956E-8,28.0,0.0,0.0,0.0966673687684949,0.0,?,0.0,0.037407248885377054,28.0,249056.0
29.0,0.773869938,4.985915709602335E-8,29.0,0.0,0.0,0.09563311342683231,0.0,?,0.0,0.21410092507595432,29.0,249056.0
30.0,0.786908407,5.069923823995722E-8,30.0,0.0,0.0,0.09546175674354365,0.0,?,0.0,0.05923365048958018,30.0,249056.0
31.0,0.799015341,5.1479299684613936E-8,31.0,0.0,0.0,0.0925139596223283,0.0,?,0.0,0.1426296036676124,31.0,249056.0
32.0,0.813525876,5.241422746193905E-8,32.0,0.0,0.0,0.09497591606171915,0.0,?,0.0,0.3178746009496749,32.0,249056.0
33.0,0.830639837,5.351689648957716E-8,33.0,0.0,0.0,0.09563475275178335,0.0,?,0.0,0.26864857977826584,33.0,249056.0
34.0,0.846840103,5.456069526635938E-8,34.0,0.0,0.0,0.09563293256722964,0.0,?,0.0,0.2510408141739263,34.0,249056.0
