learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,9.485E-5,0.0,1.0,0.0,0.0,0.12947810940284404,0.0,?,0.0,0.12947810940284404,1.0,0.0
2.0,0.118753465,0.0,2.0,0.0,0.0,0.07022586301688034,0.0,?,0.0,0.14097361663091665,2.0,0.0
3.0,0.231889111,0.0,3.0,0.0,0.0,0.0671725392524442,0.0,?,0.0,0.0789341082764281,3.0,0.0
4.0,0.341104228,0.0,4.0,0.0,0.0,0.06864390144031725,0.0,?,0.0,0.006942011996063591,4.0,0.0
5.0,0.449445177,0.0,5.0,0.0,0.0,0.06121765408423381,0.0,?,0.0,0.041512664659900056,5.0,0.0
6.0,0.566995304,0.0,6.0,0.0,0.0,0.05318446759821888,0.0,?,0.0,0.026981464831855734,6.0,0.0
7.0,0.736898352,0.0,7.0,0.0,0.0,0.06382730077027465,0.0,?,0.0,0.15768429980260928,7.0,0.0
8.0,0.847029492,0.0,8.0,0.0,0.0,0.06692574612396797,0.0,?,0.0,0.2486148635998212,8.0,0.0
9.0,0.958508125,0.0,9.0,0.0,0.0,0.08208332397180503,0.0,?,0.0,0.046656053245498486,9.0,0.0
10.0,1.069186017,0.0,10.0,0.0,0.0,0.0787006758844956,0.0,?,0.0,0.0017431569012892612,10.0,0.0
11.0,1.180508261,0.0,11.0,0.0,0.0,0.0957972360949067,0.0,?,0.0,0.2667628381990179,11.0,0.0
12.0,1.303766919,0.0,12.0,0.0,0.0,0.08782224666004447,0.0,?,0.0,0.2699026371234401,12.0,0.0
13.0,1.411048889,0.0,13.0,0.0,0.0,0.09317121543273968,0.0,?,0.0,0.11264115929491783,13.0,0.0
14.0,1.519595372,0.0,14.0,0.0,0.0,0.09020584126370845,0.0,?,0.0,0.16165597706630258,14.0,0.0
15.0,1.630886548,0.0,15.0,0.0,0.0,0.08636618351000097,0.0,?,0.0,0.1273890250419037,15.0,0.0
16.0,1.740514699,0.0,16.0,0.0,0.0,0.08669405780171018,0.0,?,0.0,0.03838782782265185,16.0,0.0
17.0,1.849038585,0.0,17.0,0.0,0.0,0.09161735759944308,0.0,?,0.0,0.21039015436316952,17.0,0.0
18.0,1.958605305,0.0,18.0,0.0,0.0,0.08928722318310994,0.0,?,0.0,0.25967493810544695,18.0,0.0
19.0,2.072378434,0.0,19.0,0.0,0.0,0.09130184120433157,0.0,?,0.0,0.3875649655863208,19.0,0.0
20.0,2.182187827,0.0,20.0,0.0,0.0,0.1001108806810143,0.0,?,0.0,0.12251736926201406,20.0,0.0
21.0,2.293799792,0.0,21.0,0.0,0.0,0.10237926321657755,0.0,?,0.0,0.2677469139278424,21.0,0.0
22.0,2.406348225,0.0,22.0,0.0,0.0,0.10480045768514393,0.0,?,0.0,0.11435445847496202,22.0,0.0
23.0,2.515998221,0.0,23.0,0.0,0.0,0.10318326790805753,0.0,?,0.0,0.04239490718784339,23.0,0.0
24.0,2.628723183,0.0,24.0,0.0,0.0,0.10024496818501893,0.0,?,0.0,0.0726640745551313,24.0,0.0
25.0,2.745722405,0.0,25.0,0.0,0.0,0.09666027603658818,0.0,?,0.0,0.08062766447425017,25.0,0.0
26.0,2.875785786,0.0,26.0,0.0,0.0,0.10316457063425796,0.0,?,0.0,0.34577193557600266,26.0,0.0
