learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.004627452,2.589525336772203E-10,1.0,0.0,0.0,0.12947810940284404,0.0,?,0.0,0.12947810940284404,1.0,233040.0
2.0,0.171338776,1.0321656529870297E-8,2.0,0.0,0.0,0.07048680831545832,0.0,?,0.0,0.14097361663091665,2.0,233320.0
3.0,0.246617146,1.4865462772005961E-8,3.0,0.0,0.0,0.0657551237904563,0.0,?,0.0,0.0789341082764281,3.0,233320.0
4.0,0.322031294,1.9417464581127795E-8,4.0,0.0,0.0,0.07669632603634205,0.0,?,0.0,0.006942011996063591,4.0,233320.0
5.0,0.404749155,2.4410318878423423E-8,5.0,0.0,0.0,0.07087092021240624,0.0,?,0.0,0.041512664659900056,5.0,233320.0
6.0,0.455934444,2.7499865525936086E-8,6.0,0.0,0.0,0.06782353973723433,0.0,?,0.0,0.026981464831855734,6.0,233320.0
7.0,0.503512862,3.037170125642998E-8,7.0,0.0,0.0,0.07054598222757341,0.0,?,0.0,0.15768429980260928,7.0,233320.0
8.0,0.531647822,3.206992887307786E-8,8.0,0.0,0.0,0.08240269462052194,0.0,?,0.0,0.2486148635998212,8.0,233320.0
9.0,0.558624353,3.3698233656363766E-8,9.0,0.0,0.0,0.07960618290208131,0.0,?,0.0,0.046656053245498486,9.0,233320.0
10.0,0.592247987,3.572775791482586E-8,10.0,0.0,0.0,0.08122432883781022,0.0,?,0.0,0.0017431569012892612,10.0,233320.0
11.0,0.622670558,3.756406584779007E-8,11.0,0.0,0.0,0.09009582651294523,0.0,?,0.0,0.2667628381990179,11.0,233320.0
12.0,0.651494732,3.9303894456533916E-8,12.0,0.0,0.0,0.09639576385513614,0.0,?,0.0,0.2699026371234401,12.0,233320.0
13.0,0.684239146,4.1280348951075634E-8,13.0,0.0,0.0,0.08939411479660432,0.0,?,0.0,0.11264115929491783,13.0,233320.0
14.0,0.725835766,4.379112305003321E-8,14.0,0.0,0.0,0.08615552812375528,0.0,?,0.0,0.16165597706630258,14.0,233320.0
