learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.00103902,6.139067721863589E-11,1.0,0.0,0.0,0.27694545883650357,0.0,?,0.0,0.27694545883650357,1.0,245712.0
2.0,0.102267762,6.5034163696443045E-9,2.0,0.0,0.0,0.16608042948895865,0.0,?,0.0,0.22173005869508983,2.0,245992.0
3.0,0.163014895,1.0369261027944999E-8,3.0,0.0,0.0,0.1457605084938318,0.0,?,0.0,0.3544584252693747,3.0,245992.0
4.0,0.216842725,1.3794772962366956E-8,4.0,0.0,0.0,0.14482778077813105,0.0,?,0.0,0.14234838330262717,4.0,245992.0
5.0,0.250492131,1.5936164169094217E-8,5.0,0.0,0.0,0.14151339825616643,0.0,?,0.0,0.3771264496942067,5.0,245992.0
6.0,0.279862285,1.7806507503611764E-8,6.0,0.0,0.0,0.1275851108254551,0.0,?,0.0,0.21657808148766192,6.0,246160.0
7.0,0.309811612,1.9713733598774097E-8,7.0,0.0,0.0,0.1133984702357528,0.0,?,0.0,0.23658584951670503,7.0,246160.0
8.0,0.342391692,2.1788490696270023E-8,8.0,0.0,0.0,0.10319701241748519,0.0,?,0.0,0.2926114800899218,8.0,246160.0
9.0,0.374644763,2.3842423282478836E-8,9.0,0.0,0.0,0.0974628333713626,0.0,?,0.0,0.31638742436389333,9.0,246160.0
10.0,0.406473106,2.58693084387088E-8,10.0,0.0,0.0,0.08970919767709293,0.0,?,0.0,0.2904566554571086,10.0,246160.0
11.0,0.438565459,2.7913006218520718E-8,11.0,0.0,0.0,0.08588703819907577,0.0,?,0.0,0.32018827009021333,11.0,246160.0
12.0,0.457854809,2.9141386130988186E-8,12.0,0.0,0.0,0.08150659035791358,0.0,?,0.0,0.31017771290543006,12.0,246160.0
13.0,0.477156145,3.037052933312746E-8,13.0,0.0,0.0,0.07853134581585446,0.0,?,0.0,0.23680444283124952,13.0,246160.0
14.0,0.496772687,3.1619745410645586E-8,14.0,0.0,0.0,0.07484319650105073,0.0,?,0.0,0.24944110555601218,14.0,246160.0
15.0,0.51613707,3.285290355721488E-8,15.0,0.0,0.0,0.07898367324874574,0.0,?,0.0,0.1374667807189524,15.0,246160.0
16.0,0.534158391,3.400131637863814E-8,16.0,0.0,0.0,0.07765475362484507,0.0,?,0.0,0.20756614598799505,16.0,246328.0
17.0,0.545341193,3.4713943005522914E-8,17.0,0.0,0.0,0.07965266362454017,0.0,?,0.0,0.373298768919846,17.0,246328.0
18.0,0.555995917,3.539291774052298E-8,18.0,0.0,0.0,0.0792690109185125,0.0,?,0.0,0.34099229689973565,18.0,246328.0
19.0,0.566936893,3.609013394999421E-8,19.0,0.0,0.0,0.08132169428883021,0.0,?,0.0,0.39055687221135593,19.0,246328.0
20.0,0.579047107,3.686186011966732E-8,20.0,0.0,0.0,0.0815496935763868,0.0,?,0.0,0.3643932938733244,20.0,246328.0
