learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,4.4321E-4,2.7073222626414564E-11,1.0,0.0,0.0,0.27694545883650357,0.0,?,0.0,0.27694545883650357,1.0,248080.0
2.0,0.080742007,5.1863439712569955E-9,2.0,0.0,0.0,0.16608042948895865,0.0,?,0.0,0.22173005869508983,2.0,248360.0
3.0,0.130394694,8.376574276077251E-9,3.0,0.0,0.0,0.1457605084938318,0.0,?,0.0,0.3544584252693747,3.0,248360.0
4.0,0.165652753,1.0641936638257985E-8,4.0,0.0,0.0,0.14482778077813105,0.0,?,0.0,0.14234838330262717,4.0,248360.0
5.0,0.201909688,1.2971477692036166E-8,5.0,0.0,0.0,0.14151339825616643,0.0,?,0.0,0.3771264496942067,5.0,248360.0
6.0,0.233376987,1.4993280276066312E-8,6.0,0.0,0.0,0.1275851108254551,0.0,?,0.0,0.21657808148766192,6.0,248360.0
7.0,0.264962835,1.7022699741180986E-8,7.0,0.0,0.0,0.1133984702357528,0.0,?,0.0,0.23658584951670503,7.0,248360.0
8.0,0.28831931,1.8523374505444534E-8,8.0,0.0,0.0,0.10319701241748519,0.0,?,0.0,0.2926114800899218,8.0,248360.0
9.0,0.310682538,1.9960232246480883E-8,9.0,0.0,0.0,0.09746283337136262,0.0,?,0.0,0.31638742436389333,9.0,248360.0
10.0,0.331790053,2.1316409285045746E-8,10.0,0.0,0.0,0.08970919767709296,0.0,?,0.0,0.2904566554571086,10.0,248360.0
11.0,0.353347822,2.270151555267059E-8,11.0,0.0,0.0,0.08588703819907578,0.0,?,0.0,0.32018827009021333,11.0,248360.0
12.0,0.374407463,2.4054616643188314E-8,12.0,0.0,0.0,0.08150659035791359,0.0,?,0.0,0.31017771290543006,12.0,248360.0
13.0,0.393682468,2.5293053247365686E-8,13.0,0.0,0.0,0.0785313458158545,0.0,?,0.0,0.23680444283124952,13.0,248360.0
14.0,0.410989446,2.640504232663661E-8,14.0,0.0,0.0,0.07484319650105076,0.0,?,0.0,0.24944110555601218,14.0,248360.0
15.0,0.427904097,2.7491824039289106E-8,15.0,0.0,0.0,0.07898367324874576,0.0,?,0.0,0.1374667807189524,15.0,248360.0
16.0,0.444760764,2.8574880227198202E-8,16.0,0.0,0.0,0.0776547536248451,0.0,?,0.0,0.20756614598799505,16.0,248360.0
17.0,0.45901811,2.949092767646329E-8,17.0,0.0,0.0,0.0796526636245402,0.0,?,0.0,0.373298768919846,17.0,248360.0
18.0,0.471072489,3.0265432492115844E-8,18.0,0.0,0.0,0.07926901091851252,0.0,?,0.0,0.34099229689973565,18.0,248360.0
19.0,0.483608372,3.1070874377754E-8,19.0,0.0,0.0,0.08132169428883022,0.0,?,0.0,0.39055687221135593,19.0,248360.0
20.0,0.495622702,3.1842806008727186E-8,20.0,0.0,0.0,0.08154969357638683,0.0,?,0.0,0.3643932938733244,20.0,248360.0
21.0,0.507626697,3.261407360654945E-8,21.0,0.0,0.0,0.0809507492940498,0.0,?,0.0,0.35177756148266975,21.0,248360.0
22.0,0.518914155,3.333930305034543E-8,22.0,0.0,0.0,0.077442837722176,0.0,?,0.0,0.28986676700758224,22.0,248360.0
23.0,0.529963686,3.4049245467968284E-8,23.0,0.0,0.0,0.07793935341437008,0.0,?,0.0,0.19739904159360822,23.0,248360.0
24.0,0.540640004,3.4735208610859184E-8,24.0,0.0,0.0,0.07585299337850855,0.0,?,0.0,0.3102648571967833,24.0,248360.0
25.0,0.551366824,3.54244165531877E-8,25.0,0.0,0.0,0.0757053352648272,0.0,?,0.0,0.21139771712968558,25.0,248360.0
26.0,0.56209814,3.611391336760587E-8,26.0,0.0,0.0,0.0754942628119443,0.0,?,0.0,0.21045534455482967,26.0,248360.0
27.0,0.572696593,3.679487361341922E-8,27.0,0.0,0.0,0.07340584098653857,0.0,?,0.0,0.25886525130756294,27.0,248360.0
