learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,4.20903E-4,2.5376980081200597E-11,1.0,0.0,0.0,0.27694545883650357,0.0,?,0.0,0.27694545883650357,1.0,247760.0
2.0,0.096293107,6.177316587865353E-9,2.0,0.0,0.0,0.16608042948895865,0.0,?,0.0,0.22173005869508983,2.0,248040.0
3.0,0.143438009,9.202516570948065E-9,3.0,0.0,0.0,0.1457605084938318,0.0,?,0.0,0.3544584252693747,3.0,248040.0
4.0,0.17964889,1.1526100923474879E-8,4.0,0.0,0.0,0.14482778077813105,0.0,?,0.0,0.14234838330262717,4.0,248040.0
5.0,0.216358201,1.3881668594740332E-8,5.0,0.0,0.0,0.14151339825616643,0.0,?,0.0,0.3771264496942067,5.0,248040.0
6.0,0.235991471,1.514149872593582E-8,6.0,0.0,0.0,0.1275851108254551,0.0,?,0.0,0.21657808148766192,6.0,248040.0
7.0,0.257196513,1.6502186519913377E-8,7.0,0.0,0.0,0.1133984702357528,0.0,?,0.0,0.23658584951670503,7.0,248040.0
8.0,0.281243975,1.804526707686484E-8,8.0,0.0,0.0,0.10319701241748519,0.0,?,0.0,0.2926114800899218,8.0,248040.0
9.0,0.302954942,1.9438419129680846E-8,9.0,0.0,0.0,0.09746283337136262,0.0,?,0.0,0.31638742436389333,9.0,248040.0
10.0,0.323970192,2.0786928326804194E-8,10.0,0.0,0.0,0.08970919767709296,0.0,?,0.0,0.2904566554571086,10.0,248040.0
11.0,0.344954589,2.2133457744754854E-8,11.0,0.0,0.0,0.08588703819907578,0.0,?,0.0,0.32018827009021333,11.0,248040.0
12.0,0.365784201,2.3470054899416868E-8,12.0,0.0,0.0,0.08150659035791359,0.0,?,0.0,0.31017771290543006,12.0,248040.0
13.0,0.386554715,2.4802859846204524E-8,13.0,0.0,0.0,0.0785313458158545,0.0,?,0.0,0.23680444283124952,13.0,248040.0
14.0,0.407483029,2.614579052317888E-8,14.0,0.0,0.0,0.07484319650105076,0.0,?,0.0,0.24944110555601218,14.0,248040.0
15.0,0.426428738,2.73615011539124E-8,15.0,0.0,0.0,0.07898367324874576,0.0,?,0.0,0.1374667807189524,15.0,248040.0
16.0,0.445772338,2.8602743704225875E-8,16.0,0.0,0.0,0.0776547536248451,0.0,?,0.0,0.20756614598799505,16.0,248040.0
17.0,0.47033679,3.017899854032323E-8,17.0,0.0,0.0,0.0796526636245402,0.0,?,0.0,0.373298768919846,17.0,248040.0
18.0,0.493829208,3.168646296428517E-8,18.0,0.0,0.0,0.07926901091851252,0.0,?,0.0,0.34099229689973565,18.0,248040.0
19.0,0.520417504,3.3392584075946363E-8,19.0,0.0,0.0,0.08132169428883022,0.0,?,0.0,0.39055687221135593,19.0,248040.0
20.0,0.545935714,3.50300397749804E-8,20.0,0.0,0.0,0.08154969357638683,0.0,?,0.0,0.3643932938733244,20.0,248040.0
21.0,0.57138086,3.6662807094100864E-8,21.0,0.0,0.0,0.0809507492940498,0.0,?,0.0,0.35177756148266975,21.0,248040.0
22.0,0.597051926,3.831007127610967E-8,22.0,0.0,0.0,0.077442837722176,0.0,?,0.0,0.28986676700758224,22.0,248040.0
23.0,0.622602653,3.9949613530077046E-8,23.0,0.0,0.0,0.07793935341437008,0.0,?,0.0,0.19739904159360822,23.0,248040.0
24.0,0.648095751,4.1585457839146265E-8,24.0,0.0,0.0,0.07585299337850855,0.0,?,0.0,0.3102648571967833,24.0,248040.0
25.0,0.659865073,4.23406731690094E-8,25.0,0.0,0.0,0.0757053352648272,0.0,?,0.0,0.21139771712968558,25.0,248040.0
26.0,0.670538228,4.3025549517367045E-8,26.0,0.0,0.0,0.0754942628119443,0.0,?,0.0,0.21045534455482967,26.0,248040.0
27.0,0.681200411,4.37097218130529E-8,27.0,0.0,0.0,0.07340584098653857,0.0,?,0.0,0.25886525130756294,27.0,248040.0
28.0,0.692296761,4.4421753791235396E-8,28.0,0.0,0.0,0.07446783316780443,0.0,?,0.0,0.3804060849130911,28.0,248040.0
29.0,0.703461595,4.5138180259317166E-8,29.0,0.0,0.0,0.07208080306039438,0.0,?,0.0,0.2861920522633783,29.0,248040.0
30.0,0.714045051,4.581730079099537E-8,30.0,0.0,0.0,0.06970857041697738,0.0,?,0.0,0.28021509466130184,30.0,248040.0
31.0,0.725496501,4.655211887050421E-8,31.0,0.0,0.0,0.07146221451737436,0.0,?,0.0,0.15702692009797292,31.0,248040.0
32.0,0.736221291,4.7240308540016416E-8,32.0,0.0,0.0,0.07447515041833999,0.0,?,0.0,0.1092199866167472,32.0,248040.0
33.0,0.746950197,4.792876232553274E-8,33.0,0.0,0.0,0.07377564020943089,0.0,?,0.0,0.2204587063360483,33.0,248040.0
34.0,0.758042017,4.864050362210721E-8,34.0,0.0,0.0,0.07236813765868495,0.0,?,0.0,0.2962132608134166,34.0,248040.0
35.0,0.768871499,4.9335411181002854E-8,35.0,0.0,0.0,0.07475115453992515,0.0,?,0.0,0.1152813480473752,35.0,248040.0
36.0,0.779373831,5.0009326137676834E-8,36.0,0.0,0.0,0.07506837851950837,0.0,?,0.0,0.18043318078734355,36.0,248040.0
37.0,0.789917177,5.06858728858456E-8,37.0,0.0,0.0,0.07593896167801199,0.0,?,0.0,0.3714907090373814,37.0,248040.0
38.0,0.800534607,5.136717346541583E-8,38.0,0.0,0.0,0.07631183100107379,0.0,?,0.0,0.17700221595250396,38.0,248040.0
39.0,0.811154386,5.2048624775912604E-8,39.0,0.0,0.0,0.07677164989563658,0.0,?,0.0,0.35898371674445606,39.0,248040.0
40.0,0.821874341,5.273650419253855E-8,40.0,0.0,0.0,0.07849228698394144,0.0,?,0.0,0.12155834793757796,40.0,248040.0
41.0,0.832580753,5.3423514580242324E-8,41.0,0.0,0.0,0.078824731303722,0.0,?,0.0,0.17139304893476834,41.0,248040.0
42.0,0.845157598,5.423054714722558E-8,42.0,0.0,0.0,0.08074238427310051,0.0,?,0.0,0.10190250666831487,42.0,248040.0
43.0,0.855669917,5.490510295096784E-8,43.0,0.0,0.0,0.08136548992450585,0.0,?,0.0,0.14993830311627032,43.0,248040.0
44.0,0.866199256,5.5580750896204255E-8,44.0,0.0,0.0,0.08087825703952853,0.0,?,0.0,0.3149006378670822,44.0,248040.0
45.0,0.876751214,5.625785026026889E-8,45.0,0.0,0.0,0.0793638748140981,0.0,?,0.0,0.24360432078154423,45.0,248040.0
46.0,0.8872574,5.6932012520898125E-8,46.0,0.0,0.0,0.07862521970391594,0.0,?,0.0,0.21066672555553725,46.0,248040.0
47.0,0.897686154,5.760120611524208E-8,47.0,0.0,0.0,0.07906737244205637,0.0,?,0.0,0.35447221718156097,47.0,248040.0
48.0,0.908156798,5.827308771235867E-8,48.0,0.0,0.0,0.07938231866912011,0.0,?,0.0,0.16299605719704557,48.0,248040.0
49.0,0.919153549,5.897872860942035E-8,49.0,0.0,0.0,0.08008021863745056,0.0,?,0.0,0.36879808250253315,49.0,248040.0
50.0,0.933350261,5.988970500517635E-8,50.0,0.0,0.0,0.08031324464881688,0.0,?,0.0,0.165805093467563,50.0,248040.0
51.0,0.950600141,6.099659746799617E-8,51.0,0.0,0.0,0.08087679401056626,0.0,?,0.0,0.3647562443872499,51.0,248040.0
52.0,0.961602637,6.170260701093821E-8,52.0,0.0,0.0,0.08155398463991471,0.0,?,0.0,0.37393100789056816,52.0,248040.0
53.0,0.975771405,6.261179029259829E-8,53.0,0.0,0.0,0.0825303104294251,0.0,?,0.0,0.12677356326100686,53.0,248040.0
54.0,0.986380949,6.329258484233169E-8,54.0,0.0,0.0,0.082768032748752,0.0,?,0.0,0.35292505020137144,54.0,248040.0
55.0,1.004665967,6.44659001701325E-8,55.0,0.0,0.0,0.08227264655717095,0.0,?,0.0,0.3148455881414419,55.0,248040.0
56.0,1.021444065,6.55425192664191E-8,56.0,0.0,0.0,0.08111720870525367,0.0,?,0.0,0.2779014099105741,56.0,248040.0
57.0,1.033419219,6.631094244986771E-8,57.0,0.0,0.0,0.08040365912671388,0.0,?,0.0,0.3010918823401446,57.0,248040.0
58.0,1.044017761,6.699103102188556E-8,58.0,0.0,0.0,0.08026328933717271,0.0,?,0.0,0.18909434762444788,58.0,248040.0
59.0,1.054558495,6.76674101629108E-8,59.0,0.0,0.0,0.07941025650793439,0.0,?,0.0,0.23017630635025937,59.0,248040.0
60.0,1.06521636,6.835130538063122E-8,60.0,0.0,0.0,0.0788697487632543,0.0,?,0.0,0.3065830886842097,60.0,248040.0
61.0,1.076076547,6.904818322181699E-8,61.0,0.0,0.0,0.07829360542761096,0.0,?,0.0,0.3041112986765453,61.0,248040.0
62.0,1.086780637,6.97350446111336E-8,62.0,0.0,0.0,0.07749279027646097,0.0,?,0.0,0.2897461628092385,62.0,248040.0
63.0,1.097216235,7.040467737212775E-8,63.0,0.0,0.0,0.07788103118356295,0.0,?,0.0,0.3635170491132049,63.0,248040.0
64.0,1.107806146,7.108421210905535E-8,64.0,0.0,0.0,0.07777983211317199,0.0,?,0.0,0.19177907620798168,64.0,248040.0
65.0,1.118414603,7.176493690803645E-8,65.0,0.0,0.0,0.07684046517898527,0.0,?,0.0,0.24534669345363758,65.0,248040.0
66.0,1.12925838,7.246076175028456E-8,66.0,0.0,0.0,0.07719513809690866,0.0,?,0.0,0.16156155121518825,66.0,248040.0
67.0,1.142059788,7.328220410401E-8,67.0,0.0,0.0,0.07807914891917604,0.0,?,0.0,0.12386764339796219,67.0,248040.0
68.0,1.152830011,7.39733091239631E-8,68.0,0.0,0.0,0.07886277922792137,0.0,?,0.0,0.12688931961040747,68.0,248040.0
