learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,7.70007E-4,4.221953338012099E-11,1.0,0.0,0.0,0.27694545883650357,0.0,?,0.0,0.27694545883650357,1.0,223944.0
2.0,0.089500271,5.189187896837377E-9,2.0,0.0,0.0,0.2493377587657967,0.0,?,0.0,0.22173005869508983,2.0,224224.0
3.0,0.147719397,8.566299450006337E-9,3.0,0.0,0.0,0.284377980933656,0.0,?,0.0,0.3544584252693747,3.0,224224.0
4.0,0.202218933,1.172764908393845E-8,4.0,0.0,0.0,0.2488705815258988,0.0,?,0.0,0.14234838330262717,4.0,224224.0
5.0,0.252767935,1.465984045100502E-8,5.0,0.0,0.0,0.2745217551595604,0.0,?,0.0,0.3771264496942067,5.0,224224.0
6.0,0.283326345,1.6432439363903058E-8,6.0,0.0,0.0,0.26486447621424397,0.0,?,0.0,0.21657808148766192,6.0,224224.0
7.0,0.30904155,1.7924098924330127E-8,7.0,0.0,0.0,0.2608246724003099,0.0,?,0.0,0.23658584951670503,7.0,224224.0
8.0,0.335683171,1.9469497013512174E-8,8.0,0.0,0.0,0.26479802336151137,0.0,?,0.0,0.2926114800899218,8.0,224224.0
9.0,0.361553488,2.0970154141632635E-8,9.0,0.0,0.0,0.2705301790284427,0.0,?,0.0,0.31638742436389333,9.0,224224.0
10.0,0.382396813,2.2179211001468617E-8,10.0,0.0,0.0,0.2725228266713092,0.0,?,0.0,0.2904566554571086,10.0,224224.0
11.0,0.396734706,2.3010907858243835E-8,11.0,0.0,0.0,0.2768560488003005,0.0,?,0.0,0.32018827009021333,11.0,224224.0
12.0,0.411099586,2.3844170147476512E-8,12.0,0.0,0.0,0.27963285414239464,0.0,?,0.0,0.31017771290543006,12.0,224224.0
13.0,0.425360973,2.467142912765965E-8,13.0,0.0,0.0,0.2763383609646143,0.0,?,0.0,0.23680444283124952,13.0,224224.0
14.0,0.439751712,2.550619141755626E-8,14.0,0.0,0.0,0.27441712843542837,0.0,?,0.0,0.24944110555601218,14.0,224224.0
15.0,0.454399841,2.6355884105801172E-8,15.0,0.0,0.0,0.26528710525433,0.0,?,0.0,0.1374667807189524,15.0,224224.0
16.0,0.468834822,2.719321273737277E-8,16.0,0.0,0.0,0.26167954530018406,0.0,?,0.0,0.20756614598799505,16.0,224224.0
17.0,0.483379652,2.8036913369908516E-8,17.0,0.0,0.0,0.2682453819836936,0.0,?,0.0,0.373298768919846,17.0,224224.0
18.0,0.498007715,2.8885442091514256E-8,18.0,0.0,0.0,0.27228687725680706,0.0,?,0.0,0.34099229689973565,18.0,224224.0
19.0,0.509416735,2.9547244078241705E-8,19.0,0.0,0.0,0.27851161383336226,0.0,?,0.0,0.39055687221135593,19.0,224224.0
20.0,0.520437683,3.01865352077182E-8,20.0,0.0,0.0,0.28280569783536036,0.0,?,0.0,0.3643932938733244,20.0,224224.0
21.0,0.531442622,3.082489770458598E-8,21.0,0.0,0.0,0.286090072294756,0.0,?,0.0,0.35177756148266975,21.0,224224.0
22.0,0.541938744,3.143374529995645E-8,22.0,0.0,0.0,0.2862617402362481,0.0,?,0.0,0.28986676700758224,22.0,224224.0
23.0,0.552132889,3.202507614291998E-8,23.0,0.0,0.0,0.2823981446430899,0.0,?,0.0,0.19739904159360822,23.0,224224.0
24.0,0.562191825,3.260856392970309E-8,24.0,0.0,0.0,0.2835592576661604,0.0,?,0.0,0.3102648571967833,24.0,224224.0
25.0,0.572630054,3.3214053331081657E-8,25.0,0.0,0.0,0.2806727960447014,0.0,?,0.0,0.21139771712968558,25.0,224224.0
26.0,0.582929962,3.381151915877851E-8,26.0,0.0,0.0,0.2779721248335525,0.0,?,0.0,0.21045534455482967,26.0,224224.0
27.0,0.592876202,3.43884697989271E-8,27.0,0.0,0.0,0.27726446285110845,0.0,?,0.0,0.25886525130756294,27.0,224224.0
28.0,0.603435599,3.500098778147458E-8,28.0,0.0,0.0,0.28094809221046496,0.0,?,0.0,0.3804060849130911,28.0,224224.0
29.0,0.613835887,3.560427634271276E-8,29.0,0.0,0.0,0.28112891841918614,0.0,?,0.0,0.2861920522633783,29.0,224224.0
30.0,0.623822597,3.6183574522474994E-8,30.0,0.0,0.0,0.28109845762725666,0.0,?,0.0,0.28021509466130184,30.0,224224.0
31.0,0.634163371,3.678341086052152E-8,31.0,0.0,0.0,0.2770961499650217,0.0,?,0.0,0.15702692009797292,31.0,224224.0
32.0,0.644223398,3.7366961932842524E-8,32.0,0.0,0.0,0.2718500198603881,0.0,?,0.0,0.1092199866167472,32.0,224224.0
33.0,0.654629128,3.7970566167680347E-8,33.0,0.0,0.0,0.2702927073293475,0.0,?,0.0,0.2204587063360483,33.0,224224.0
34.0,0.66720087,3.869981406383838E-8,34.0,0.0,0.0,0.2710550765494672,0.0,?,0.0,0.2962132608134166,34.0,224224.0
35.0,0.677172895,3.927826041213962E-8,35.0,0.0,0.0,0.26660439859226454,0.0,?,0.0,0.1152813480473752,35.0,224224.0
36.0,0.686978059,3.984702766957177E-8,36.0,0.0,0.0,0.264210753653239,0.0,?,0.0,0.18043318078734355,36.0,224224.0
37.0,0.696804305,4.041701782866279E-8,37.0,0.0,0.0,0.2671102119068644,0.0,?,0.0,0.3714907090373814,37.0,224224.0
38.0,0.706709062,4.0991562168198754E-8,38.0,0.0,0.0,0.26473894885543386,0.0,?,0.0,0.17700221595250396,38.0,224224.0
39.0,0.716738198,4.1573321349088943E-8,39.0,0.0,0.0,0.2671554813654088,0.0,?,0.0,0.35898371674445606,39.0,224224.0
40.0,0.72700393,4.2168804732658395E-8,40.0,0.0,0.0,0.263515553029713,0.0,?,0.0,0.12155834793757796,40.0,224224.0
41.0,0.738791862,4.285258623334891E-8,41.0,0.0,0.0,0.26126866268593385,0.0,?,0.0,0.17139304893476834,41.0,224224.0
42.0,0.748907124,4.343934131729728E-8,42.0,0.0,0.0,0.2574742303998001,0.0,?,0.0,0.10190250666831487,42.0,224224.0
43.0,0.759219914,4.4037554389997915E-8,43.0,0.0,0.0,0.2549733948815785,0.0,?,0.0,0.14993830311627032,43.0,224224.0
44.0,0.769312649,4.462300275230368E-8,44.0,0.0,0.0,0.25633537767670356,0.0,?,0.0,0.3149006378670822,44.0,224224.0
45.0,0.779558034,4.521730586929248E-8,45.0,0.0,0.0,0.2560524653012556,0.0,?,0.0,0.24360432078154423,45.0,224224.0
46.0,0.789606357,4.580017802874869E-8,46.0,0.0,0.0,0.2550658187850443,0.0,?,0.0,0.21066672555553725,46.0,224224.0
47.0,0.799708437,4.638616846562054E-8,47.0,0.0,0.0,0.2571808485381617,0.0,?,0.0,0.35447221718156097,47.0,224224.0
48.0,0.809614574,4.6960792854691143E-8,48.0,0.0,0.0,0.25521866538522175,0.0,?,0.0,0.16299605719704557,48.0,224224.0
