learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,6.1943E-4,3.436464522447851E-11,1.0,0.0,0.0,0.27694545883650357,0.0,?,0.0,0.27694545883650357,1.0,226080.0
2.0,0.151507275,8.87028048198877E-9,2.0,0.0,0.0,0.16608042948895865,0.0,?,0.0,0.22173005869508983,2.0,226360.0
3.0,0.23800841,1.3935743168161974E-8,3.0,0.0,0.0,0.1457605084938318,0.0,?,0.0,0.3544584252693747,3.0,226360.0
4.0,0.296730031,1.737445157409335E-8,4.0,0.0,0.0,0.14482778077813105,0.0,?,0.0,0.14234838330262717,4.0,226360.0
5.0,0.345304861,2.0218969034496695E-8,5.0,0.0,0.0,0.14151339825616643,0.0,?,0.0,0.3771264496942067,5.0,226360.0
6.0,0.391982517,2.2952388945646168E-8,6.0,0.0,0.0,0.1275851108254551,0.0,?,0.0,0.21657808148766192,6.0,226360.0
7.0,0.435489318,2.5500125192809435E-8,7.0,0.0,0.0,0.1133984702357528,0.0,?,0.0,0.23658584951670503,7.0,226360.0
8.0,0.484506438,2.837054293176366E-8,8.0,0.0,0.0,0.10319701241748519,0.0,?,0.0,0.2926114800899218,8.0,226360.0
9.0,0.526411612,3.082448871241261E-8,9.0,0.0,0.0,0.0974628333713626,0.0,?,0.0,0.31638742436389333,9.0,226360.0
10.0,0.568494185,3.328882288871747E-8,10.0,0.0,0.0,0.08970919767709293,0.0,?,0.0,0.2904566554571086,10.0,226360.0
11.0,0.609922584,3.571484896666888E-8,11.0,0.0,0.0,0.08588703819907577,0.0,?,0.0,0.32018827009021333,11.0,226360.0
12.0,0.652553231,3.821127807902586E-8,12.0,0.0,0.0,0.08150659035791358,0.0,?,0.0,0.31017771290543006,12.0,226360.0
13.0,0.692667609,4.056035575226156E-8,13.0,0.0,0.0,0.07853134581585446,0.0,?,0.0,0.23680444283124952,13.0,226360.0
14.0,0.727557537,4.260349227766402E-8,14.0,0.0,0.0,0.07484319650105073,0.0,?,0.0,0.24944110555601218,14.0,226360.0
15.0,0.762569084,4.4653750750153425E-8,15.0,0.0,0.0,0.07898367324874574,0.0,?,0.0,0.1374667807189524,15.0,226360.0
16.0,0.797462688,4.669710254025542E-8,16.0,0.0,0.0,0.07765475362484507,0.0,?,0.0,0.20756614598799505,16.0,226360.0
17.0,0.833705028,4.881943562790337E-8,17.0,0.0,0.0,0.07965266362454017,0.0,?,0.0,0.373298768919846,17.0,226360.0
18.0,0.873233707,5.113421506412948E-8,18.0,0.0,0.0,0.0792690109185125,0.0,?,0.0,0.34099229689973565,18.0,226360.0
19.0,0.906811221,5.3100497289922916E-8,19.0,0.0,0.0,0.08132169428883021,0.0,?,0.0,0.39055687221135593,19.0,226360.0
20.0,0.933829801,5.4682691660244016E-8,20.0,0.0,0.0,0.0815496935763868,0.0,?,0.0,0.3643932938733244,20.0,226360.0
21.0,0.958342464,5.611814079932454E-8,21.0,0.0,0.0,0.08095074929404979,0.0,?,0.0,0.35177756148266975,21.0,226360.0
22.0,0.979392543,5.735082277182696E-8,22.0,0.0,0.0,0.07744283772217599,0.0,?,0.0,0.28986676700758224,22.0,226360.0
23.0,0.999660819,5.853772275633075E-8,23.0,0.0,0.0,0.07793935341437007,0.0,?,0.0,0.19739904159360822,23.0,226360.0
24.0,1.019554586,5.970269168333874E-8,24.0,0.0,0.0,0.07585299337850854,0.0,?,0.0,0.3102648571967833,24.0,226360.0
25.0,1.04000442,6.09002236124335E-8,25.0,0.0,0.0,0.07570533526482719,0.0,?,0.0,0.21139771712968558,25.0,226360.0
26.0,1.060639641,6.210861171042133E-8,26.0,0.0,0.0,0.07549426281194428,0.0,?,0.0,0.21045534455482967,26.0,226360.0
27.0,1.081217445,6.331363749794869E-8,27.0,0.0,0.0,0.07340584098653856,0.0,?,0.0,0.25886525130756294,27.0,226360.0
28.0,1.101924038,6.452620510413415E-8,28.0,0.0,0.0,0.0744678331678044,0.0,?,0.0,0.3804060849130911,28.0,226360.0
29.0,1.12335753,6.578133954786591E-8,29.0,0.0,0.0,0.07208080306039437,0.0,?,0.0,0.2861920522633783,29.0,226360.0
30.0,1.14345332,6.695813883950725E-8,30.0,0.0,0.0,0.06970857041697737,0.0,?,0.0,0.28021509466130184,30.0,226360.0
31.0,1.163851487,6.81526451752314E-8,31.0,0.0,0.0,0.07146221451737435,0.0,?,0.0,0.15702692009797292,31.0,226360.0
32.0,1.184570595,6.936594565348283E-8,32.0,0.0,0.0,0.07447515041833998,0.0,?,0.0,0.1092199866167472,32.0,226360.0
33.0,1.206316301,7.063936319103876E-8,33.0,0.0,0.0,0.07377564020943089,0.0,?,0.0,0.2204587063360483,33.0,226360.0
34.0,1.244487931,7.287467452464623E-8,34.0,0.0,0.0,0.07236813765868495,0.0,?,0.0,0.2962132608134166,34.0,226360.0
35.0,1.281141016,7.502106063161043E-8,35.0,0.0,0.0,0.07475115453992515,0.0,?,0.0,0.1152813480473752,35.0,226360.0
36.0,1.317655044,7.715930363103331E-8,36.0,0.0,0.0,0.07506837851950837,0.0,?,0.0,0.18043318078734355,36.0,226360.0
37.0,1.355083289,7.935108271527826E-8,37.0,0.0,0.0,0.07593896167801199,0.0,?,0.0,0.3714907090373814,37.0,226360.0
38.0,1.391144453,8.14628062280619E-8,38.0,0.0,0.0,0.07631183100107379,0.0,?,0.0,0.17700221595250396,38.0,226360.0
39.0,1.427579481,8.359642302746779E-8,39.0,0.0,0.0,0.07677164989563658,0.0,?,0.0,0.35898371674445606,39.0,226360.0
40.0,1.463759371,8.571509907472256E-8,40.0,0.0,0.0,0.07849228698394144,0.0,?,0.0,0.12155834793757796,40.0,226360.0
41.0,1.499992473,8.783689118976599E-8,41.0,0.0,0.0,0.078824731303722,0.0,?,0.0,0.17139304893476834,41.0,226360.0
42.0,1.535246362,8.990134108712274E-8,42.0,0.0,0.0,0.08074238427310051,0.0,?,0.0,0.10190250666831487,42.0,226360.0
43.0,1.569711053,9.191957594902356E-8,43.0,0.0,0.0,0.08136548992450585,0.0,?,0.0,0.14993830311627032,43.0,226360.0
