learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,7.45714E-4,4.57382452653514E-11,1.0,0.0,0.0,0.27694545883650357,0.0,?,0.0,0.27694545883650357,1.0,248776.0
2.0,0.106037831,6.829810983911157E-9,2.0,0.0,0.0,0.16608042948895865,0.0,?,0.0,0.22173005869508983,2.0,249056.0
3.0,0.170241857,1.096653835636874E-8,3.0,0.0,0.0,0.1457605084938318,0.0,?,0.0,0.3544584252693747,3.0,249056.0
4.0,0.217866675,1.4035051353184713E-8,4.0,0.0,0.0,0.14482778077813105,0.0,?,0.0,0.14234838330262717,4.0,249056.0
5.0,0.266119247,1.7144011146202682E-8,5.0,0.0,0.0,0.14151339825616643,0.0,?,0.0,0.3771264496942067,5.0,249056.0
6.0,0.314917743,2.028814534953071E-8,6.0,0.0,0.0,0.1275851108254551,0.0,?,0.0,0.21657808148766192,6.0,249056.0
7.0,0.366413804,2.3606086269815762E-8,7.0,0.0,0.0,0.1133984702357528,0.0,?,0.0,0.23658584951670503,7.0,249056.0
8.0,0.39775647,2.5625524495823515E-8,8.0,0.0,0.0,0.10319701241748519,0.0,?,0.0,0.2926114800899218,8.0,249056.0
9.0,0.428910596,2.7632814907630283E-8,9.0,0.0,0.0,0.09746283337136262,0.0,?,0.0,0.31638742436389333,9.0,249056.0
10.0,0.45252683,2.9154431661417085E-8,10.0,0.0,0.0,0.08970919767709296,0.0,?,0.0,0.2904566554571086,10.0,249056.0
11.0,0.473648033,3.05152911593765E-8,11.0,0.0,0.0,0.08588703819907578,0.0,?,0.0,0.32018827009021333,11.0,249056.0
12.0,0.49414546,3.183596016751395E-8,12.0,0.0,0.0,0.08150659035791359,0.0,?,0.0,0.31017771290543006,12.0,249056.0
13.0,0.513472781,3.308123811654746E-8,13.0,0.0,0.0,0.0785313458158545,0.0,?,0.0,0.23680444283124952,13.0,249056.0
14.0,0.53688664,3.458981565372811E-8,14.0,0.0,0.0,0.07484319650105076,0.0,?,0.0,0.24944110555601218,14.0,249056.0
15.0,0.550804475,3.5486555197909466E-8,15.0,0.0,0.0,0.07898367324874576,0.0,?,0.0,0.1374667807189524,15.0,249056.0
16.0,0.565830902,3.645472239479422E-8,16.0,0.0,0.0,0.0776547536248451,0.0,?,0.0,0.20756614598799505,16.0,249056.0
17.0,0.583195441,3.757353640485968E-8,17.0,0.0,0.0,0.0796526636245402,0.0,?,0.0,0.373298768919846,17.0,249056.0
18.0,0.597173443,3.847415256693131E-8,18.0,0.0,0.0,0.07926901091851252,0.0,?,0.0,0.34099229689973565,18.0,249056.0
19.0,0.610026662,3.9302297874540086E-8,19.0,0.0,0.0,0.08132169428883022,0.0,?,0.0,0.39055687221135593,19.0,249056.0
20.0,0.625692886,4.0311687809742156E-8,20.0,0.0,0.0,0.08154969357638683,0.0,?,0.0,0.3643932938733244,20.0,249056.0
21.0,0.648266138,4.1766104226460054E-8,21.0,0.0,0.0,0.0809507492940498,0.0,?,0.0,0.35177756148266975,21.0,249056.0
22.0,0.665842683,4.2898577987758644E-8,22.0,0.0,0.0,0.077442837722176,0.0,?,0.0,0.28986676700758224,22.0,249056.0
23.0,0.682288563,4.395820191165639E-8,23.0,0.0,0.0,0.07793935341437008,0.0,?,0.0,0.19739904159360822,23.0,249056.0
24.0,0.703412443,4.531923389130996E-8,24.0,0.0,0.0,0.07585299337850855,0.0,?,0.0,0.3102648571967833,24.0,249056.0
25.0,0.721639707,4.649363410592907E-8,25.0,0.0,0.0,0.0757053352648272,0.0,?,0.0,0.21139771712968558,25.0,249056.0
26.0,0.738649028,4.7589561077356336E-8,26.0,0.0,0.0,0.0754942628119443,0.0,?,0.0,0.21045534455482967,26.0,249056.0
27.0,0.759891495,4.895823373189403E-8,27.0,0.0,0.0,0.07340584098653857,0.0,?,0.0,0.25886525130756294,27.0,249056.0
28.0,0.779401293,5.0215268850185805E-8,28.0,0.0,0.0,0.07446783316780443,0.0,?,0.0,0.3804060849130911,28.0,249056.0
29.0,0.79729615,5.1368251760916574E-8,29.0,0.0,0.0,0.07208080306039438,0.0,?,0.0,0.2861920522633783,29.0,249056.0
30.0,0.814908842,5.25030545083185E-8,30.0,0.0,0.0,0.06970857041697738,0.0,?,0.0,0.28021509466130184,30.0,249056.0
31.0,0.835398927,5.382325046430859E-8,31.0,0.0,0.0,0.07146221451737436,0.0,?,0.0,0.15702692009797292,31.0,249056.0
32.0,0.847959086,5.463251363322139E-8,32.0,0.0,0.0,0.07447515041833999,0.0,?,0.0,0.1092199866167472,32.0,249056.0
33.0,0.860094985,5.541444132078853E-8,33.0,0.0,0.0,0.07377564020943089,0.0,?,0.0,0.2204587063360483,33.0,249056.0
34.0,0.87293268,5.624158640209172E-8,34.0,0.0,0.0,0.07236813765868495,0.0,?,0.0,0.2962132608134166,34.0,249056.0
35.0,0.888829404,5.72658276747995E-8,35.0,0.0,0.0,0.07475115453992515,0.0,?,0.0,0.1152813480473752,35.0,249056.0
36.0,0.903913333,5.823769978105194E-8,36.0,0.0,0.0,0.07506837851950837,0.0,?,0.0,0.18043318078734355,36.0,249056.0
37.0,0.91634719,5.903882519018319E-8,37.0,0.0,0.0,0.07593896167801199,0.0,?,0.0,0.3714907090373814,37.0,249056.0
38.0,0.92978851,5.990486241292623E-8,38.0,0.0,0.0,0.07631183100107379,0.0,?,0.0,0.17700221595250396,38.0,249056.0
39.0,0.94295938,6.075347428109911E-8,39.0,0.0,0.0,0.07677164989563658,0.0,?,0.0,0.35898371674445606,39.0,249056.0
40.0,0.960904973,6.190972616128623E-8,40.0,0.0,0.0,0.07849228698394144,0.0,?,0.0,0.12155834793757796,40.0,249056.0
41.0,0.977621867,6.298681177881856E-8,41.0,0.0,0.0,0.078824731303722,0.0,?,0.0,0.17139304893476834,41.0,249056.0
42.0,0.995811206,6.4158768449078E-8,42.0,0.0,0.0,0.08074238427310051,0.0,?,0.0,0.10190250666831487,42.0,249056.0
43.0,1.016096106,6.54657441374494E-8,43.0,0.0,0.0,0.08136548992450585,0.0,?,0.0,0.14993830311627032,43.0,249056.0
44.0,1.035547997,6.671904825183252E-8,44.0,0.0,0.0,0.08087825703952853,0.0,?,0.0,0.3149006378670822,44.0,249056.0
45.0,1.048320819,6.754201350312266E-8,45.0,0.0,0.0,0.0793638748140981,0.0,?,0.0,0.24360432078154423,45.0,249056.0
46.0,1.060847663,6.834913015442589E-8,46.0,0.0,0.0,0.07862521970391594,0.0,?,0.0,0.21066672555553725,46.0,249056.0
47.0,1.080773345,6.963296108029783E-8,47.0,0.0,0.0,0.07906737244205637,0.0,?,0.0,0.35447221718156097,47.0,249056.0
48.0,1.096669925,7.065719307494661E-8,48.0,0.0,0.0,0.07938231866912011,0.0,?,0.0,0.16299605719704557,48.0,249056.0
49.0,1.109613895,7.149118555708892E-8,49.0,0.0,0.0,0.08008021863745056,0.0,?,0.0,0.36879808250253315,49.0,249056.0
50.0,1.122375145,7.23134052132484E-8,50.0,0.0,0.0,0.08031324464881688,0.0,?,0.0,0.165805093467563,50.0,249056.0
51.0,1.137009725,7.325632532966634E-8,51.0,0.0,0.0,0.08087679401056626,0.0,?,0.0,0.3647562443872499,51.0,249056.0
52.0,1.153195282,7.42991763913797E-8,52.0,0.0,0.0,0.08155398463991471,0.0,?,0.0,0.37393100789056816,52.0,249056.0
53.0,1.165912935,7.511858705074423E-8,53.0,0.0,0.0,0.0825303104294251,0.0,?,0.0,0.12677356326100686,53.0,249056.0
54.0,1.179571152,7.599859915657176E-8,54.0,0.0,0.0,0.082768032748752,0.0,?,0.0,0.35292505020137144,54.0,249056.0
55.0,1.192320695,7.682006451942026E-8,55.0,0.0,0.0,0.08227264655717095,0.0,?,0.0,0.3148455881414419,55.0,249056.0
56.0,1.212115286,7.809544912561774E-8,56.0,0.0,0.0,0.08111720870525367,0.0,?,0.0,0.2779014099105741,56.0,249056.0
57.0,1.228752888,7.91674258830481E-8,57.0,0.0,0.0,0.08040365912671388,0.0,?,0.0,0.3010918823401446,57.0,249056.0
58.0,1.241704791,8.000192949603828E-8,58.0,0.0,0.0,0.08026328933717271,0.0,?,0.0,0.18909434762444788,58.0,249056.0
59.0,1.255181187,8.08702266993208E-8,59.0,0.0,0.0,0.07941025650793439,0.0,?,0.0,0.23017630635025937,59.0,249056.0
60.0,1.269389407,8.178567602936592E-8,60.0,0.0,0.0,0.0788697487632543,0.0,?,0.0,0.3065830886842097,60.0,249056.0
61.0,1.287550117,8.295578810551928E-8,61.0,0.0,0.0,0.07829360542761096,0.0,?,0.0,0.3041112986765453,61.0,249056.0
62.0,1.301395891,8.384788468990889E-8,62.0,0.0,0.0,0.07749279027646097,0.0,?,0.0,0.2897461628092385,62.0,249056.0
63.0,1.313695023,8.464032963723772E-8,63.0,0.0,0.0,0.07788103118356295,0.0,?,0.0,0.3635170491132049,63.0,249056.0
64.0,1.328389842,8.558713101057543E-8,64.0,0.0,0.0,0.07777983211317199,0.0,?,0.0,0.19177907620798168,64.0,249056.0
65.0,1.3450161,8.665837686313524E-8,65.0,0.0,0.0,0.07684046517898527,0.0,?,0.0,0.24534669345363758,65.0,249056.0
66.0,1.357557162,8.746640959390336E-8,66.0,0.0,0.0,0.07719513809690866,0.0,?,0.0,0.16156155121518825,66.0,249056.0
67.0,1.37100215,8.833268314942718E-8,67.0,0.0,0.0,0.07807914891917604,0.0,?,0.0,0.12386764339796219,67.0,249056.0
68.0,1.382941696,8.91019596236613E-8,68.0,0.0,0.0,0.07886277922792137,0.0,?,0.0,0.12688931961040747,68.0,249056.0
69.0,1.399441043,9.016502847798168E-8,69.0,0.0,0.0,0.07951380163001585,0.0,?,0.0,0.13254015146485548,69.0,249056.0
70.0,1.414171118,9.111410142943263E-8,70.0,0.0,0.0,0.07852087446568654,0.0,?,0.0,0.26453841533277567,70.0,249056.0
71.0,1.426563392,9.191254760573307E-8,71.0,0.0,0.0,0.07894218345494297,0.0,?,0.0,0.3631063121962338,71.0,249056.0
72.0,1.438862952,9.270502012951506E-8,72.0,0.0,0.0,0.07802627383877685,0.0,?,0.0,0.26919642738295413,72.0,249056.0
73.0,1.451758507,9.353589318647152E-8,73.0,0.0,0.0,0.0773340115624806,0.0,?,0.0,0.28387137355961,73.0,249056.0
74.0,1.470744586,9.475918458403811E-8,74.0,0.0,0.0,0.07654928837260284,0.0,?,0.0,0.2760213321919739,74.0,249056.0
75.0,1.484043103,9.561602087164089E-8,75.0,0.0,0.0,0.0768815752012728,0.0,?,0.0,0.3584879682237228,75.0,249056.0
76.0,1.496833459,9.64401158554769E-8,76.0,0.0,0.0,0.07694029501226911,0.0,?,0.0,0.17702583087085294,76.0,249056.0
77.0,1.509964698,9.728617426006328E-8,77.0,0.0,0.0,0.0763198802552815,0.0,?,0.0,0.28646815094737044,77.0,249056.0
78.0,1.522723608,9.810824314776392E-8,78.0,0.0,0.0,0.07541291084676996,0.0,?,0.0,0.2521023356853264,78.0,249056.0
79.0,1.540359952,9.924456981635754E-8,79.0,0.0,0.0,0.07477055062442735,0.0,?,0.0,0.23294065820024376,79.0,249056.0
80.0,1.554345976,1.0014570284363295E-7,80.0,0.0,0.0,0.07458916163010024,0.0,?,0.0,0.31755430897436154,80.0,249056.0
81.0,1.567164707,1.0097162605610985E-7,81.0,0.0,0.0,0.07451303551287781,0.0,?,0.0,0.18962517464949802,81.0,249056.0
82.0,1.580635956,1.0183959163321388E-7,82.0,0.0,0.0,0.07437432685734006,0.0,?,0.0,0.19406446729573495,82.0,249056.0
83.0,1.601362083,1.0317499600311947E-7,83.0,0.0,0.0,0.07465064015999841,0.0,?,0.0,0.15912507517703792,83.0,249056.0
84.0,1.618769149,1.04296550068847E-7,84.0,0.0,0.0,0.07415959731889904,0.0,?,0.0,0.22185797511751448,84.0,249056.0
85.0,1.635930072,1.0540224490347835E-7,85.0,0.0,0.0,0.0733386907640883,0.0,?,0.0,0.25924590152910776,85.0,249056.0
