learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,8.95456E-4,6.005982981787788E-11,1.0,0.0,0.0,0.27694545883650357,0.0,?,0.0,0.27694545883650357,1.0,272600.0
2.0,0.102644781,7.2429772338064184E-9,2.0,0.0,0.0,0.2493377587657967,0.0,?,0.0,0.22173005869508983,2.0,272880.0
3.0,0.172908803,1.2203213250094818E-8,3.0,0.0,0.0,0.284377980933656,0.0,?,0.0,0.3544584252693747,3.0,272880.0
4.0,0.236267383,1.667596475949304E-8,4.0,0.0,0.0,0.2488705815258988,0.0,?,0.0,0.14234838330262717,4.0,272880.0
5.0,0.274466124,1.937257627548443E-8,5.0,0.0,0.0,0.2745217551595604,0.0,?,0.0,0.3771264496942067,5.0,272880.0
6.0,0.30690594,2.16626407936381E-8,6.0,0.0,0.0,0.26486447621424397,0.0,?,0.0,0.21657808148766192,6.0,272880.0
7.0,0.33812906,2.3866813568787446E-8,7.0,0.0,0.0,0.2608246724003099,0.0,?,0.0,0.23658584951670503,7.0,272880.0
8.0,0.361495804,2.5516371363417975E-8,8.0,0.0,0.0,0.26479802336151137,0.0,?,0.0,0.2926114800899218,8.0,272880.0
9.0,0.378085532,2.6687510788457267E-8,9.0,0.0,0.0,0.2705301790284427,0.0,?,0.0,0.31638742436389333,9.0,272880.0
10.0,0.394778452,2.7865934975461835E-8,10.0,0.0,0.0,0.2725228266713092,0.0,?,0.0,0.2904566554571086,10.0,272880.0
11.0,0.411658432,2.9057564523087613E-8,11.0,0.0,0.0,0.2768560488003005,0.0,?,0.0,0.32018827009021333,11.0,272880.0
12.0,0.428369961,3.023730239851194E-8,12.0,0.0,0.0,0.27963285414239464,0.0,?,0.0,0.31017771290543006,12.0,272880.0
13.0,0.445522,3.144813774751293E-8,13.0,0.0,0.0,0.2763383609646143,0.0,?,0.0,0.23680444283124952,13.0,272880.0
14.0,0.462963372,3.26793983429836E-8,14.0,0.0,0.0,0.27441712843542837,0.0,?,0.0,0.24944110555601218,14.0,272880.0
15.0,0.4795994,3.38538062818514E-8,15.0,0.0,0.0,0.26528710525433,0.0,?,0.0,0.1374667807189524,15.0,272880.0
16.0,0.49607811,3.5017108474315875E-8,16.0,0.0,0.0,0.26167954530018406,0.0,?,0.0,0.20756614598799505,16.0,272880.0
17.0,0.508623101,3.5902712719717795E-8,17.0,0.0,0.0,0.2682453819836936,0.0,?,0.0,0.373298768919846,17.0,272880.0
18.0,0.520992836,3.677594489903914E-8,18.0,0.0,0.0,0.27228687725680706,0.0,?,0.0,0.34099229689973565,18.0,272880.0
19.0,0.533343656,3.7647841788099875E-8,19.0,0.0,0.0,0.27851161383336226,0.0,?,0.0,0.39055687221135593,19.0,272880.0
20.0,0.545411834,3.849971084771471E-8,20.0,0.0,0.0,0.28280569783536036,0.0,?,0.0,0.3643932938733244,20.0,272856.0
21.0,0.557925761,3.9384650188098766E-8,21.0,1.0,0.0,0.286090072294756,0.0,?,0.0,0.35177756148266975,21.0,273352.0
22.0,0.570112207,4.024643126488353E-8,22.0,1.0,0.0,0.2862617402362481,0.0,?,0.0,0.28986676700758224,22.0,273352.0
23.0,0.58193974,4.1082831321507694E-8,23.0,1.0,0.0,0.2823981446430899,0.0,?,0.0,0.19739904159360822,23.0,273352.0
24.0,0.593734356,4.191690360777908E-8,24.0,1.0,0.0,0.2835592576661604,0.0,?,0.0,0.3102648571967833,24.0,273352.0
25.0,0.60567538,4.2761329334576926E-8,25.0,1.0,0.0,0.2806727960447014,0.0,?,0.0,0.21139771712968558,25.0,273352.0
26.0,0.61735872,4.3587532587407366E-8,26.0,1.0,0.0,0.2779721248335525,0.0,?,0.0,0.21045534455482967,26.0,273352.0
27.0,0.629116887,4.44190273331499E-8,27.0,1.0,0.0,0.27726446285110845,0.0,?,0.0,0.25886525130756294,27.0,273352.0
28.0,0.641216459,4.527466499705903E-8,28.0,1.0,0.0,0.28094809221046496,0.0,?,0.0,0.3804060849130911,28.0,273352.0
29.0,0.653274721,4.6127381368223585E-8,29.0,1.0,0.0,0.28112891841918614,0.0,?,0.0,0.2861920522633783,29.0,273352.0
30.0,0.665020844,4.695802440615165E-8,30.0,1.0,0.0,0.28109845762725666,0.0,?,0.0,0.28021509466130184,30.0,273352.0
31.0,0.676981033,4.780380541194852E-8,31.0,1.0,0.0,0.2770961499650217,0.0,?,0.0,0.15702692009797292,31.0,273352.0
32.0,0.68908592,4.8659818933299853E-8,32.0,1.0,0.0,0.2718500198603881,0.0,?,0.0,0.1092199866167472,32.0,273352.0
33.0,0.700931693,4.9497508856291996E-8,33.0,1.0,0.0,0.2702927073293475,0.0,?,0.0,0.2204587063360483,33.0,273352.0
34.0,0.712660144,5.032690219474336E-8,34.0,1.0,0.0,0.2710550765494672,0.0,?,0.0,0.2962132608134166,34.0,273352.0
35.0,0.72427568,5.11483105956432E-8,35.0,1.0,0.0,0.26660439859226454,0.0,?,0.0,0.1152813480473752,35.0,273352.0
