learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001619884,9.89127853181627E-11,1.0,0.0,0.0,0.27694545883650357,0.0,?,0.0,0.27694545883650357,1.0,255512.0
2.0,0.099942078,6.605243700436421E-9,2.0,0.0,0.0,0.16608042948895865,0.0,?,0.0,0.22173005869508983,2.0,255792.0
3.0,0.165904142,1.0970189179869163E-8,3.0,0.0,0.0,0.1457605084938318,0.0,?,0.0,0.3544584252693747,3.0,255792.0
4.0,0.225042828,1.48836073548264E-8,4.0,0.0,0.0,0.14482778077813105,0.0,?,0.0,0.14234838330262717,4.0,255792.0
5.0,0.266051268,1.759728236652083E-8,5.0,0.0,0.0,0.14151339825616643,0.0,?,0.0,0.3771264496942067,5.0,255792.0
6.0,0.298483012,1.974340675648716E-8,6.0,0.0,0.0,0.1275851108254551,0.0,?,0.0,0.21657808148766192,6.0,255792.0
7.0,0.329364988,2.1786977460053234E-8,7.0,0.0,0.0,0.1133984702357528,0.0,?,0.0,0.23658584951670503,7.0,255792.0
8.0,0.358792811,2.373432166343348E-8,8.0,0.0,0.0,0.10319701241748519,0.0,?,0.0,0.2926114800899218,8.0,255792.0
9.0,0.390455292,2.5829541171855398E-8,9.0,0.0,0.0,0.0974628333713626,0.0,?,0.0,0.31638742436389333,9.0,255792.0
10.0,0.42036135,2.7808531894079513E-8,10.0,0.0,0.0,0.08970919767709293,0.0,?,0.0,0.2904566554571086,10.0,255792.0
11.0,0.448896144,2.9696781177437968E-8,11.0,0.0,0.0,0.08588703819907577,0.0,?,0.0,0.32018827009021333,11.0,255792.0
12.0,0.477373187,3.158120887076275E-8,12.0,0.0,0.0,0.08150659035791358,0.0,?,0.0,0.31017771290543006,12.0,255792.0
13.0,0.505929839,3.347090457608716E-8,13.0,0.0,0.0,0.07853134581585446,0.0,?,0.0,0.23680444283124952,13.0,255792.0
14.0,0.538275857,3.5611356170305776E-8,14.0,0.0,0.0,0.07484319650105073,0.0,?,0.0,0.24944110555601218,14.0,255792.0
15.0,0.570731527,3.775906382918772E-8,15.0,0.0,0.0,0.07898367324874574,0.0,?,0.0,0.1374667807189524,15.0,255792.0
